
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                Observed  |     Rel. |    Aki    | Acc. |            Ei           Ek            |         Lower level         |         Upper level          |Type|
          |               Wavelength |     Int. |    s^-1   |      |           (eV)         (eV)           |-----------------------------|------------------------------|    |
          |                Vac (nm)  |          |           |      |                                       | Conf.             | Term    | Conf.              | Term    |    |
Xe IV     |              103.028     |       10 |           |      |    12.35674       -     24.39078      | 5s.5p4            | 4P      | 5s2.5p2.(3P).6p    | 2D*     |    |
Xe I      |              103.0435    |        a |           |      |     0.000000      -     12.03222      | 5p6               | 1S      | 5p5.(2P*<3/2>).14d | 2[3/2]* |    |
Xe I      |              103.0902    |        a |           |      |     0.000000      -     12.0267706    | 5p6               | 1S      | 5p5.(2P*<3/2>).14d | 2[1/2]* |    |
          |                          |          |           |      |                                       |                   |         |                    |         |    |
Xe I      |              103.1696    |        a |           |      |     0.000000      -     12.0175229    | 5p6               | 1S      | 5p5.(2P*<3/2>).15s | 2[3/2]* |    |
Xe I      |              103.2050    |        a |           |      |     0.000000      -     12.01339      | 5p6               | 1S      | 5p5.(2P*<3/2>).13d | 2[3/2]* |    |
Xe II     |              103.2438    |        3 |           |      |     0.00000       -     12.008883     | 5p5               | 2P*     | 5p4.(3P<2>).5d     | 2[1]    |    |
Xe II     |              103.2596    |        5 |           |      |     1.306423      -     13.313638     | 5p5               | 2P*     | 5p4.(3P<0>).5d     | 2[2]    |    |
Xe I      |              103.2666    |        a |           |      |     0.000000      -     12.0062230    | 5p6               | 1S      | 5p5.(2P*<3/2>).13d | 2[1/2]* |    |
          |                          |          |           |      |                                       |                   |         |                    |         |    |
Xe IV     |              103.299     |        2 |           |      |    13.54582       -     25.54833      | 5s.5p4            | 4P      | 5s2.5p2.(3P).6p    | 2P*     |    |
Xe I      |              103.3724    |        a |           |      |     0.000000      -     11.9939469    | 5p6               | 1S      | 5p5.(2P*<3/2>).14s | 2[3/2]* |    |
Xe I      |              103.4184    |        a |           |      |     0.000000      -     11.988576     | 5p6               | 1S      | 5p5.(2P*<3/2>).12d | 2[3/2]* |    |
Xe IV     |              103.454     |        5 |           |      |    12.35674       -     24.34122      | 5s.5p4            | 4P      | 5s2.5p2.(3P).4f    | 4F*     |    |
Xe I      |              103.5022    |        a |           |      |     0.000000      -     11.9788934    | 5p6               | 1S      | 5p5.(2P*<3/2>).12d | 2[1/2]* |    |
          |                          |          |           |      |                                       |                   |         |                    |         |    |
Xe I      |              103.6476    |        a |           |      |     0.000000      -     11.962072     | 5p6               | 1S      | 5p5.(2P*<3/2>).13s | 2[3/2]* |    |
Xe I      |              103.7087    |        a |           |      |     0.000000      -     11.955023     | 5p6               | 1S      | 5p5.(2P*<3/2>).11d | 2[3/2]* |    |
Xe II     |              103.7680    |        6 |           |      |     1.306423      -     13.254669     | 5p5               | 2P*     | 5p4.(3P<1>).6s     | 2[1]    |    |
Xe I      |              103.8259    |        a |           |      |     0.000000      -     11.941557     | 5p6               | 1S      | 5p5.(2P*<3/2>).11d | 2[1/2]* |    |
Xe I      |              104.0336    |        a |           |      |     0.000000      -     11.917704     | 5p6               | 1S      | 5p5.(2P*<3/2>).12s | 2[3/2]* |    |
          |                          |          |           |      |                                       |                   |         |                    |         |    |
Xe I      |              104.1170    |        a |           |      |     0.000000      -     11.908157     | 5p6               | 1S      | 5p5.(2P*<3/2>).10d | 2[3/2]* |    |
Xe II     |              104.1306    |       10 |           |      |     0.00000       -     11.906634     | 5p5               | 2P*     | 5p4.(3P<2>).5d     | 2[2]    |    |
Xe IV     |              104.1813    |        9 |           |      |     1.64490       -     13.54582      | 5s2.5p3           | 2D*     | 5s.5p4             | 4P      |    |
Xe I      |              104.2613    |        a |           |      |     0.000000      -     11.8916810    | 5p6               | 1S      | 5p5.(2P*<3/2>).10d | 2[1/2]* |    |
Xe I      |              104.383497  |        a | 5.9e+07   |      |     0.000000      -     11.8777581    | 5p6               | 1S      | 5p5.(2P*<1/2>).7s  | 2[1/2]* |    |
          |                          |          |           |      |                                       |                   |         |                    |         |    |
Xe I      |              104.6123    |        a |           |      |     0.000000      -     11.851769     | 5p6               | 1S      | 5p5.(2P*<3/2>).11s | 2[3/2]* |    |
Xe I      |              104.7136    |        a | 1.3e+08   |      |     0.000000      -     11.840302     | 5p6               | 1S      | 5p5.(2P*<3/2>).9d  | 2[3/2]* |    |
Xe III    |              104.7799    |       15 |           |      |     1.008001      -     12.840820     | 5s2.5p4           | 3P      | 5s.5p5             | 3P*     |    |
Xe II     |              104.8120    |       2c |           |      |     1.306423      -     13.135821     | 5p5               | 2P*     | 5p4.(3P<2>).5d     | 2[0]    |    |
