
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                           Observed  |   Rel. |    Aki    | Acc. |                 Ei           Ek                  |      Lower level      |      Upper level       |Type|
          |                          Wavelength |   Int. |    s^-1   |      |                (eV)         (eV)                 |-----------------------|------------------------|    |
          |                           Vac (nm)  |        |           |      |                                                  | Conf.          | Term | Conf.           | Term |    |
In IV     |                    115.978          |     85 |           |      |                                                  |                |      |                 |      |    |
In II     |                    116.106          |  1200* |           |      |     7.8157833          -     18.494478           | 5s.5p          | 1P*  | 5s.14d          | 3D   |    |
          |                                     |        |           |      |                                                  |                |      |                 |      |    |
In II     |                    116.106          |  1200* |           |      |     7.8157833          -     18.494143           | 5s.5p          | 1P*  | 5s.14d          | 3D   |    |
In II     |                    116.232          |   1800 |           |      |     7.8157833          -     18.48323            | 5s.5p          | 1P*  | 5s.15s          | 1S   |    |
In II     |                    116.259          |   1300 |           |      |     7.8157833          -     18.479962           | 5s.5p          | 1P*  | 5s.15s          | 3S   |    |
In IV     |                    117.650          |     88 |           |      |                                                  |                |      |                 |      |    |
In II     |                    117.924          |   1500 |           |      |     7.8157833          -     18.329363           | 5s.5p          | 1P*  | 5s.12d          | 3D   |    |
          |                                     |        |           |      |                                                  |                |      |                 |      |    |
In IV     |                    119.158          |     85 |           |      |                                                  |                |      |                 |      |    |
In II     |                    119.368          |   2100 |           |      |     7.8157833          -     18.202769           | 5s.5p          | 1P*  | 5s.11d          | 3D   |    |
In IV     |                    120.487          |     83 |           |      |                                                  |                |      |                 |      |    |
In IV     |                    120.655          |     90 |           |      |                                                  |                |      |                 |      |    |
In II     |                    121.263          |   8100 | 1.3e+08   | C    |     5.2415551542831    -     15.4661266          | 5s.5p          | 3P*  | 5s.6d           | 3D   |    |
          |                                     |        |           |      |                                                  |                |      |                 |      |    |
In II     |                    121.444          |  1900* | 3.0e+05   | D+   |     7.8157833          -     18.025777           | 5s.5p          | 1P*  | 5s.10d          | 3D   |    |
In II     |                    121.444          |  1900* | 1.7e+05   | D+   |     7.8157833          -     18.025193           | 5s.5p          | 1P*  | 5s.10d          | 3D   |    |
In II     |                    121.876          |   1600 | 1.5e+08   | D+   |     7.8157833          -     17.988402           | 5s.5p          | 1P*  | 5s.11s          | 1S   |    |
In IV     |                    122.150          |     88 |           |      |                                                  |                |      |                 |      |    |
In IV     |                    122.190          |     85 |           |      |                                                  |                |      |                 |      |    |
          |                                     |        |           |      |                                                  |                |      |                 |      |    |
In II     |                    122.824          |   8300 | 1.7e+08   | C    |     5.37478689         -     15.47034019         | 5s.5p          | 3P*  | 5s.6d           | 3D   |    |
In II     |                    122.862          |   5500 | 9.4e+07   | C    |     5.37478689         -     15.4661266          | 5s.5p          | 3P*  | 5s.6d           | 3D   |    |
In IV     |                    123.358          |     85 |           |      |                                                  |                |      |                 |      |    |
In IV     |                    123.584          |     87 |           |      |                                                  |                |      |                 |      |    |
In II     |                    123.699          |   1700 | 5.e+05    | E    |     5.6821033          -     15.7051949          | 5s.5p          | 3P*  | 5s.6d           | 1D   |    |
          |                                     |        |           |      |                                                  |                |      |                 |      |    |
In II     |                    124.310          |   2600 | 1.3e+08   | D+   |     7.8157833          -     17.789734           | 5s.5p          | 1P*  | 5s.9d           | 1D   |    |
In II     |                    124.591          |   1400 | 8.e+04    | D+   |     7.8157833          -     17.766745           | 5s.5p          | 1P*  | 5s.9d           | 3D   |    |
In II     |                    124.967          |   2800 | 5.e+06    | E    |     5.37478689         -     15.2962830          | 5s.5p          | 3P*  | 5s.7s           | 1S   |    |
In II     |                    126.316          |   3700 | 3.0e+07   | C    |     5.2415551542831    -     15.0569554          | 5s.5p          | 3P*  | 5s.7s           | 3S   |    |
In II     |                    126.596          |   5600 | 2.1e+08   | C+   |     5.6821033          -     15.4769686          | 5s.5p          | 3P*  | 5s.6d           | 3D   |    |
          |                                     |        |           |      |                                                  |                |      |                 |      |    |
In II     |                    126.667          |   4900 | 5.2e+07   | C    |     5.6821033          -     15.47034019         | 5s.5p          | 3P*  | 5s.6d           | 3D   |    |
In II     |                    126.719          |   1400 | 5.8e+06   | C    |     5.6821033          -     15.4661266          | 5s.5p          | 3P*  | 5s.6d           | 3D   |    |
In II     |                    128.049          |  28000 | 8.9e+07   | C    |     5.37478689         -     15.0569554          | 5s.5p          | 3P*  | 5s.7s           | 3S   |    |
In II     |                    129.250          |   2000 | 1.7e+08   | D+   |     7.8157833          -     17.408417           | 5s.5p          | 1P*  | 5s.8d           | 1D   |    |
In II     |                    129.778          |   1000 |           |      |     7.8157833          -     17.369273           | 5s.5p          | 1P*  | 5s.8d           | 3D   |    |
          |                                     |        |           |      |                                                  |                |      |                 |      |    |
In II     |                    130.982          |   2200 | 2.4e+07   | E    |     7.8157833          -     17.281822           | 5s.5p          | 1P*  | 5s.9s           | 1S   |    |
In II     |                    131.412          |      3 | 1.1e+05   | D+   |     7.8157833          -     17.2507955          | 5s.5p          | 1P*  | 5s.9s           | 3S   |    |
In II     |                    132.251          |   4200 | 1.5e+08   | C    |     5.6821033          -     15.0569554          | 5s.5p          | 3P*  | 5s.7s           | 3S   |    |
In IV     |                    137.320          |     90 |           |      |                                                  |                |      |                 |      |    |
In II     |                    139.492          |    190 | 2.4e+05   | D+   |     7.8157833          -     16.7039549          | 5s.5p          | 1P*  | 5s.7d           | 3D   |    |
          |                                     |        |           |      |                                                  |                |      |                 |      |    |
In IV     |                    139.877          |     88 |           |      |                                                  |                |      |                 |      |    |
In III    |                    140.308          |     30 |           |      |                                                  |                |      |                 |      |    |
In IV     |                    141.209          |     81 |           |      |                                                  |                |      |                 |      |    |
In II     |                    141.775          |    410 | 3.6e+06   | E    |     5.37478689         -     14.1199298          | 5s.5p          | 3P*  | 5p2             | 1D   |    |
In II     |                    141.813          |   2000 | 1.2e+08   | D    |     7.8157833          -     16.5586323          | 5s.5p          | 1P*  | 5s.8s           | 1S   |    |
          |                                     |        |           |      |                                                  |                |      |                 |      |    |
In III    |                    143.485          |     30 |           |      |                                                  |                |      |                 |      |    |
In II     |                    146.949          |   2300 | 2.5e+07   | D    |     5.6821033          -     14.1199298          | 5s.5p          | 3P*  | 5p2             | 1D   |    |
In III    |                    148.770          |     20 |           |      |                                                  |                |      |                 |      |    |
In III    |                    149.414          |     20 |           |      |                                                  |                |      |                 |      |    |
In III    |                    152.478          |     10 |           |      |                                                  |                |      |                 |      |    |
          |                                     |        |           |      |                                                  |                |      |                 |      |    |
In III    |                    153.021          |     20 |           |      |                                                  |                |      |                 |      |    |
In III    |                    153.295          |     30 |           |      |                                                  |                |      |                 |      |    |
In II     |                    157.153          | 260000 | 5.2e+08   | B    |     7.8157833          -     15.7051949          | 5s.5p          | 1P*  | 5s.6d           | 1D   |    |
In II     |                    158.637          | 850000 | 1.28e+09  | B+   |     0.000000000000     -      7.8157833          | 5s2            | 1S   | 5s.5p           | 1P*  |    |
In II     |                    160.732          | 260000 | 3.2e+08   | B    |     5.37478689         -     13.0884264          | 5s.5p          | 3P*  | 5p2             | 3P   |    |
          |                                     |        |           |      |                                                  |                |      |                 |      |    |
In II     |                    161.980          |     17 | 2.7e+05   | E    |     7.8157833          -     15.47034019         | 5s.5p          | 1P*  | 5s.6d           | 3D   |    |
In II     |                    162.060          |     15 | 5.2e+05   | D+   |     7.8157833          -     15.4661266          | 5s.5p          | 1P*  | 5s.6d           | 3D   |    |
In III    |                    162.542          |    100 |           |      |                                                  |                |      |                 |      |    |
In II     |                    164.005          | 180000 | 3.7e+08   | C    |     5.2415551542831    -     12.801292           | 5s.5p          | 3P*  | 5p2             | 3P   |    |
In III    |                    164.228          |     20 |           |      |                                                  |                |      |                 |      |    |
          |                                     |        |           |      |                                                  |                |      |                 |      |    |
In I      |                    164.800          |     2h |           |      |     0.000000           -      7.5199             | 5s2.5p         | 2P*  | 5s.5p2          | 2P   |    |
In II     |                    166.946          | 110000 | 3.5e+08   | C    |     5.37478689         -     12.801292           | 5s.5p          | 3P*  | 5p2             | 3P   |    |
In II     |                    167.187          | 120000 | 7.3e+08   | B    |     5.2415551542831    -     12.657388           | 5s.5p          | 3P*  | 5s.5d           | 3D   |    |
In II     |                    167.402          | 130000 | 9.5e+08   | B    |     5.6821033          -     13.0884264          | 5s.5p          | 3P*  | 5p2             | 3P   |    |
In I      |                    167.616          |     1w |           |      |     0.000000           -      7.3965             | 5s2.5p         | 2P*  | 5s.5p2          | 2P   |    |
          |                                     |        |           |      |                                                  |                |      |                 |      |    |
In II     |                    169.997          | 200000 | 8.6e+08   | B    |     5.37478689         -     12.668046           | 5s.5p          | 3P*  | 5s.5d           | 3D   |    |
In II     |                    170.245          | 120000 | 4.1e+08   | B    |     5.37478689         -     12.657388           | 5s.5p          | 3P*  | 5s.5d           | 3D   |    |
In III    |                    170.253          |     20 |           |      |                                                  |                |      |                 |      |    |
In I      |                    171.154          |     5w |           |      |     0.2743273          -      7.5199             | 5s2.5p         | 2P*  | 5s.5p2          | 2P   |    |
In II     |                    171.653          | 110000 | 1.1e+09   | C    |     5.37478689         -     12.597793           | 5s.5p          | 3P*  | 5p2             | 3P   |    |
          |                                     |        |           |      |                                                  |                |      |                 |      |    |
