
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                Observed  |  Rel. |    Aki    | Acc. |             Ei           Ek             |         Lower level          |          Upper level          |Type|
          |               Wavelength |  Int. |    s^-1   |      |            (eV)         (eV)            |------------------------------|-------------------------------|    |
          |                Vac (nm)  |       |           |      |                                         | Conf.                | Term  | Conf.                 | Term  |    |
O II      |               120.1822   |    12 |           |      |    22.9793019      -     33.295645      | 2s2.2p2.(3P).3s      | 4P    | 2s2.2p2.(3P).6p       | 4D*   |    |
          |                          |       |           |      |                                         |                      |       |                       |       |    |
O II      |               120.2025   |    12 |           |      |    22.9989592      -     33.31357       | 2s2.2p2.(3P).3s      | 4P    | 2s2.2p2.(3P).6p       | 4D*   |    |
O II      |               120.3004   |  4bl? |           |      |    22.9793019      -     33.28549       | 2s2.2p2.(3P).3s      | 4P    | 2s2.2p2.(3P).6p       | 4D*   |    |
O II      |               125.6074   |     6 |           |      |     5.017640       -     14.888376      | 2s2.2p3              | 2P*   | 2s.2p4                | 4P    |    |
O II      |               125.7345   |    10 |           |      |     5.017394       -     14.878156      | 2s2.2p3              | 2P*   | 2s.2p4                | 4P    |    |
O II      |               125.8156   |     6 |           |      |    23.4191936      -     33.27361       | 2s2.2p2.(3P).3s      | 2P    | 2s2.2p2.(3P).6p       | 2S*   |    |
          |                          |       |           |      |                                         |                      |       |                       |       |    |
O II      |               125.9931   |    10 |           |      |     5.017394       -     14.857920      | 2s2.2p3              | 2P*   | 2s.2p4                | 4P    |    |
O II      |               126.1016   |    10 |           |      |    23.4415071      -     33.27361       | 2s2.2p2.(3P).3s      | 2P    | 2s2.2p2.(3P).6p       | 2S*   |    |
O II      |               127.5143   |    10 |           |      |    23.4415071      -     33.164630      | 2s2.2p2.(3P).3s      | 2P    | 2s2.2p2.(1D).4p       | 2P*   |    |
O II      |               128.6409   |    10 |           |      |    23.4191936      -     33.057201      | 2s2.2p2.(3P).3s      | 2P    | 2s2.2p2.(1D).4p       | 2D*   |    |
O II      |               128.9127   |    12 |           |      |    23.4415071      -     33.059217      | 2s2.2p2.(3P).3s      | 2P    | 2s2.2p2.(1D).4p       | 2D*   |    |
          |                          |       |           |      |                                         |                      |       |                       |       |    |
O II      |               128.9387   |     6 |           |      |    23.4415071      -     33.057201      | 2s2.2p2.(3P).3s      | 2P    | 2s2.2p2.(1D).4p       | 2D*   |    |
O I       |               130.2168   |   900 | 3.41e+08  | A    |     0.000000       -      9.5213634     | 2s2.2p4              | 3P    | 2s2.2p3.(4S*).3s      | 3S*   |    |
O I       |               130.4858   |   600 | 2.03e+08  | A    |     0.0196224      -      9.5213634     | 2s2.2p4              | 3P    | 2s2.2p3.(4S*).3s      | 3S*   |    |
O I       |               130.6029   |   300 | 6.76e+07  | A    |     0.0281416      -      9.5213634     | 2s2.2p4              | 3P    | 2s2.2p3.(4S*).3s      | 3S*   |    |
O II      |               131.5338   |     8 |           |      |    22.9662468      -     32.392270      | 2s2.2p2.(3P).3s      | 4P    | 2s2.2p2.(3P).5p       | 4P*   |    |
          |                          |       |           |      |                                         |                      |       |                       |       |    |
O II      |               131.5518   |     8 |           |      |    22.9793019      -     32.404015      | 2s2.2p2.(3P).3s      | 4P    | 2s2.2p2.(3P).5p       | 4P*   |    |
O II      |               131.6150   |   5bl |           |      |    22.9662468      -     32.386465      | 2s2.2p2.(3P).3s      | 4P    | 2s2.2p2.(3P).5p       | 4P*   |    |
O II      |               131.7162   |    10 |           |      |    22.9793019      -     32.392270      | 2s2.2p2.(3P).3s      | 4P    | 2s2.2p2.(3P).5p       | 4P*   |    |
O II      |               131.8269   |    12 |           |      |    22.9989592      -     32.404015      | 2s2.2p2.(3P).3s      | 4P    | 2s2.2p2.(3P).5p       | 4P*   |    |
O II      |               131.9918   |    10 |           |      |    22.9989592      -     32.392270      | 2s2.2p2.(3P).3s      | 4P    | 2s2.2p2.(3P).5p       | 4P*   |    |
          |                          |       |           |      |                                         |                      |       |                       |       |    |
O II      |               132.0567   |    10 |           |      |    22.9662468      -     32.354744      | 2s2.2p2.(3P).3s      | 4P    | 2s2.2p2.(3P).5p       | 4D*   |    |
O II      |               132.0957   |    12 |           |      |    22.9793019      -     32.365333      | 2s2.2p2.(3P).3s      | 4P    | 2s2.2p2.(3P).5p       | 4D*   |    |
O II      |               132.1317   |    15 |           |      |    22.9989592      -     32.382265      | 2s2.2p2.(3P).3s      | 4P    | 2s2.2p2.(3P).5p       | 4D*   |    |
O II      |               132.2402   |     9 |           |      |    22.9793019      -     32.354744      | 2s2.2p2.(3P).3s      | 4P    | 2s2.2p2.(3P).5p       | 4D*   |    |
O II      |               132.3731   |     8 |           |      |    22.9989592      -     32.365333      | 2s2.2p2.(3P).3s      | 4P    | 2s2.2p2.(3P).5p       | 4D*   |    |
          |                          |       |           |      |                                         |                      |       |                       |       |    |
O IV      |               133.8612   |   200 | 2.17e+08  | B    |    22.37677        -     31.63889       | 2s.2p2               | 2P    | 2p3                   | 2D*   |    |
O IV      |               134.2992   |   130 | 4.29e+07  | B    |    22.40694        -     31.63889       | 2s.2p2               | 2P    | 2p3                   | 2D*   |    |
O IV      |               134.3512   |   230 | 2.57e+08  | B    |    22.40694        -     31.63530       | 2s.2p2               | 2P    | 2p3                   | 2D*   |    |
O V       |               137.1292   |   640 | 3.336e+08 | A+   |    19.68840        -     28.72979       | 1s2.2s.2p            | 1P*   | 1s2.2p2               | 1D    |    |
O II      |               137.3437   |     7 | 5.40e+06  | D    |    23.4191936      -     32.446508      | 2s2.2p2.(3P).3s      | 2P    | 2s2.2p2.(3P).5p       | 2D*   |    |
          |                          |       |           |      |                                         |                      |       |                       |       |    |
O II      |               137.3595   |     8 | 6.48e+06  | C    |    23.4415071      -     32.467733      | 2s2.2p2.(3P).3s      | 2P    | 2s2.2p2.(3P).5p       | 2D*   |    |
O II      |               137.6826   |     4 | 1.07e+06  | D    |    23.4415071      -     32.446508      | 2s2.2p2.(3P).3s      | 2P    | 2s2.2p2.(3P).5p       | 2D*   |    |
O II      |               139.2806   |     4 |           |      |    23.4191936      -     32.320977      | 2s2.2p2.(3P).3s      | 2P    | 2s2.2p2.(3P).5p       | 2S*   |    |
O II      |               139.6304   |     8 |           |      |    23.4415071      -     32.320977      | 2s2.2p2.(3P).3s      | 2P    | 2s2.2p2.(3P).5p       | 2S*   |    |
O II      |               143.3772   |     6 | 5.10e+06  | D    |    22.9662468      -     31.613682      | 2s2.2p2.(3P).3s      | 4P    | 2s.2p3.(5S*).3s       | 4S*   |    |
          |                          |       |           |      |                                         |                      |       |                       |       |    |
O II      |               143.5943   |     8 | 1.01e+07  | C    |    22.9793019      -     31.613682      | 2s2.2p2.(3P).3s      | 4P    | 2s.2p3.(5S*).3s       | 4S*   |    |
O II      |               143.9233   |     8 | 1.51e+07  | C    |    22.9989592      -     31.613682      | 2s2.2p2.(3P).3s      | 4P    | 2s.2p3.(5S*).3s       | 4S*   |    |
O III     |               147.689    |   160 | 3.05e+08  | B    |    36.074224       -     44.469274      | 2s2.2p.(2P*).3p      | 1P    | 2s2.2p.(2P*).4s       | 1P*   |    |
O II      |               150.2838   |    15 | 4.99e+07  | C+   |    20.579945       -     28.829684      | 2s.2p4               | 2D    | 2s2.2p2.(1D).3p       | 2P*   |    |
O II      |               150.3045   |    10 | 5.53e+06  | C+   |    20.580942       -     28.829684      | 2s.2p4               | 2D    | 2s2.2p2.(1D).3p       | 2P*   |    |
          |                          |       |           |      |                                         |                      |       |                       |       |    |
O II      |               150.4121   |    12 | 5.56e+07  | C+   |    20.580942       -     28.823900      | 2s.2p4               | 2D    | 2s2.2p2.(1D).3p       | 2P*   |    |
O V       |               150.672    |  160w |           |      |                                         |                      |       |                       |       |    |
O II      |               155.9946   |     6 | 2.30e+06  | D    |    23.4191936      -     31.367181      | 2s2.2p2.(3P).3s      | 2P    | 2s2.2p2.(1S).3p       | 2P*   |    |
O II      |               156.0087   |     8 | 9.21e+06  | C    |    23.4191936      -     31.366418      | 2s2.2p2.(3P).3s      | 2P    | 2s2.2p2.(1S).3p       | 2P*   |    |
O II      |               156.3150   |     3 |           |      |    20.580942       -     28.512451      | 2s.2p4               | 2D    | 2s2.2p2.(1D).3p       | 2D*   |    |
          |                          |       |           |      |                                         |                      |       |                       |       |    |
O II      |               156.3485   |     3 |           |      |    20.579945       -     28.509802      | 2s.2p4               | 2D    | 2s2.2p2.(1D).3p       | 2D*   |    |
O II      |               156.4329   |    10 | 1.14e+07  | C    |    23.4415071      -     31.367181      | 2s2.2p2.(3P).3s      | 2P    | 2s2.2p2.(1S).3p       | 2P*   |    |
O II      |               156.4463   |     5 | 4.57e+06  | D    |    23.4415071      -     31.366418      | 2s2.2p2.(3P).3s      | 2P    | 2s2.2p2.(1S).3p       | 2P*   |    |
O II      |               157.8384   |     5 |           |      |    25.2856200      -     33.140755      | 2s2.2p2.(3P).3p      | 2S*   | 2s2.2p2.(3P).6s       | 2P    |    |
O III     |               159.001    |   285 | 3.96e+08  | C+   |    36.479010       -     44.276864      | 2s2.2p.(2P*).3p      | 3D    | 2s2.2p.(2P*).4s       | 3P*   |    |
          |                          |       |           |      |                                         |                      |       |                       |       |    |
O III     |               159.133    |   160 | 3.53e+08  | C+   |    36.451707       -     44.243137      | 2s2.2p.(2P*).3p      | 3D    | 2s2.2p.(2P*).4s       | 3P*   |    |
O II      |               159.3354   |    20 | 2.27e+07  | C+   |    20.579945       -     28.361068      | 2s.2p4               | 2D    | 2s2.2p2.(1D).3p       | 2F*   |    |
O II      |               159.3977   |    10 | 1.51e+06  | C+   |    20.579945       -     28.358141      | 2s.2p4               | 2D    | 2s2.2p2.(1D).3p       | 2F*   |    |
O II      |               159.4189   |    18 | 2.11e+07  | C+   |    20.580942       -     28.358141      | 2s.2p4               | 2D    | 2s2.2p2.(1D).3p       | 2F*   |    |
O II      |               161.6963   |     8 | 3.84e+06  | D    |    26.5610929      -     34.228976      | 2s2.2p2.(3P).3p      | 2P*   | 2s2.2p2.(1S).3d       | 2D    |    |
          |                          |       |           |      |                                         |                      |       |                       |       |    |
O II      |               163.2681   |     5 |           |      |    22.9662468      -     30.5600351     | 2s2.2p2.(3P).3s      | 4P    | 2s2.2p2.(3P).4p       | 4P*   |    |
O II      |               163.6249   |     8 |           |      |    22.9793019      -     30.5566023     | 2s2.2p2.(3P).3s      | 4P    | 2s2.2p2.(3P).4p       | 4P*   |    |
O II      |               163.7824   |     8 |           |      |    22.9662468      -     30.5362928     | 2s2.2p2.(3P).3s      | 4P    | 2s2.2p2.(3P).4p       | 4S*   |    |
O II      |               163.9767   |    10 |           |      |    22.9989592      -     30.5600351     | 2s2.2p2.(3P).3s      | 4P    | 2s2.2p2.(3P).4p       | 4P*   |    |
