
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                 Observed  |   Rel. |    Aki    | Acc. |             Ei           Ek             |          Lower level           |           Upper level            |   Type|
          |                Wavelength |   Int. |    s^-1   |      |            (eV)         (eV)            |--------------------------------|----------------------------------|       |
          |                 Vac (nm)  |        |           |      |                                         | Conf.                | Term    | Conf.                 | Term     |       |
Ti V      |               117.7719    |      4 |           |      |     60.61943       -      71.14688      | 3s.3p6.3d            | 3D      | 3s2.3p5.(2P*<3/2>).4d | 2[5/2]*  |       |
Ti V      |               117.9541    |        |           |      |     61.75122       -      72.26251      | 3s2.3p5.4p           | 3P      | 3s2.3p5.(2P*<1/2>).4d | 2[3/2]*  |       |
          |                           |        |           |      |                                         |                      |         |                       |          |       |
Ti V      |               118.1192    |      2 |           |      |     61.25262       -      71.74947      | 3s2.3p5.4p           | 1D      | 3s2.3p5.(2P*<1/2>).4d | 2[5/2]*  |       |
Ti V      |               118.1192    |      2 |           |      |     61.76600       -      72.26251      | 3s2.3p5.4p           | 3P      | 3s2.3p5.(2P*<1/2>).4d | 2[3/2]*  |       |
Ti IV     |               118.3635    |      8 | 6.9e+08   | D    |     15.860227      -      26.335153     | 3p6.4p               | 2P*     | 3p6.5s                | 2S       |       |
Ti V      |               118.8796    |      3 |           |      |     60.50114       -      70.93060      | 3s2.3p5.4p           | 3D      | 3s2.3p5.(2P*<3/2>).4d | 2[7/2]*  |       |
Ti V      |               119.1195    |      5 |           |      |     61.16146       -      71.56985      | 3s2.3p5.4p           | 3D      | 3s2.3p5.(2P*<3/2>).4d | 2[3/2]*  |       |
          |                           |        |           |      |                                         |                      |         |                       |          |       |
Ti V      |               119.2353    |      8 |           |      |     60.53227       -      70.93060      | 3s2.3p5.4p           | 3D      | 3s2.3p5.(2P*<3/2>).4d | 2[7/2]*  |       |
Ti IV     |               119.5208    |     10 | 1.4e+09   | D    |     15.961674      -      26.335153     | 3p6.4p               | 2P*     | 3p6.5s                | 2S       |       |
Ti V      |               119.7598    |      4 |           |      |     61.90980       -      72.26251      | 3s2.3p5.4p           | 3P      | 3s2.3p5.(2P*<1/2>).4d | 2[3/2]*  |       |
Ti V      |               119.8659    |      9 |           |      |     60.50114       -      70.84470      | 3s2.3p5.4p           | 3D      | 3s2.3p5.(2P*<3/2>).4d | 2[7/2]*  |       |
Ti V      |               120.3011    |      4 |           |      |     60.94551       -      71.25171      | 3s.3p6.3d            | 3D      | 3s2.3p5.(2P*<3/2>).4d | 2[5/2]*  |       |
          |                           |        |           |      |                                         |                      |         |                       |          |       |
Ti V      |               121.0290    |        |           |      |     60.50114       -      70.74511      | 3s2.3p5.4p           | 3D      | 3s2.3p5.(2P*<3/2>).4d | 2[3/2]*  |       |
Ti V      |               121.4000    |        |           |      |     60.53227       -      70.74511      | 3s2.3p5.4p           | 3D      | 3s2.3p5.(2P*<3/2>).4d | 2[3/2]*  |       |
