
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Vac (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           103.05   |     3 |           |      |                     |    |
           104.89   |    12 |           |      |                     |    |
           106.92   |     4 |           |      |                     |    |
           107.47   |     3 |           |      |                     |    |
           111.867  |     4 |           |      |                     |    |
                    |       |           |      |                     |    |
           116.70   |     4 |           |      |                     |    |
           125.06   |     4 |           |      |                     |    |
           126.69   |     1 |           |      |                     |    |
           155.31   |    20 |           |      |                     |    |
           161.01   |     1 |           |      |                     |    |
                    |       |           |      |                     |    |
           171.123  |     4 |           |      |                     |    |
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Air (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           304.385  |    10 |           |      |                     |    |
           308.908  |     4 |           |      |                     |    |
           310.274  |     4 |           |      |                     |    |
           313.781  |    10 |           |      |                     |    |
           317.650  |    10 |           |      |                     |    |
                    |       |           |      |                     |    |
           324.284  |     5 |           |      |                     |    |
           353.017  |     1 |           |      |                     |    |
           358.987  |     7 |           |      |                     |    |
           368.931  |     7 |           |      |                     |    |
           370.602  |     3 |           |      |                     |    |
                    |       |           |      |                     |    |
           372.869  |     5 |           |      |                     |    |
           385.408  |    12 |           |      |                     |    |
           395.192  |     8 |           |      |                     |    |
           403.116  |     3 |           |      |                     |    |
           409.454  |     3 |           |      |                     |    |
                    |       |           |      |                     |    |
           412.811  |     2 |           |      |                     |    |
           427.266  |     8 |           |      |                     |    |
           449.934  |     6 |           |      |                     |    |
           457.121  |     7 |           |      |                     |    |
           459.645  |     1 |           |      |                     |    |
                    |       |           |      |                     |    |
           476.112  |     6 |           |      |                     |    |
           479.859  |     4 |           |      |                     |    |
           482.686  |     1 |           |      |                     |    |
           485.506  |     2 |           |      |                     |    |
           506.512  |     3 |           |      |                     |    |
                    |       |           |      |                     |    |
           519.156  |     4 |           |      |                     |    |
           552.397  |     5 |           |      |                     |    |
           577.941  |     3 |           |      |                     |    |
           585.796  |     6 |           |      |                     |    |
