
----------------------------------------------------------------------------------------------------------------------------------------------------------------
                  Observed  |  Rel. |     Aki    | Acc. |              Ei           Ek               |        Lower level         |      Upper level      |Type|
                 Wavelength |  Int. |     s^-1   |      |             (eV)         (eV)              |----------------------------|-----------------------|    |
                  Vac (nm)  |       |            |      |                                            | Conf.               | Term | Conf.          | Term |    |
                            |       |            |      |                                            |                     |      |                |      |    |
                 229.697    |  250* | 1.09e+07   | A    |     11.9638993      -     [17.360339]      | 1s2.3p              | 2P*  | 1s2.8d         | 2D   |    |
                 229.697    |  250* | 2.17e+06   | A    |     11.9641384      -     [17.360339]      | 1s2.3p              | 2P*  | 1s2.8d         | 2D   |    |
                 229.697    |  250* | 1.30e+07   | A    |     11.9641384      -     [17.360339]      | 1s2.3p              | 2P*  | 1s2.8d         | 2D   |    |
                 232.460    |   40* |            |      |    133.23436+x      -     138.56630+x?     | 1s.2p.3p            | 4P   | 1s.2p.6d       | 4D*  |    |
                 232.460    |   40* |            |      |    133.23436+x      -     138.56630+x?     | 1s.2p.3p            | 4P   | 1s.2p.6d       | 4D*  |    |
                            |       |            |      |                                            |                     |      |                |      |    |
                 232.460    |   40* |            |      |    115.87476+x      -     121.20669+x      | 1s.2s.2p            | 4P*  | 1s.2p2         | 4P   |    |
                 232.460    |   40* |            |      |    115.87476+x      -     121.20669+x      | 1s.2s.2p            | 4P*  | 1s.2p2         | 4P   |    |
                 232.460    |   40* |            |      |    115.87476+x      -     121.20669+x      | 1s.2s.2p            | 4P*  | 1s.2p2         | 4P   |    |
                 232.460    |   40* |            |      |    115.87476+x      -     121.20669+x      | 1s.2s.2p            | 4P*  | 1s.2p2         | 4P   |    |
                 232.460    |   40* |            |      |    115.87476+x      -     121.20669+x      | 1s.2s.2p            | 4P*  | 1s.2p2         | 4P   |    |
                            |       |            |      |                                            |                     |      |                |      |    |
                 232.460    |   40* |            |      |    133.23436+x      -     138.56630+x?     | 1s.2p.3p            | 4P   | 1s.2p.6d       | 4D*  |    |
                 232.460    |   40* |            |      |    133.23436+x      -     138.56630+x?     | 1s.2p.3p            | 4P   | 1s.2p.6d       | 4D*  |    |
                 232.460    |   40* |            |      |    133.23436+x      -     138.56630+x?     | 1s.2p.3p            | 4P   | 1s.2p.6d       | 4D*  |    |
                 232.460    |   40* |            |      |    133.23436+x      -     138.56630+x?     | 1s.2p.3p            | 4P   | 1s.2p.6d       | 4D*  |    |
