
---------------------------------------------------------------------------------------
Spectrum  |           Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
          |          Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          |           Vac (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------------------
          |                     |       |           |      |                     |    |
Se II     |           101.34    |   360 |           |      |                     |    |
Se II     |           101.40    |   360 |           |      |                     |    |
Se II     |           103.36    |   450 |           |      |                     |    |
Se II     |           104.96    |   450 |           |      |                     |    |
Se II     |           105.74    |   360 |           |      |                     |    |
          |                     |       |           |      |                     |    |
Se III    |           107.98    |   285 |           |      |                     |    |
Se V      |           109.47    |   360 |           |      |                     |    |
Se II     |           109.78    |   285 |           |      |                     |    |
Se III    |           109.91    |   360 |           |      |                     |    |
Se III    |           111.92    |   450 |           |      |                     |    |
          |                     |       |           |      |                     |    |
Se II     |           114.19    |   360 |           |      |                     |    |
Se V      |           115.10    |   220 |           |      |                     |    |
Se II     |           115.60    |   220 |           |      |                     |    |
Se II     |           115.69    |   285 |           |      |                     |    |
Se II     |           116.85    |   285 |           |      |                     |    |
          |                     |       |           |      |                     |    |
Se II     |           119.23    |   450 |           |      |                     |    |
Se II     |           120.57    |   220 |           |      |                     |    |
Se V      |           122.76    |   450 |           |      |                     |    |
Se II     |           123.49    |   220 |           |      |                     |    |
Se II     |           129.10    |   285 |           |      |                     |    |
          |                     |       |           |      |                     |    |
Se IV     |           130.72    |   220 |           |      |                     |    |
Se II     |           130.89    |   285 |           |      |                     |    |
Se IV     |           131.44    |   285 |           |      |                     |    |
Se I      |           140.54    |   100 |           |      |                     |    |
Se I      |           140.64    |   100 |           |      |                     |    |
          |                     |       |           |      |                     |    |
Se I      |           140.66    |   100 |           |      |                     |    |
Se I      |           143.53    |   120 |           |      |                     |    |
Se I      |           143.58    |   120 |           |      |                     |    |
Se I      |           144.48    |   100 |           |      |                     |    |
Se I      |           144.68    |   100 |           |      |                     |    |
          |                     |       |           |      |                     |    |
Se I      |           144.70    |   100 |           |      |                     |    |
Se I      |           144.92    |   150 |           |      |                     |    |
Se I      |           145.63    |   120 |           |      |                     |    |
Se I      |           150.09    |   150 |           |      |                     |    |
Se I      |           153.04    |   250 |           |      |                     |    |
          |                     |       |           |      |                     |    |
Se I      |           153.13    |   150 |           |      |                     |    |
Se I      |           153.18    |   200 |           |      |                     |    |
Se I      |           154.71    |   120 |           |      |                     |    |
Se I      |           156.03    |   120 |           |      |                     |    |
Se I      |           157.53    |   150 |           |      |                     |    |
          |                     |       |           |      |                     |    |
Se I      |           157.76    |   150 |           |      |                     |    |
Se I      |           157.79    |   150 |           |      |                     |    |
Se I      |           157.95    |   150 |           |      |                     |    |
Se I      |           158.00    |   200 |           |      |                     |    |
Se I      |           158.75    |   150 |           |      |                     |    |
          |                     |       |           |      |                     |    |
Se I      |           159.32    |   150 |           |      |                     |    |
Se I      |           160.65    |   250 |           |      |                     |    |
Se I      |           161.07    |   100 |           |      |                     |    |
Se I      |           161.13    |   100 |           |      |                     |    |
Se I      |           161.74    |   200 |           |      |                     |    |
          |                     |       |           |      |                     |    |
Se I      |           162.12    |   150 |           |      |                     |    |
Se I      |           162.27    |   100 |           |      |                     |    |
Se I      |           162.62    |   120 |           |      |                     |    |
Se I      |           164.34    |   150 |           |      |                     |    |
Se I      |           167.12    |   250 |           |      |                     |    |
          |                     |       |           |      |                     |    |
Se I      |           167.53    |   250 |           |      |                     |    |
Se I      |           169.07    |   250 |           |      |                     |    |
Se I      |           179.33    |   250 |           |      |                     |    |
Se I      |           179.53    |   300 |           |      |                     |    |
Se I      |           185.52    |   300 |           |      |                     |    |
          |                     |       |           |      |                     |    |
Se I      |           185.88    |   250 |           |      |                     |    |
Se I      |           189.86    |   400 |           |      |                     |    |
Se I      |           191.38    |   350 |           |      |                     |    |
Se I      |           191.92    |   300 |           |      |                     |    |
Se I      |           196.09    |   500 |           |      |                     |    |
          |                     |       |           |      |                     |    |
Se I      |           199.51    |   150 |           |      |                     |    |
---------------------------------------------------------------------------------------
Spectrum  |           Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
          |          Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          |           Air (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------------------
          |                     |       |           |      |                     |    |
Se I      |           203.98    |   500 |           |      |                     |    |
Se III    |           205.75    |   285 |           |      |                     |    |
Se I      |           207.48    |   500 |           |      |                     |    |
Se IV     |           209.00    |   220 |           |      |                     |    |
Se IV     |           213.66    |   285 |           |      |                     |    |
          |                     |       |           |      |                     |    |
Se I      |           216.42    |   500 |           |      |                     |    |
Se IV     |           216.52    |   160 |           |      |                     |    |
Se IV     |           216.66    |   160 |           |      |                     |    |
Se I      |           233.28    |   150 |           |      |                     |    |
Se I      |           241.35    |   600 |           |      |                     |    |
          |                     |       |           |      |                     |    |
Se I      |           254.80    |   300 |           |      |                     |    |
Se IV     |           266.55    |   360 |           |      |                     |    |
Se IV     |           272.43    |   285 |           |      |                     |    |
Se III    |           276.72    |   285 |           |      |                     |    |
Se III    |           277.38    |   220 |           |      |                     |    |
          |                     |       |           |      |                     |    |
Se IV     |           295.16    |   160 |           |      |                     |    |
Se II     |           303.87    |   220 |           |      |                     |    |
Se II     |           304.13    |   220 |           |      |                     |    |
Se III    |           337.98    |   285 |           |      |                     |    |
Se III    |           338.72    |   450 |           |      |                     |    |
          |                     |       |           |      |                     |    |
Se III    |           341.39    |   450 |           |      |                     |    |
Se III    |           342.84    |   285 |           |      |                     |    |
Se III    |           345.78    |   450 |           |      |                     |    |
Se III    |           354.36    |   360 |           |      |                     |    |
Se III    |           357.02    |   285 |           |      |                     |    |
          |                     |       |           |      |                     |    |
Se III    |           363.76    |   450 |           |      |                     |    |
Se III    |           371.17    |   360 |           |      |                     |    |
Se III    |           373.87    |   450 |           |      |                     |    |
Se III    |           374.30    |   285 |           |      |                     |    |
Se III    |           380.09    |   450 |           |      |                     |    |
          |                     |       |           |      |                     |    |
Se III    |           404.67    |   360 |           |      |                     |    |
Se II     |           407.02    |   285 |           |      |                     |    |
Se III    |           408.32    |   220 |           |      |                     |    |
Se III    |           416.91    |   450 |           |      |                     |    |
Se II     |           417.53    |   360 |           |      |                     |    |
          |                     |       |           |      |                     |    |
Se II     |           418.09    |   450 |           |      |                     |    |
Se I      |           432.87    |   120 |           |      |                     |    |
Se I      |           433.03    |   100 |           |      |                     |    |
Se II     |           438.29    |   285 |           |      |                     |    |
Se II     |           444.60    |   285 |           |      |                     |    |
          |                     |       |           |      |                     |    |
Se II     |           444.92    |   220 |           |      |                     |    |
Se II     |           446.76    |   285 |           |      |                     |    |
Se III    |           463.79    |   220 |           |      |                     |    |
Se I      |           473.08    |   500 |           |      |                     |    |
Se I      |           473.90    |   400 |           |      |                     |    |
          |                     |       |           |      |                     |    |
Se I      |           474.22    |   300 |           |      |                     |    |
Se II     |           484.06    |   285 |           |      |                     |    |
Se II     |           484.50    |   360 |           |      |                     |    |
Se II     |           522.75    |   450 |           |      |                     |    |
