
-----------------------------------------------------------------------------
            Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
           Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
            Air (nm)  |       |           |      |                     |    |
-----------------------------------------------------------------------------
           449.24181  |   175 |           |      |                     |    |
           450.5948   |   100 |           |      |                     |    |
           451.35745  |   125 |           |      |                     |    |
                      |       |           |      |                     |    |
           451.4007   |   150 | 3.34e+07  |      |                     |    |
           452.2029   |   100 |           |      |                     |    |
           452.7239   |    60 |           |      |                     |    |
           452.7783   |    20 | 8.33e+07  |      |                     |    |
           453.40869  |    80 | 4.4e+06   |      |                     |    |
                      |       |           |      |                     |    |
           454.43060  |   150 | 4.10e+07  |      |                     |    |
           455.9362   |   150 | 4.0e+07   |      |                     |    |
           456.43913  |   125 |           |      |                     |    |
           457.3537   |   250 |           |      |                     |    |
           458.1325   |  2000 | 1.5e+07   |      |                     |    |
                      |       |           |      |                     |    |
           458.1771   |  1000 |           |      |                     |    |
           459.6528   |  1500 |           |      |                     |    |
           460.4793   |   650 |           |      |                     |    |
           461.2991   |   500 | 1.8e+07   |      |                     |    |
           464.3698   |    30 | 1.8e+07   |      |                     |    |
                      |       |           |      |                     |    |
           465.37843  |   400 | 1.6e+07   |      |                     |    |
           465.8319   |   300 |           |      |                     |    |
           465.8882   |   175 |           |      |                     |    |
           466.74730  |   250 |           |      |                     |    |
           467.0852   |   200 |           |      |                     |    |
                      |       |           |      |                     |    |
           467.4848   |  5000 | 1.3e+07   |      |                     |    |
           467.8357   |   175 |           |      |                     |    |
           468.9767   |    35 |           |      |                     |    |
           469.6799   |   800 |           |      |                     |    |
           470.8851   |   100 |           |      |                     |    |
                      |       |           |      |                     |    |
           472.58417  |   250 | 1.5e+07   |      |                     |    |
           472.85140  |   400 |           |      |                     |    |
           473.23989  |   500 |           |      |                     |    |
           474.1401   |   850 |           |      |                     |    |
           475.2790   |   700 |           |      |                     |    |
                      |       |           |      |                     |    |
           476.0978   |     6 |           |      |                     |    |
           476.2955   |    11 | 4.2e+06   |      |                     |    |
           478.0163   |    70 | 8.9e+06   |      |                     |    |
           478.10330  |   200 | 1.0e+07   |      |                     |    |
           478.68753  |   300 |           |      |                     |    |
                      |       |           |      |                     |    |
           479.9301   |   300 | 1.6e+07   |      |                     |    |
           480.4313   |   150 | 2.6e+07   |      |                     |    |
           480.4803   |   200 | 3.84e+07  |      |                     |    |
           481.96386  |   300 |           |      |                     |    |
           482.16279  |    50 | 1.0e+07   |      |                     |    |
                      |       |           |      |                     |    |
           482.2121   |   300 |           |      |                     |    |
           483.91470  |   150 |           |      |                     |    |
           483.9866   |   500 |           |      |                     |    |
           484.5668   |   500 | 6.8e+07   |      |                     |    |
           485.2682   |   300 | 6.2e+07   |      |                     |    |
                      |       |           |      |                     |    |
           485.4243   |   200 |           |      |                     |    |
           485.6714   |   150 | 2.0e+07   |      |                     |    |
           485.98413  |   500 | 7.26e+07  |      |                     |    |
           487.9652   |   200 |           |      |                     |    |
           488.6291   |   200 |           |      |                     |    |
                      |       |           |      |                     |    |
           488.6640   |   150 |           |      |                     |    |
           489.3436   |   300 | 2.2e+07   |      |                     |    |
           490.008    |  mYII | 2.0e+07   |      |                     |    |
           490.6108   |   300 | 1.2e+07   |      |                     |    |
           490.89897  |    10 |           |      |                     |    |
                      |       |           |      |                     |    |
           492.1877   |   400 |           |      |                     |    |
           493.0935   |    70 |           |      |                     |    |
           495.0005   |     6 | 2.0e+06   |      |                     |    |
           495.0661   |    50 |           |      |                     |    |
           496.3489   |     3 | 1.4e+06   |      |                     |    |
                      |       |           |      |                     |    |
           497.43036  |  1000 |           |      |                     |    |
           498.19646  |     2 | 4.7e+05   |      |                     |    |
           500.44350  |     2 | 1.2e+06   |      |                     |    |
           500.69623  |   200 |           |      |                     |    |
           507.0187   |    20 |           |      |                     |    |
                      |       |           |      |                     |    |
           507.21943  |    20 |           |      |                     |    |
           508.82011  |     9 |           |      |                     |    |
           513.51993  |   300 |           |      |                     |    |
           520.50105  |     3 | 8.4e+05   |      |                     |    |
           524.0800   |   400 |           |      |                     |    |
                      |       |           |      |                     |    |
           525.8474   |     2 | 2.9e+05   |      |                     |    |
           527.182    |       | 1.1e+06   |      |                     |    |
           538.06294  |   300 | 3.2e+07   |      |                     |    |
           538.1244   |     4 | 9.9e+05   |      |                     |    |
           538.83878  |    10 | 1.1e+06   |      |                     |    |
