
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |               Observed  |      Rel. |    Aki    | Acc. |            Ei           Ek            |                  Lower level                  |                  Upper level                   |Type|
          |              Wavelength |      Int. |    s^-1   |      |           (eV)         (eV)           |-----------------------------------------------|------------------------------------------------|    |
          |               Vac (nm)  |           |           |      |                                       | Conf.                | Term                   | Conf.                | Term                    |    |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                         |           |           |      |                                       |                      |                        |                      |                         |    |
Hg III    |             100.929     |         2 |           |      |                                       |                      |                        |                      |                         |    |
Hg II     |             102.2965    |        50 | 1.0e+06   |      |     4.4032520     -     16.5233145    | 5d9.6s2              | 2D                     | 5d10.6f              | 2F*                     |    |
Hg II     |             102.7570    |       100 | 1.6e+08   |      |     7.5144789     -     19.5802293    | 5d10.6p              | 2P*                    | 5d9.6p2              | (2D<5/2>,3P<2>)         |    |
Hg II     |             102.9908    |      6000 | 1.2e+05   |      |     0.000000      -     12.0383412    | 5d10.6s              | 2S                     | 5d9.6s.6p            | (2D<3/2>,3P<0>)*        |    |
Hg II     |             103.3737    |        25 | 8.2e+06   |      |     6.3834588     -     18.3772437    | 5d10.6p              | 2P*                    | 5d9.6s.6d            | [(2D<5/2>,1/2)<2>,3/2]  |    |
          |                         |           |           |      |                                       |                      |                        |                      |                         |    |
Hg II     |             103.4691    |        20 | 1.6e+07   |      |     6.3834588     -     18.3661925    | 5d10.6p              | 2P*                    | 5d9.6s.6d            | [(2D<5/2>,1/2)<2>,3/2]  |    |
Hg II     |             103.9631    |    200000 | 3.0e+08   |      |     0.000000      -     11.9257831    | 5d10.6s              | 2S                     | 5d9.6s.6p            | (2D<5/2>,3P<2>)*        |    |
Hg II     |             105.2960    |       150 |           |      |                                       |                      |                        |                      |                         |    |
Hg II     |             106.2780    |    200000 | 5.2e+07   |      |     0.000000      -     11.6660241    | 5d10.6s              | 2S                     | 5d9.6s.6p            | (2D<5/2>,3P<2>)*        |    |
Hg I      |             106.68      |         8 |           |      |     0.000000      -     11.62183      | 5d10.6s2             | 1S                     | 5d9.6s2.(2D<3/2>).6p | 2[3/2]*                 |    |
          |                         |           |           |      |                                       |                      |                        |                      |                         |    |
Hg III    |             106.803     |         5 |           |      |                                       |                      |                        |                      |                         |    |
Hg II     |             107.0369    |       120 | 2.3e+07   |      |     6.3834588     -     17.9667640    | 5d10.6p              | 2P*                    | 5d9.6s.6d            | [(2D<5/2>,1/2)<3>,5/2]  |    |
Hg II     |             107.3337    |       15l | 9.2e+06   |      |     6.3834588     -     17.9347694    | 5d10.6p              | 2P*                    | 5d10.11d             | 2D                      |    |
Hg II     |             107.4416    |        12 | 3.0e+06   |      |     6.3834588     -     17.9231321    | 5d10.6p              | 2P*                    | 5d9.6s.6d            | [(2D<5/2>,1/2)<3>,3/2]  |    |
Hg II     |             108.3646    |       500 | 1.5e+07   |      |     4.4032520     -     15.8446196    | 5d9.6s2              | 2D                     | 5d10.8p              | 2P*                     |    |
          |                         |           |           |      |                                       |                      |                        |                      |                         |    |
