
--------------------------------------------------------------------------------------
Spectrum  |          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
          |         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          |          Vac (nm)  |       |           |      |                     |    |
--------------------------------------------------------------------------------------
          |                    |       |           |      |                     |    |
Pt I      |           265.945  |  2800 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Pt I      |           267.457  |    40 |           |      |                     |    |
Pt I      |           267.715  |   440 |           |      |                     |    |
Pt I      |           269.843  |   200 |           |      |                     |    |
Pt I      |           270.240  |  2000 |           |      |                     |    |
Pt I      |           270.589  |  1600 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Pt I      |           271.313  |    60 |           |      |                     |    |
Pt I      |           271.904  |  1300 |           |      |                     |    |
Pt I      |           272.992  |   130 |           |      |                     |    |
Pt I      |           273.396  |  1800 |           |      |                     |    |
Pt I      |           273.848  |    70 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Pt I      |           274.761  |    70 |           |      |                     |    |
Pt I      |           275.386  |    80 |           |      |                     |    |
Pt I      |           275.492  |   200 |           |      |                     |    |
Pt I      |           276.984  |    30 |           |      |                     |    |
Pt I      |           277.167  |   500 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Pt I      |           277.324  |    40 |           |      |                     |    |
Pt I      |           277.400  |    20 |           |      |                     |    |
Pt II     |           277.477  |    50 |           |      |                     |    |
Pt I      |           279.327  |    50 |           |      |                     |    |
Pt II     |           279.421  |   100 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Pt II     |           279.998  |   40w |           |      |                     |    |
Pt I      |           280.324  |   140 |           |      |                     |    |
Pt I      |           280.851  |    10 |           |      |                     |    |
Pt I      |           281.825  |    50 |           |      |                     |    |
Pt II     |           282.227  |   30w |           |      |                     |    |
          |                    |       |           |      |                     |    |
Pt I      |           283.030  |  1400 |           |      |                     |    |
Pt I      |           283.471  |    70 |           |      |                     |    |
Pt I      |           285.311  |    16 |           |      |                     |    |
Pt II     |           286.068  |   80w |           |      |                     |    |
Pt II     |           286.505  |   40w |           |      |                     |    |
          |                    |       |           |      |                     |    |
Pt II     |           287.585  |   40w |           |      |                     |    |
Pt II     |           287.752  |  100w |           |      |                     |    |
Pt I      |           288.820  |    25 |           |      |                     |    |
Pt I      |           289.322  |    25 |           |      |                     |    |
Pt I      |           289.386  |   600 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Pt I      |           289.787  |   300 |           |      |                     |    |
Pt I      |           290.590  |    60 |           |      |                     |    |
Pt I      |           291.226  |   120 |           |      |                     |    |
Pt I      |           291.354  |   120 |           |      |                     |    |
Pt I      |           291.934  |    70 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Pt I      |           292.138  |    30 |           |      |                     |    |
Pt I      |           292.979  |  1700 |           |      |                     |    |
Pt I      |           294.276  |    30 |           |      |                     |    |
Pt I      |           294.475  |    30 |           |      |                     |    |
Pt I      |           295.910  |    25 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Pt I      |           296.075  |    60 |           |      |                     |    |
Pt I      |           299.797  |  1800 |           |      |                     |    |
Pt II     |           300.117  |    35 |           |      |                     |    |
Pt I      |           300.227  |   220 |           |      |                     |    |
Pt I      |           301.788  |    30 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Pt II     |           303.122  |   30w |           |      |                     |    |
Pt I      |           303.645  |   130 |           |      |                     |    |
Pt I      |           304.264  |   800 |           |      |                     |    |
Pt I      |           306.471  |  3200 |           |      |                     |    |
Pt I      |           307.194  |    30 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Pt I      |           310.004  |   130 |           |      |                     |    |
Pt I      |           313.939  |   320 |           |      |                     |    |
Pt I      |           315.656  |   140 |           |      |                     |    |
Pt I      |           320.071  |   120 |           |      |                     |    |
Pt I      |           320.404  |   320 |           |      |                     |    |
          |                    |       |           |      |                     |    |
