
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                Observed  |      Rel. |    Aki    | Acc. |             Ei           Ek             |           Lower level           |           Upper level           |Type|
          |               Wavelength |      Int. |    s^-1   |      |            (eV)         (eV)            |---------------------------------|---------------------------------|    |
          |                Vac (nm)  |           |           |      |                                         | Conf.                 | Term    | Conf.                 | Term    |    |
Ar III    |             115.7470     |         1 |           |      |     19.4692145     -      30.18095105   | 3s2.3p3.(4S*).3d      | 3D*     | 3s2.3p3.(2P*).4p      | 3P      |    |
Ar III    |             115.9770     |         6 |           |      |     19.4559166     -      30.1463924    | 3s2.3p3.(4S*).3d      | 3D*     | 3s2.3p3.(2P*).4p      | 3P      |    |
Ar VIII   |             116.39       |         * |           |      |    108.6125        -     119.2650       | 2p6.5g                | 2G      | 2p6.6h                | 2H*     |    |
Ar VIII   |             116.39       |         * |           |      |    108.6108        -     119.2632       | 2p6.5g                | 2G      | 2p6.6h                | 2H*     |    |
Ar VIII   |             117.14       |         * |           |      |    119.2632        -     129.848        | 2p6.6h                | 2H*     | 2p6.8i                | 2I      |    |
          |                          |           |           |      |                                         |                       |         |                       |         |    |
Ar VIII   |             117.14       |         * |           |      |    119.2650        -     129.849        | 2p6.6h                | 2H*     | 2p6.8i                | 2I      |    |
Ar IV     |             118.779      |         6 |           |      |      4.32142       -      14.75946      | 3s2.3p3               | 2P*     | 3s.3p4                | 4P      |    |
Ar IV     |             119.0328     |        80 |           |      |      4.34346       -      14.75946      | 3s2.3p3               | 2P*     | 3s.3p4                | 4P      |    |
Ar IV     |             119.186      |         6 |           |      |     25.75904       -      36.16161      | 3s2.3p2.(1D).3d       | 2G      | 3s2.3p2.(3P).4p       | 2D*     |    |
Ar V      |             119.4528     |         5 |           |      |      4.70054       -      15.08004      | 3s2.3p2               | 1S      | 3s.3p3                | 3D*     |    |
          |                          |           |           |      |                                         |                       |         |                       |         |    |
Ar IV     |             119.782      |        10 |           |      |      4.34346       -      14.69407      | 3s2.3p3               | 2P*     | 3s.3p4                | 4P      |    |
Ar III    |             119.9370     |        12 |           |      |     19.4550439     -      29.79245576   | 3s2.3p3.(4S*).3d      | 3D*     | 3s2.3p3.(2P*).4p      | 3D      |    |
Ar III    |             119.9950     |        12 |           |      |     19.4559166     -      29.7882504    | 3s2.3p3.(4S*).3d      | 3D*     | 3s2.3p3.(2P*).4p      | 3D      |    |
Ar III    |             120.1490     |        6* |           |      |     19.4559166     -      29.7750507    | 3s2.3p3.(4S*).3d      | 3D*     | 3s2.3p3.(2P*).4p      | 3D      |    |
Ar III    |             120.1490     |        6* |           |      |     19.4692145     -      29.7882504    | 3s2.3p3.(4S*).3d      | 3D*     | 3s2.3p3.(2P*).4p      | 3D      |    |
          |                          |           |           |      |                                         |                       |         |                       |         |    |
Ar V      |             120.239      |        1d |           |      |     24.22102       -      34.53240      | 3s.3p3                | 1P*     | 3p4                   | 1D      |    |
