
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                Observed  |   Rel. |    Aki    | Acc. |            Ei           Ek            |      Lower level      |            Upper level            |Type|
          |               Wavelength |   Int. |    s^-1   |      |           (eV)         (eV)           |-----------------------|-----------------------------------|    |
          |                Vac (nm)  |        |           |      |                                       | Conf.          | Term | Conf.                | Term       |    |
Ge II     |              119.4787    |    20h |           |      |     6.6166319     -     16.99386      | 4s.4p2         | 4P   | 4s.4p.(3P*).4d       | 4D*        |    |
Ge II     |              120.5049    |      5 |           |      |     6.6166319     -     16.90538      | 4s.4p2         | 4P   | 4s.4p.(3P*).4d       | 4D*        |    |
          |                          |        |           |      |                                       |                |      |                      |            |    |
Ge II     |              120.6725    |      5 |           |      |     6.6166319     -     16.89107      | 4s.4p2         | 4P   | 4s.4p.(3P*).4d       | 4D*        |    |
Ge III    |              121.247     |      8 |           |      |                                       |                |      |                      |            |    |
Ge V      |              122.230     |    700 |           |      |                                       |                |      |                      |            |    |
Ge IV     |              122.981     |     20 |           |      |                                       |                |      |                      |            |    |
Ge II     |              123.70580   |    500 | 1.9e+09   |      |     0.000000      -     10.0224953    | 4s2.4p         | 2P*  | 4s2.4d               | 2D         |    |
          |                          |        |           |      |                                       |                |      |                      |            |    |
Ge II     |              126.19041   |    500 | 2.2e+09   |      |     0.2191243     -     10.0442816    | 4s2.4p         | 2P*  | 4s2.4d               | 2D         |    |
Ge II     |              126.47087   |    100 | 3.5e+08   |      |     0.2191243     -     10.0224953    | 4s2.4p         | 2P*  | 4s2.4d               | 2D         |    |
Ge II     |              126.8444    |     10 |           |      |     6.3945945     -     16.16913      | 4s.4p2         | 4P   | 4s.4p.(3P*).4d       | 4F*        |    |
Ge II     |              128.0050    |     10 |           |      |     6.4832502     -     16.16913      | 4s.4p2         | 4P   | 4s.4p.(3P*).4d       | 4F*        |    |
Ge III    |              132.324     |      4 |           |      |                                       |                |      |                      |            |    |
          |                          |        |           |      |                                       |                |      |                      |            |    |
Ge II     |              138.0425    |    100 |           |      |     6.4832502     -     15.46485      | 4s.4p2         | 4P   | 4s.4p.(3P*).5s       | 4P*        |    |
Ge II     |              139.2265    |     50 |           |      |     6.3945945     -     15.29980      | 4s.4p2         | 4P   | 4s.4p.(3P*).5s       | 4P*        |    |
