
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                 Observed  |   Rel. |    Aki    | Acc. |            Ei           Ek            |           Lower level           |           Upper level            |Type|
          |                Wavelength |   Int. |    s^-1   |      |           (eV)         (eV)           |---------------------------------|----------------------------------|    |
          |                 Vac (nm)  |        |           |      |                                       | Conf.                 | Term    | Conf.                  | Term    |    |
Kr IV     |              110.2485     |      1 |           |      |     4.14177       -     15.38764      | 4s2.4p3               | 2P*     | 4s.4p4                 | 4P      |    |
Kr III    |              110.612      |      3 |           |      |    14.801261      -     26.010190     | 4s.4p5                | 3P*     | 4s2.4p3.(2P*).5p       | 3P      |    |
Kr V      |              111.709      |     3d |           |      |    24.058024      -     35.1568       | 4s.4p3                | 1P*     | 4s2.4p.5p              | 1P      |    |
          |                           |        |           |      |                                       |                       |         |                        |         |    |
Kr III    |              112.072      |      5 |           |      |    14.801261      -     25.864285     | 4s.4p5                | 3P*     | 4s2.4p3.(2D*).5p       | 3S      |    |
Kr IV     |              112.098      |      5 |           |      |    21.56731       -     32.62769      | 4s.4p4                | 2S      | 4s2.4p2.(1D).5p        | 2P*     |    |
Kr IV     |              112.290      |      3 |           |      |    18.07352       -     29.11495      | 4s.4p4                | 2D      | 4s2.4p2.(3P).5p        | 2S*     |    |
Kr IV     |              112.3328     |      9 |           |      |     4.14177       -     15.17895      | 4s2.4p3               | 2P*     | 4s.4p4                 | 4P      |    |
Kr V      |              112.804      |      7 |           |      |    23.5916        -     34.5827       | 4s2.4p.4d             | 3F*     | 4s2.4p.5p              | 3D      |    |
          |                           |        |           |      |                                       |                       |         |                        |         |    |
Kr III    |              114.855      |    6bl |           |      |    15.069406      -     25.864285     | 4s.4p5                | 3P*     | 4s2.4p3.(2D*).5p       | 3S      |    |
Kr IV     |              115.302      |      9 |           |      |    20.26461       -     31.01760      | 4s2.4p2.(3P).4d       | 2P      | 4s2.4p2.(3P).5p        | 2P*     |    |
Kr VIII   |              115.760      |     4* |           |      |    90.8919        -    101.6023       | 5g                    | 2G      | 6h                     | 2H*     |    |
Kr VIII   |              115.760      |     4* |           |      |    90.8919        -    101.6023       | 5g                    | 2G      | 6h                     | 2H*     |    |
Kr VIII   |              115.760      |     4* |           |      |    90.8917        -    101.6023       | 5g                    | 2G      | 6h                     | 2H*     |    |
          |                           |        |           |      |                                       |                       |         |                        |         |    |
Kr III    |              115.8737     |      6 |           |      |     4.10135       -     14.801261     | 4s2.4p4               | 1S      | 4s.4p5                 | 3P*     |    |
Kr I      |              116.4867     |     71 |           |      |     0.0000000     -     10.64363439   | 4s2.4p6               | 1S      | 4s2.4p5.(2P*<1/2>).5s  | 2[1/2]* |    |
Kr IV     |              116.603      |      4 |           |      |    20.26461       -     30.89763      | 4s2.4p2.(3P).4d       | 2P      | 4s2.4p2.(3P).5p        | 2D*     |    |
Kr VII    |              116.693      |     1d |           |      |    61.0964        -     71.7211       | 4s.5p                 | 3P*     | 4s.5d                  | 3D      |    |
Kr VII    |              116.954      |      8 |           |      |    61.1514        -     71.7524       | 4s.5p                 | 3P*     | 4s.5d                  | 3D      |    |
          |                           |        |           |      |                                       |                       |         |                        |         |    |
Kr IV     |              117.1568     |      9 |           |      |     4.14177       -     14.72455      | 4s2.4p3               | 2P*     | 4s.4p4                 | 4P      |    |
Kr VII    |              117.28       |     BF |           |      |    61.1514        -     71.7211       | 4s.5p                 | 3P*     | 4s.5d                  | 3D      |    |
Kr IV     |              118.015      |     10 |           |      |    20.60133       -     31.10722      | 4s.4p4                | 2P      | 4s2.4p2.(3P).5p        | 2P*     |    |
Kr IV     |              118.418      |     1d |           |      |    22.44120       -     32.91128      | 4s2.4p2.(3P).4d       | 4D      | 4s2.4p2.(1D).5p        | 2P*     |    |
Kr IV     |              118.695      |     1d |           |      |    21.58635       -     32.03199      | 4s2.4p2.(3P).4d       | 4F      | 4s2.4p2.(1D).5p        | 2D*     |    |
          |                           |        |           |      |                                       |                       |         |                        |         |    |
Kr IV     |              119.029      |      7 |           |      |    20.60133       -     31.01760      | 4s.4p4                | 2P      | 4s2.4p2.(3P).5p        | 2P*     |    |
Kr VIII   |              119.159      |      2 |           |      |    79.4833        -     89.8884       | 5d                    | 2D      | 5f                     | 2F*     |    |
Kr VII    |              119.716      |     10 |           |      |    61.44389       -     71.8004       | 4s.5p                 | 3P*     | 4s.5d                  | 3D      |    |
Kr VIII   |              119.922      |      8 |           |      |    79.5504        -     89.8890       | 5d                    | 2D      | 5f                     | 2F*     |    |
Kr IV     |              120.239      |      4 |           |      |    20.26461       -     30.57610      | 4s2.4p2.(3P).4d       | 2P      | 4s2.4p2.(3P).5p        | 4S*     |    |
          |                           |        |           |      |                                       |                       |         |                        |         |    |
Kr VII    |              120.274      |    3ws |           |      |    61.44389       -     71.7524       | 4s.5p                 | 3P*     | 4s.5d                  | 3D      |    |
Kr III    |              120.6346     |      5 |           |      |    14.373603      -     24.651077     | 4s.4p5                | 3P*     | 4s2.4p3.(2D*).5p       | 3P      |    |
Kr V      |              120.963      |     10 |           |      |    26.524294      -     36.7737       | 4s2.4p.4d             | 3P*     | 4s2.4p.5p              | 1D      |    |
Kr V      |              121.407      |     10 |           |      |    26.202394      -     36.4148       | 4s2.4p.4d             | 3P*     | 4s2.4p.5p              | 3S      |    |
Kr III    |              121.6896     |      5 |           |      |    14.373603      -     24.562233     | 4s.4p5                | 3P*     | 4s2.4p3.(2D*).5p       | 3P      |    |
          |                           |        |           |      |                                       |                       |         |                        |         |    |
Kr IV     |              123.424      |      7 |           |      |    20.26461       -     30.30991      | 4s2.4p2.(3P).4d       | 2P      | 4s2.4p2.(3P).5p        | 4P*     |    |
Kr I      |              123.5838     |    100 |           |      |     0.0000000     -     10.03240018   | 4s2.4p6               | 1S      | 4s2.4p5.(2P*<3/2>).5s  | 2[3/2]* |    |
Kr IV     |              124.298      |      8 |           |      |    20.60133       -     30.57610      | 4s.4p4                | 2P      | 4s2.4p2.(3P).5p        | 4S*     |    |
Kr IV     |              124.810      |      9 |           |      |    20.26461       -     30.19848      | 4s2.4p2.(3P).4d       | 2P      | 4s2.4p2.(3P).5p        | 4P*     |    |
Kr V      |              125.312      |   10bl |           |      |    26.202394      -     36.0965       | 4s2.4p.4d             | 3P*     | 4s2.4p.5p              | 3P      |    |
          |                           |        |           |      |                                       |                       |         |                        |         |    |
Kr V      |              125.354      |     12 |           |      |    26.524294      -     36.4148       | 4s2.4p.4d             | 3P*     | 4s2.4p.5p              | 3S      |    |
Kr V      |              125.432      |    12w |           |      |    26.889015      -     36.7737       | 4s2.4p.4d             | 1D*     | 4s2.4p.5p              | 1D      |    |
Kr IV     |              125.578      |      8 |           |      |    22.17792       -     32.05110      | 4s2.4p2.(3P).4d       | 4F      | 4s2.4p2.(1D).5p        | 2F*     |    |
Kr IV     |              125.730      |      9 |           |      |    22.22148       -     32.08255      | 4s2.4p2.(1D).4d       | 2F      | 4s2.4p2.(1D).5p        | 2D*     |    |
Kr III    |              125.8745     |      3 |           |      |    14.801261      -     24.651077     | 4s.4p5                | 3P*     | 4s2.4p3.(2D*).5p       | 3P      |    |
          |                           |        |           |      |                                       |                       |         |                        |         |    |
Kr III    |              125.9309     |      3 |           |      |    14.801261      -     24.646676     | 4s.4p5                | 3P*     | 4s2.4p3.(2D*).5p       | 3P      |    |
Kr IV     |              126.133      |     2d |           |      |    22.22148       -     32.05110      | 4s2.4p2.(1D).4d       | 2F      | 4s2.4p2.(1D).5p        | 2F*     |    |
Kr IV     |              126.379      |      9 |           |      |    22.22148       -     32.03199      | 4s2.4p2.(1D).4d       | 2F      | 4s2.4p2.(1D).5p        | 2D*     |    |
Kr III    |              126.5315     |      4 |           |      |    14.373603      -     24.172307     | 4s.4p5                | 3P*     | 4s2.4p3.(2D*).5p       | 1F      |    |
Kr VIII   |              126.768      |      7 |           |      |    69.7697        -     79.5504       | 4f                    | 2F*     | 5d                     | 2D      |    |
          |                           |        |           |      |                                       |                       |         |                        |         |    |
Kr III    |              127.0204     |      5 |           |      |    14.801261      -     24.562233     | 4s.4p5                | 3P*     | 4s2.4p3.(2D*).5p       | 3P      |    |
Kr V      |              127.128      |     6d |           |      |    26.202394      -     35.9552       | 4s2.4p.4d             | 3P*     | 4s2.4p.5p              | 3D      |    |
Kr IV     |              127.621      |     10 |           |      |    20.26461       -     29.97970      | 4s2.4p2.(3P).4d       | 2P      | 4s2.4p2.(3P).5p        | 4P*     |    |
Kr VIII   |              127.694      |      6 |           |      |    69.7740        -     79.4833       | 4f                    | 2F*     | 5d                     | 2D      |    |
Kr XXV    |              127.71       |        |           |      |    51.1174        -     60.8418       | 3s.3p                 | 3P*     | 3s.3p                  | 3P*     | M1 |
          |                           |        |           |      |                                       |                       |         |                        |         |    |
Kr III    |              127.820      |     1d |           |      |    22.271136      -     31.971240     | 4s2.4p3.(4S*).5p      | 3P      | 4s2.4p3.(2D*).6d       | 3S*     |    |
Kr III    |              127.8943     |      1 |           |      |    14.373603      -     24.067843     | 4s.4p5                | 3P*     | 4s2.4p3.(2D*).5p       | 1P      |    |
Kr IV     |              127.923      |      8 |           |      |    21.41505       -     31.10722      | 4s2.4p2.(3P).4d       | 4F      | 4s2.4p2.(3P).5p        | 2P*     |    |
Kr IV     |              128.207      |      2 |           |      |    22.41193       -     32.08255      | 4s2.4p2.(3P).4d       | 4D      | 4s2.4p2.(1D).5p        | 2D*     |    |
Kr III    |              128.3313     |      3 |           |      |    14.373603      -     24.035000     | 4s.4p5                | 3P*     | 4s2.4p3.(2D*).5p       | 3D      |    |
          |                           |        |           |      |                                       |                       |         |                        |         |    |
Kr IV     |              128.346      |     10 |           |      |    22.22148       -     31.88163      | 4s2.4p2.(1D).4d       | 2F      | 4s2.4p2.(1D).5p        | 2F*     |    |
Kr III    |              128.3798     |      3 |           |      |    14.373603      -     24.031249     | 4s.4p5                | 3P*     | 4s2.4p3.(2D*).5p       | 3F      |    |
Kr V      |              128.447      |      7 |           |      |    27.121147      -     36.7737       | 4s2.4p.4d             | 3D*     | 4s2.4p.5p              | 1D      |    |
Kr IV     |              128.542      |      3 |           |      |    20.26461       -     29.91015      | 4s2.4p2.(3P).4d       | 2P      | 4s2.4p2.(3P).5p        | 4D*     |    |
Kr IV     |              128.598      |     12 |           |      |    22.44120       -     32.08255      | 4s2.4p2.(3P).4d       | 4D      | 4s2.4p2.(1D).5p        | 2D*     |    |
          |                           |        |           |      |                                       |                       |         |                        |         |    |
Kr IV     |              128.625      |     10 |           |      |    22.41193       -     32.05110      | 4s2.4p2.(3P).4d       | 4D      | 4s2.4p2.(1D).5p        | 2F*     |    |
Kr IV     |              128.637      |      9 |           |      |    20.60133       -     30.23960      | 4s.4p4                | 2P      | 4s2.4p2.(3P).5p        | 2D*     |    |
Kr IV     |              128.752      |     1d |           |      |    22.40229       -     32.03199      | 4s2.4p2.(3P).4d       | 4D      | 4s2.4p2.(1D).5p        | 2D*     |    |
Kr III    |              128.817      |     10 |           |      |    22.346554      -     31.971240     | 4s2.4p3.(4S*).5p      | 3P      | 4s2.4p3.(2D*).6d       | 3S*     |    |
Kr IV     |              129.189      |     2d |           |      |    20.60133       -     30.19848      | 4s.4p4                | 2P      | 4s2.4p2.(3P).5p        | 4P*     |    |
          |                           |        |           |      |                                       |                       |         |                        |         |    |
Kr IV     |              129.276      |      8 |           |      |    22.44120       -     32.03199      | 4s2.4p2.(3P).4d       | 4D      | 4s2.4p2.(1D).5p        | 2D*     |    |
Kr V      |              129.287      |   10bl |           |      |    26.202394      -     35.7921       | 4s2.4p.4d             | 3P*     | 4s2.4p.5p              | 3P      |    |
Kr III    |              129.3988     |      3 |           |      |    15.069406      -     24.651077     | 4s.4p5                | 3P*     | 4s2.4p3.(2D*).5p       | 3P      |    |
Kr V      |              129.508      |     10 |           |      |    27.199847      -     36.7737       | 4s2.4p.4d             | 3D*     | 4s2.4p.5p              | 1D      |    |
Kr IV     |              129.964      |     10 |           |      |    21.56731       -     31.10722      | 4s.4p4                | 2S      | 4s2.4p2.(3P).5p        | 2P*     |    |
          |                           |        |           |      |                                       |                       |         |                        |         |    |
Kr V      |              130.158      |     10 |           |      |    26.889015      -     36.4148       | 4s2.4p.4d             | 1D*     | 4s2.4p.5p              | 3S      |    |
Kr V      |              130.243      |     11 |           |      |    27.254611      -     36.7737       | 4s2.4p.4d             | 3D*     | 4s2.4p.5p              | 1D      |    |
Kr III    |              130.2586     |      2 |           |      |    14.373603      -     23.891983     | 4s.4p5                | 3P*     | 4s2.4p3.(2D*).5p       | 3F      |    |
Kr IV     |              130.927      |     10 |           |      |    22.41193       -     31.88163      | 4s2.4p2.(3P).4d       | 4D      | 4s2.4p2.(1D).5p        | 2F*     |    |
Kr IV     |              131.196      |      2 |           |      |    21.56731       -     31.01760      | 4s.4p4                | 2S      | 4s2.4p2.(3P).5p        | 2P*     |    |
          |                           |        |           |      |                                       |                       |         |                        |         |    |
Kr IV     |              131.414      |     10 |           |      |    22.64799       -     32.08255      | 4s2.4p2.(3P).4d       | 4D      | 4s2.4p2.(1D).5p        | 2D*     |    |
Kr IV     |              131.854      |      8 |           |      |    22.64799       -     32.05110      | 4s2.4p2.(3P).4d       | 4D      | 4s2.4p2.(1D).5p        | 2F*     |    |
