
------------------------------------------------------------------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |         Ei           Ek         |    Lower level     |      Upper level      |Type|
         Wavelength |  Int. |    s^-1   |      |        (eV)         (eV)        |--------------------|-----------------------|    |
          Air (nm)  |       |           |      |                                 | Conf.       | Term | Conf.         | Term  |    |
           278.973  |   140 |           |      |                                 |             |      |               |       |    |
           280.800  |   230 |           |      |                                 |             |      |               |       |    |
                    |       |           |      |                                 |             |      |               |       |    |
           281.386  |   230 |           |      |                                 |             |      |               |       |    |
           281.448  |   170 |           |      |                                 |             |      |               |       |    |
           282.022  |  1200 |           |      |    0.378261    -     4.773209   | 5d.6s2      | a 2D | 5d2.(3F).6p   | z 4G* |    |
           282.268  |   490 |           |      |                                 |             |      |               |       |    |
           284.921  |   270 |           |      |                                 |             |      |               |       |    |
                    |       |           |      |                                 |             |      |               |       |    |
           285.121  |   180 |           |      |                                 |             |      |               |       |    |
           286.101  |   760 |           |      |                                 |             |      |               |       |    |
           286.170  |   760 |           |      |                                 |             |      |               |       |    |
           286.982  |   130 |           |      |                                 |             |      |               |       |    |
           287.633  |   150 |           |      |                                 |             |      |               |       |    |
                    |       |           |      |                                 |             |      |               |       |    |
           289.871  |   130 |           |      |                                 |             |      |               |       |    |
           290.991  |   140 |           |      |                                 |             |      |               |       |    |
           291.959  |   320 |           |      |                                 |             |      |               |       |    |
           292.963  |   490 |           |      |                                 |             |      |               |       |    |
           293.780  |   710 |           |      |                                 |             |      |               |       |    |
                    |       |           |      |                                 |             |      |               |       |    |
           296.180  |   120 |           |      |                                 |             |      |               |       |    |
           296.723  |   140 |           |      |                                 |             |      |               |       |    |
           296.881  |   710 |           |      |                                 |             |      |               |       |    |
           297.588  |   890 |           |      |                                 |             |      |               |       |    |
           300.010  |   170 |           |      |                                 |             |      |               |       |    |
                    |       |           |      |                                 |             |      |               |       |    |
           301.290  |  1100 |           |      |                                 |             |      |               |       |    |
           301.694  |  1100 |           |      |                                 |             |      |               |       |    |
           302.529  |   140 |           |      |                                 |             |      |               |       |    |
           303.116  |   410 |           |      |                                 |             |      |               |       |    |
           304.608  |   110 |           |      |                                 |             |      |               |       |    |
                    |       |           |      |                                 |             |      |               |       |    |
           306.468  |   130 |           |      |                                 |             |      |               |       |    |
           308.066  |   150 |           |      |                                 |             |      |               |       |    |
           310.140  |   340 |           |      |                                 |             |      |               |       |    |
           310.912  |   710 |           |      |                                 |             |      |               |       |    |
           311.087  |   130 |           |      |                                 |             |      |               |       |    |
                    |       |           |      |                                 |             |      |               |       |    |
           313.472  |   850 |           |      |    0.378261    -     4.332300   | 5d.6s2      | a 2D | 5d2.(3F).6p   | z 4G* |    |
           313.965  |   170 |           |      |                                 |             |      |               |       |    |
           314.076  |   120 |           |      |                                 |             |      |               |       |    |
           314.532  |   220 |           |      |                                 |             |      |               |       |    |
           316.261  |   710 |           |      |                                 |             |      |               |       |    |
                    |       |           |      |                                 |             |      |               |       |    |
           317.686  |   450 |           |      |                                 |             |      |               |       |    |
           319.353  |   360 |           |      |                                 |             |      |               |       |    |
           319.419  |   670 |           |      |                                 |             |      |               |       |    |
           319.999  |   130 |           |      |                                 |             |      |               |       |    |
           321.730  |   180 |           |      |                                 |             |      |               |       |    |
                    |       |           |      |                                 |             |      |               |       |    |
           322.061  |   180 |           |      |                                 |             |      |               |       |    |
           325.370  |   890 | 2.1e+07   |      |    0.378261    -     4.187720   | 5d.6s2      | a 2D | 5d.6s.(3D).6p | z 4F* |    |
           325.528  |   270 |           |      |                                 |             |      |               |       |    |
           327.366  |   180 |           |      |                                 |             |      |               |       |    |
           327.998  |   270 |           |      |                                 |             |      |               |       |    |
                    |       |           |      |                                 |             |      |               |       |    |
           331.799  |   180 |           |      |                                 |             |      |               |       |    |
           332.821  |   130 |           |      |                                 |             |      |               |       |    |
           335.206  |   370 |           |      |                                 |             |      |               |       |    |
           338.414  |   140 |           |      |                                 |             |      |               |       |    |
           338.470  |   230 |           |      |                                 |             |      |               |       |    |
                    |       |           |      |                                 |             |      |               |       |    |
           338.983  |   800 |           |      |                                 |             |      |               |       |    |
           339.459  |   230 |           |      |                                 |             |      |               |       |    |
           339.498  |   140 |           |      |                                 |             |      |               |       |    |
           339.980  |  2300 | 3.1e+07   |      |    0.00000     -     3.645770   | 5d.6s2      | a 2D | 5d.6s.(3D).6p | z 4F* |    |
           340.776  |   140 |           |      |                                 |             |      |               |       |    |
                    |       |           |      |                                 |             |      |               |       |    |
           341.017  |   230 |           |      |                                 |             |      |               |       |    |
           342.837  |   200 |           |      |                                 |             |      |               |       |    |
           343.824  |   250 |           |      |                                 |             |      |               |       |    |
           346.264  |   140 |           |      |                                 |             |      |               |       |    |
           347.899  |   200 |           |      |                                 |             |      |               |       |    |
                    |       |           |      |                                 |             |      |               |       |    |
           347.928  |   480 |           |      |                                 |             |      |               |       |    |
           349.575  |   250 |           |      |                                 |             |      |               |       |    |
           350.523  |  1200 |           |      |                                 |             |      |               |       |    |
           351.875  |   130 |           |      |                                 |             |      |               |       |    |
           353.554  |   980 |           |      |                                 |             |      |               |       |    |
                    |       |           |      |                                 |             |      |               |       |    |
           355.270  |   540 |           |      |                                 |             |      |               |       |    |
           356.166  |  1300 |           |      |                                 |             |      |               |       |    |
           356.904  |  1100 |           |      |                                 |             |      |               |       |    |
           359.742  |   210 |           |      |                                 |             |      |               |       |    |
           362.400  |   110 |           |      |                                 |             |      |               |       |    |
                    |       |           |      |                                 |             |      |               |       |    |
           363.087  |   320 |           |      |                                 |             |      |               |       |    |
           364.436  |   800 |           |      |                                 |             |      |               |       |    |
           366.105  |   140 |           |      |                                 |             |      |               |       |    |
           366.535  |   220 |           |      |                                 |             |      |               |       |    |
           369.840  |   100 |           |      |                                 |             |      |               |       |    |
                    |       |           |      |                                 |             |      |               |       |    |
