
-----------------------------------------------------------------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |         Ei           Ek         |     Lower level     |     Upper level     |Type|
         Wavelength |  Int. |    s^-1   |      |        (eV)         (eV)        |---------------------|---------------------|    |
          Air (nm)  |       |           |      |                                 | Conf.       | Term  | Conf.       | Term  |    |
          262.258   |   150 |           |      |    0.701499    -     5.427665   | 4d9         | a 2D  | 4d8.(1G).5p | x 2F* |    |
          262.588   |   230 |           |      |    0.701499    -     5.421707   | 4d9         | a 2D  | 4d8.(1D).5p | y 2P* |    |
          263.042   |   100 |           |      |    0.322115    -     5.034190   | 4d8.(3F).5s | a 4F  | 4d8.(1S).5p | x 2P* |    |
                    |       |           |      |                                 |             |       |             |       |    |
          263.499   |    40 |           |      |                                 |             |       |             |       |    |
          264.300   |    75 |           |      |                                 |             |       |             |       |    |
          264.728   |   110 |           |      |    0.701499    -     5.383567   | 4d9         | a 2D  | 4d8.(1D).5p | x 2D* |    |
          265.266   |   400 |           |      |    0.322115    -     4.994682   | 4d8.(3F).5s | a 4F  | 4d8.(1D).5p | y 2F* |    |
          265.901   |    30 |           |      |    0.189692    -     4.851100   | 4d8.(3F).5s | a 4F  |             | 6*    |    |
                    |       |           |      |                                 |             |       |             |       |    |
          267.106   |    30 |           |      |    0.430557    -     5.070953   | 4d8.(3F).5s | a 4F  | 4d8.(3P).5p | z 4S* |    |
          267.611   |    65 |           |      |    0.705590    -     5.337215   | 4d8.(3F).5s | a 2F  |             | 16*   |    |
          268.028   |    25 |           |      |                                 |             |       |             |       |    |
          268.063   |   100 |           |      |    0.410370    -     5.034190   | 4d9         | a 2D  | 4d8.(1S).5p | x 2P* |    |
          268.178   |    30 |           |      |    1.833462    -     6.455283   | 4d7.5s2     | b 4F  |             | 31*   |    |
                    |       |           |      |                                 |             |       |             |       |    |
          269.431   |    50 |           |      |    0.430557    -     5.030900   | 4d8.(3F).5s | a 4F  | 4d8.(1D).5p | y 2F* |    |
          270.373   |   400 |           |      |    0.410370    -     4.994682   | 4d9         | a 2D  | 4d8.(1D).5p | y 2F* |    |
          270.723   |    40 |           |      |    0.322115    -     4.900510   | 4d8.(3F).5s | a 4F  | 4d8.(3P).5p | y 2D* |    |
          271.441   |    75 |           |      |    0.965989    -     5.532253   | 4d8.(3F).5s | a 2F  |             | 18*   |    |
          271.751   |    75 |           |      |    0.00000     -     4.561066   | 4d8.(3F).5s | a 4F  | 4d8.(3P).5p | y 4D* |    |
                    |       |           |      |                                 |             |       |             |       |    |
          271.854   |   180 |           |      |    0.701499    -     5.260833   | 4d9         | a 2D  | 4d8.(1D).5p | x 2D* |    |
          272.014   |    65 |           |      |                                 |             |       |             |       |    |
          272.052   |    30 |           |      |    1.732646    -     6.288657   | 4d8.(3P).5s | a 2P  |             | 29*   |    |
          272.894   |   160 |           |      |    0.322115    -     4.864071   | 4d8.(3F).5s | a 4F  | 4d8.(1D).5p | y 2P* |    |
          273.676   |    40 |           |      |    0.322115    -     4.851100   | 4d8.(3F).5s | a 4F  |             | 6*    |    |
                    |       |           |      |                                 |             |       |             |       |    |
          274.175   |    75 |           |      |    1.143286    -     5.664021   | 4d8.(3P).5s | a 4P  |             | 20*   |    |
          276.773   |    50 |           |      |    0.322115    -     4.800434   | 4d8.(3F).5s | a 4F  | 4d8.(3P).5p | y 2D* |    |
          277.151   |   100 |           |      |    0.322115    -     4.794324   | 4d8.(3F).5s | a 4F  |             | 4*    |    |
          277.806   |    50 |           |      |    0.965989    -     5.427665   | 4d8.(3F).5s | a 2F  | 4d8.(1G).5p | x 2F* |    |
          277.954   |    75 |           |      |    1.278700    -     5.738000   | 4d8.(3P).5s | a 4P  |             | 21*   |    |
                    |       |           |      |                                 |             |       |             |       |    |
          278.303   |   130 |           |      |    0.410370    -     4.864071   | 4d9         | a 2D  | 4d8.(1D).5p | y 2P* |    |
          279.116   |    25 |           |      |    0.410370    -     4.851100   | 4d9         | a 2D  |             | 6*    |    |
          279.663   |    75 |           |      |    1.364576    -     5.796616   | 4d8.(3P).5s | a 4P  |             | 23*   |    |
          282.643   |   150 |           |      |    1.278700    -     5.664021   | 4d8.(3P).5s | a 4P  |             | 20*   |    |
          282.668   |   180 |           |      |    1.143286    -     5.528222   | 4d8.(3P).5s | a 4P  |             | 17*   |    |
                    |       |           |      |                                 |             |       |             |       |    |
          282.731   |    30 |           |      |    0.410370    -     4.794324   | 4d9         | a 2D  |             | 4*    |    |
          283.412   |    75 |           |      |    1.364576    -     5.738000   | 4d8.(3P).5s | a 4P  |             | 21*   |    |
          283.544   |    45 |           |      |    0.189692    -     4.561066   | 4d8.(3F).5s | a 4F  | 4d8.(3P).5p | y 4D* |    |
          283.669   |    75 |           |      |    0.701499    -     5.070953   | 4d9         | a 2D  | 4d8.(3P).5p | z 4S* |    |
          285.616   |    50 |           |      |    0.430557    -     4.770221   | 4d8.(3F).5s | a 4F  | 4d8.(3P).5p | y 4D* |    |
                    |       |           |      |                                 |             |       |             |       |    |
          286.068   |  50bl |           |      |    0.701499    -     5.034319   | 4d9         | a 2D  | 4d8.(3P).5p | z 2S* |    |
          286.076   |       |           |      |    0.701499    -     5.034190   | 4d9         | a 2D  | 4d8.(1S).5p | x 2P* |    |
          286.294   |   280 |           |      |    0.701499    -     5.030900   | 4d9         | a 2D  | 4d8.(1D).5p | y 2F* |    |
          286.440   |    65 |           |      |    0.410370    -     4.737555   | 4d9         | a 2D  | 4d8.(3P).5p | z 2P* |    |
          287.135   |    50 |           |      |                                 |             |       |             |       |    |
                    |       |           |      |                                 |             |       |             |       |    |
          287.362   |    30 |           |      |                                 |             |       |             |       |    |
          287.866   |   110 |           |      |    0.410370    -     4.716126   | 4d9         | a 2D  | 4d8.(3P).5p | y 4D* |    |
          288.076   |    75 |           |      |    0.410370    -     4.712980   | 4d9         | a 2D  |             | 3*    |    |
          288.237   |   140 |           |      |    1.143286    -     5.443493   | 4d8.(3P).5s | a 4P  | 4d8.(1G).5p | x 2F* |    |
          288.597   |    75 |           |      |    0.965989    -     5.260833   | 4d8.(3F).5s | a 2F  | 4d8.(1D).5p | x 2D* |    |
                    |       |           |      |                                 |             |       |             |       |    |
          288.911   |    75 |           |      |    0.189692    -     4.479886   | 4d8.(3F).5s | a 4F  |             | 1*    |    |
          288.984   |    75 |           |      |    0.705590    -     4.994682   | 4d8.(3F).5s | a 2F  | 4d8.(1D).5p | y 2F* |    |
          289.996   |    65 |           |      |    1.278700    -     5.552839   | 4d8.(3P).5s | a 4P  |             | 19*   |    |
          290.481   |    25 |           |      |    1.783164    -     6.050148   | 4d8.(1D).5s | b 2D  |             | 25*   |    |
          290.721   |   160 |           |      |    0.322115    -     4.585586   | 4d8.(3F).5s | a 4F  | 4d8.(3P).5p | y 4D* |    |
                    |       |           |      |                                 |             |       |             |       |    |
          291.262   |    75 |           |      |    0.701499    -     4.957049   | 4d9         | a 2D  |             | 9*    |    |
          291.542   |    90 |           |      |    0.705590    -     4.957049   | 4d8.(3F).5s | a 2F  |             | 9*    |    |
          292.310   |    30 |           |      |    1.143286    -     5.383567   | 4d8.(3P).5s | a 4P  | 4d8.(1D).5p | x 2D* |    |
          292.402   |   180 |           |      |    0.322115    -     4.561066   | 4d8.(3F).5s | a 4F  | 4d8.(3P).5p | y 4D* |    |
          292.911   |   130 |           |      |    0.701499    -     4.933094   | 4d9         | a 2D  |             | 8*    |    |
                    |       |           |      |                                 |             |       |             |       |    |
          293.194   |   130 |           |      |    0.705590    -     4.933094   | 4d8.(3F).5s | a 2F  |             | 8*    |    |
          295.541   |    30 |           |      |    1.143286    -     5.337215   | 4d8.(3P).5s | a 4P  |             | 16*   |    |
          296.866   |   230 |           |      |    0.410370    -     4.585586   | 4d9         | a 2D  | 4d8.(3P).5p | y 4D* |    |
          297.403   |    25 |           |      |    1.364576    -     5.532253   | 4d8.(3P).5s | a 4P  |             | 18*   |    |
          297.768   |   160 |           |      |    0.701499    -     4.864071   | 4d9         | a 2D  | 4d8.(1D).5p | y 2P* |    |
                    |       |           |      |                                 |             |       |             |       |    |
          298.620   |   450 |           |      |    0.410370    -     4.561066   | 4d9         | a 2D  | 4d8.(3P).5p | y 4D* |    |
          298.699   |    90 |           |      |    0.701499    -     4.851100   | 4d9         | a 2D  |             | 6*    |    |
          298.745   |    50 |           |      |    1.278700    -     5.427665   | 4d8.(3P).5s | a 4P  | 4d8.(1G).5p | x 2F* |    |
          300.446   |   110 |           |      |    1.143286    -     5.268768   | 4d8.(3P).5s | a 4P  |             | 14*   |    |
          301.954   |    50 |           |      |    1.278700    -     5.383567   | 4d8.(3P).5s | a 4P  | 4d8.(1D).5p | x 2D* |    |
                    |       |           |      |                                 |             |       |             |       |    |
          302.391   |   130 |           |      |    0.701499    -     4.800434   | 4d9         | a 2D  | 4d8.(3P).5p | y 2D* |    |
          302.843   |    50 |           |      |    0.701499    -     4.794324   | 4d9         | a 2D  |             | 4*    |    |
          304.577   |    30 |           |      |    0.410370    -     4.479886   | 4d9         | a 2D  |             | 1*    |    |
          304.676   |    30 |           |      |    0.965989    -     5.034190   | 4d8.(3F).5s | a 2F  | 4d8.(1S).5p | x 2P* |    |
          305.789   |    25 |           |      |    1.998463    -     6.051851   | 4d7.5s2     | b 4F  |             | 26*   |    |
                    |       |           |      |                                 |             |       |             |       |    |
          306.730   |    65 |           |      |    1.577460    -     5.618411   | 4d7.5s2     | b 4F  | 4d8.(1G).5p | y 2G* |    |
          308.396   |   180 | 4.8e+06   |      |    0.189692    -     4.208810   | 4d8.(3F).5s | a 4F  | 4d8.(3F).5p | z 2F* |    |
          308.742   |    29 |           |      |    0.701499    -     4.716126   | 4d9         | a 2D  | 4d8.(3P).5p | y 4D* |    |
          311.491   |    70 | 4.45e+06  |      |    0.410370    -     4.389566   | 4d9         | a 2D  | 4d8.(3P).5p | z 4P* |    |
          312.176   |   140 | 1.1e+07   |      |    0.410370    -     4.380839   | 4d9         | a 2D  | 4d8.(3P).5p | z 4P* |    |
                    |       |           |      |                                 |             |       |             |       |    |
          312.370   |   240 | 4.6e+06   |      |    0.00000     -     3.967991   | 4d8.(3F).5s | a 4F  | 4d8.(3F).5p | z 2F* |    |
          313.079   |    35 |           |      |    0.430557    -     4.389566   | 4d8.(3F).5s | a 4F  | 4d8.(3P).5p | z 4P* |    |
          313.771   |    95 | 3.3e+06   |      |    0.430557    -     4.380839   | 4d8.(3F).5s | a 4F  | 4d8.(3P).5p | z 4P* |    |
          315.136   |    45 |           |      |    1.833462    -     5.766641   | 4d7.5s2     | b 4F  |             | 22*   |    |
          315.260   |    45 |           |      |    0.701499    -     4.633118   | 4d9         | a 2D  | 4d8.(3P).5p | z 2P* |    |
                    |       |           |      |                                 |             |       |             |       |    |
          315.578   |   130 |           |      |    1.143286    -     5.070953   | 4d8.(3P).5s | a 4P  | 4d8.(3P).5p | z 4S* |    |
          317.973   |    70 |           |      |    0.965989    -     4.864071   | 4d8.(3F).5s | a 2F  | 4d8.(1D).5p | y 2P* |    |
          318.559   |    80 |           |      |    1.143286    -     5.034190   | 4d8.(3P).5s | a 4P  | 4d8.(1S).5p | x 2P* |    |
          318.905   |   140 | 3.03e+07  |      |    0.322115    -     4.208810   | 4d8.(3F).5s | a 4F  | 4d8.(3F).5p | z 2F* |    |
          319.119   |   470 |           |      |    0.701499    -     4.585586   | 4d9         | a 2D  | 4d8.(3P).5p | y 4D* |    |
                    |       |           |      |                                 |             |       |             |       |    |
          319.713   |   190 | 4.35e+06  |      |    0.322115    -     4.198978   | 4d8.(3F).5s | a 4F  | 4d8.(3F).5p | z 2D* |    |
          321.432   |    70 |           |      |    0.00000     -     3.856125   | 4d8.(3F).5s | a 4F  | 4d8.(3F).5p | z 4G* |    |
          323.766   |    80 |           |      |    0.965989    -     4.794324   | 4d8.(3F).5s | a 2F  |             | 4*    |    |
          326.314   |   520 | 1.3e+07   |      |    0.410370    -     4.208810   | 4d9         | a 2D  | 4d8.(3F).5p | z 2F* |    |
          327.161   |   520 | 2.0e+07   |      |    0.410370    -     4.198978   | 4d9         | a 2D  | 4d8.(3F).5p | z 2D* |    |
                    |       |           |      |                                 |             |       |             |       |    |
          328.055   |  2300 | 2.36e+07  |      |    0.189692    -     3.967991   | 4d8.(3F).5s | a 4F  | 4d8.(3F).5p | z 2F* |    |
          328.170   |   110 |           |      |    1.483871    -     5.260833   | 4d8.(3P).5s | a 2P  | 4d8.(1D).5p | x 2D* |    |
          328.357   |  2300 | 4.4e+07   |      |    0.322115    -     4.096923   | 4d8.(3F).5s | a 4F  | 4d8.(3F).5p | z 2G* |    |
          328.914   |   280 | 1.0e+07   |      |    0.430557    -     4.198978   | 4d8.(3F).5s | a 4F  | 4d8.(3F).5p | z 2D* |    |
          328.964   |    45 |           |      |    1.833462    -     5.601312   | 4d7.5s2     | b 4F  | 4d8.(1G).5p | y 2G* |    |
                    |       |           |      |                                 |             |       |             |       |    |
          329.428   |   210 |           |      |    1.577460    -     5.340004   | 4d7.5s2     | b 4F  | 4d8.(1G).5p | z 2H* |    |
          329.672   |    45 |           |      |    1.577460    -     5.337215   | 4d7.5s2     | b 4F  |             | 16*   |    |
          330.046   |   260 |           |      |    1.278700    -     5.034190   | 4d8.(3P).5s | a 4P  | 4d8.(1S).5p | x 2P* |    |
          332.309   |  4200 | 6.3e+07   |      |    0.189692    -     3.919609   | 4d8.(3F).5s | a 4F  | 4d8.(3F).5p | z 2G* |    |
