
-----------------------------------------------------------------------------------------------------------------------------
          Observed  |    Rel. |    Aki    | Acc. |        Ei           Ek         |    Lower level     |  Upper level  |Type|
         Wavelength |    Int. |    s^-1   |      |       (eV)         (eV)        |--------------------|---------------|    |
          Air (nm)  |         |           |      |                                | Conf.       | Term | Conf.  | Term |    |
           241.877  |     150 |           |      |                                |             |      |        |      |    |
                    |         |           |      |                                |             |      |        |      |    |
           242.185  |     150 |           |      |                                |             |      |        |      |    |
           242.348  |     170 |           |      |                                |             |      |        |      |    |
           242.591  |     130 |           |      |                                |             |      |        |      |    |
           242.971  |     360 |           |      |                                |             |      |        |      |    |
           243.106  |     170 |           |      |                                |             |      |        |      |    |
                    |         |           |      |                                |             |      |        |      |    |
           243.270  |     480 |           |      |                                |             |      |        |      |    |
           243.359  |     130 |           |      |                                |             |      |        |      |    |
           243.651  |     130 |           |      |                                |             |      |        |      |    |
           243.864  |     110 |           |      |                                |             |      |        |      |    |
           244.413  |     100 |           |      |                                |             |      |        |      |    |
                    |         |           |      |                                |             |      |        |      |    |
           246.382  |     160 |           |      |                                |             |      |        |      |    |
           246.699  |     130 |           |      |                                |             |      |        |      |    |
           246.737  |     130 |           |      |                                |             |      |        |      |    |
           247.090  |     380 |           |      |                                |             |      |        |      |    |
           247.331  |     120 |           |      |                                |             |      |        |      |    |
                    |         |           |      |                                |             |      |        |      |    |
           247.667  |     200 |           |      |                                |             |      |        |      |    |
           248.186  |     120 |           |      |                                |             |      |        |      |    |
           248.258  |     100 |           |      |                                |             |      |        |      |    |
           248.404  |     100 |           |      |                                |             |      |        |      |    |
           248.870  |     600 |           |      |                                |             |      |        |      |    |
                    |         |           |      |                                |             |      |        |      |    |
           253.212  |     600 |           |      |                                |             |      |        |      |    |
           254.549  |     240 |           |      |                                |             |      |        |      |    |
           255.462  |     460 |           |      |                                |             |      |        |      |    |
           257.151  |     340 |           |      |                                |             |      |        |      |    |
           257.737  |     600 |           |      |                                |             |      |        |      |    |
                    |         |           |      |                                |             |      |        |      |    |
           258.403  |     340 |           |      |                                |             |      |        |      |    |
           259.366  |     410 |           |      |                                |             |      |        |      |    |
           259.425  |     310 |           |      |                                |             |      |        |      |    |
           259.645  |    310l |           |      |                                |             |      |        |      |    |
           260.349  |     600 |           |      |                                |             |      |        |      |    |
                    |         |           |      |                                |             |      |        |      |    |
           263.558  |    1200 |           |      |   0.127869    -     4.830719   | 5d3.(4F).6s | a 5F |        | 5G*  |    |
           265.122  |     270 |           |      |                                |             |      |        |      |    |
           266.560  |     220 |           |      |                                |             |      |        |      |    |
           267.590  |     770 |           |      |                                |             |      |        |      |    |
           268.006  |     270 |           |      |                                |             |      |        |      |    |
                    |         |           |      |                                |             |      |        |      |    |
           268.066  |     220 |           |      |                                |             |      |        |      |    |
           268.517  |   1500* |           |      |   0.00000     -     4.616031   | 5d3.(4F).6s | a 5F |        | 5G*  |    |
           268.517  |   1500* |           |      |   0.511406    -     5.127374   | 5d2.6s2     | a 3P |        | 413* |    |
           269.452  |     470 |           |      |                                |             |      |        |      |    |
           270.927  |     310 |           |      |                                |             |      |        |      |    |
                    |         |           |      |                                |             |      |        |      |    |
           272.744  |     470 |           |      |                                |             |      |        |      |    |
           273.625  |     310 |           |      |                                |             |      |        |      |    |
           273.926  |     210 |           |      |                                |             |      |        |      |    |
           275.249  |     410 |           |      |                                |             |      |        |      |    |
           276.168  |     430 |           |      |                                |             |      |        |      |    |
                    |         |           |      |                                |             |      |        |      |    |
           279.776  |     680 |           |      |                                |             |      |        |      |    |
           281.710  |     260 |           |      |                                |             |      |        |      |    |
           284.446  |     290 |           |      |                                |             |      |        |      |    |
           285.844  |     220 |           |      |                                |             |      |        |      |    |
           296.513  |     770 |           |      |                                |             |      |        |      |    |
                    |         |           |      |                                |             |      |        |      |    |
           301.254  |    1800 |           |      |   0.660918    -     4.775319   | 5d2.6s2     | a 3P |        | 5F*  |    |
           304.206  |     290 |           |      |                                |             |      |        |      |    |
           321.391  |     200 |           |      |                                |             |      |        |      |    |
           327.495  |     210 |           |      |                                |             |      |        |      |    |
           333.099  |   330bl |           |      |                                |             |      |        |      |    |
                    |         |           |      |                                |             |      |        |      |    |
           383.374  |     210 |           |      |                                |             |      |        |      |    |
