
---------------------------------------------------------------------------------------------------------------------------------------------------------
            Observed  |     Rel. |    Aki    | Acc. |          Ei           Ek          |        Lower level         |         Upper level         |Type|
           Wavelength |     Int. |    s^-1   |      |         (eV)         (eV)         |----------------------------|-----------------------------|    |
            Air (nm)  |          |           |      |                                   | Conf.               | Term | Conf.                | Term |    |
            271.5205  |       30 |           |      |    0.496255     -     5.061195    | 4d6.(5D).5s         | 6D   | 4d6.(3P2).5p         | 2D*  |    |
            272.3550  |       30 |           |      |    0.458808     -     5.009755    | 4d6.(5D).5s         | 6D   | 4d5.(4D).5s.(5D).5p  | 6P*  |    |
            272.6691  |     1000 |           |      |    0.318998     -     4.864708    | 4d6.(5D).5s         | 6D   | 4d5.(4G).5s.(5G).5p  | 6F*  |    |
                      |          |           |      |                                   |                     |      |                      |      |    |
            272.8471  |      30c |           |      |    0.403061     -     4.945860    | 4d6.(5D).5s         | 6D   | 4d5.(4G).5s.(5G).5p  | 6F*  |    |
            273.0529  |      500 |           |      |    0.318998     -     4.858322    | 4d6.(5D).5s         | 6D   | 4d5.(4P).5s.(5P).5p  | 6D*  |    |
            273.2872  |      300 |           |      |    0.403061     -     4.938489    | 4d6.(5D).5s         | 6D   | 4d5.(4G).5s.(5G).5p  | 6F*  |    |
            273.6231  |      150 |           |      |    0.458808     -     4.988660    | 4d6.(5D).5s         | 6D   | 4d5.(4G).5s.(5G).5p  | 4H*  |    |
            273.7973  |      100 |           |      |    0.403061     -     4.930031    | 4d6.(5D).5s         | 6D   | 4d5.(4G).5s.(5G).5p  | 6F*  |    |
                      |          |           |      |                                   |                     |      |                      |      |    |
            275.5761  |      100 |           |      |    0.458808     -     4.956564    | 4d6.(5D).5s         | 6D   | 4d6.(3F).5p          | 4F*  |    |
            276.2134  |      100 |           |      |    0.318998     -     4.806396    | 4d6.(5D).5s         | 6D   | 4d5.(4P).5s.(5P).5p  | 6D*  |    |
            276.2337  |      200 |           |      |    0.458808     -     4.945860    | 4d6.(5D).5s         | 6D   | 4d5.(4G).5s.(5G).5p  | 6F*  |    |
            276.5947  |      60* |           |      |    1.896767     -     6.378005    | 4d6.(3F2).5s        | 4F   | 4d5.(2I).5s.(3I).5p  | 4H*  |    |
            276.5947  |      60* |           |      |    0.458808     -     4.940029    | 4d6.(5D).5s         | 6D   | 4d5.(4G).5s.(5G).5p  | 6F*  |    |
                      |          |           |      |                                   |                     |      |                      |      |    |
            276.6886  |      500 |           |      |    0.458808     -     4.938489    | 4d6.(5D).5s         | 6D   | 4d5.(4G).5s.(5G).5p  | 6F*  |    |
            277.8908  |      150 |           |      |    0.496255     -     4.956564    | 4d6.(5D).5s         | 6D   | 4d6.(3F).5p          | 4F*  |    |
            278.1222  |       25 |           |      |                                   |                     |      |                      |      |    |
            278.2052  |     1000 |           |      |    0.403061     -     4.858322    | 4d6.(5D).5s         | 6D   | 4d5.(4P).5s.(5P).5p  | 6D*  |    |
            278.5586  |      500 |           |      |    0.496255     -     4.945860    | 4d6.(5D).5s         | 6D   | 4d5.(4G).5s.(5G).5p  | 6F*  |    |
                      |          |           |      |                                   |                     |      |                      |      |    |
            278.8888  |       40 |           |      |                                   |                     |      |                      |      |    |
            278.9246  |      500 |           |      |    0.496255     -     4.940029    | 4d6.(5D).5s         | 6D   | 4d5.(4G).5s.(5G).5p  | 6F*  |    |
            279.4526  |      100 |           |      |                                   |                     |      |                      |      |    |
            279.5650  |       80 |           |      |    0.458808     -     4.892403    | 4d6.(5D).5s         | 6D   | 4d5.(4P).5s.(5P).5p  | 6S*  |    |
            280.2810  |     1000 |           |      |    0.318998     -     4.741246    | 4d6.(5D).5s         | 6D   | 4d5.(6S).5s.(5S).5p  | 6P*  |    |
                      |          |           |      |                                   |                     |      |                      |      |    |
            280.3018  |      150 |           |      |    0.518099     -     4.940029    | 4d6.(5D).5s         | 6D   | 4d5.(4G).5s.(5G).5p  | 6F*  |    |
            280.8356  |      500 |           |      |                                   |                     |      |                      |      |    |
            281.4860  |       30 |           |      |    0.403061     -     4.806396    | 4d6.(5D).5s         | 6D   | 4d5.(4P).5s.(5P).5p  | 6D*  |    |
            281.9460  |       40 |           |      |    0.496255     -     4.892403    | 4d6.(5D).5s         | 6D   | 4d5.(4P).5s.(5P).5p  | 6S*  |    |
            282.8042  |      200 |           |      |    0.403061     -     4.785862    | 4d6.(5D).5s         | 6D   | 4d5.(4P).5s.(5P).5p  | 6D*  |    |
                      |          |           |      |                                   |                     |      |                      |      |    |
            284.5044  |       60 |           |      |    1.986865     -     6.343486    | 4d5.5s2             | 4G   | 4d5.(2I).5s.(3I).5p  | 4H*  |    |
            284.9196  |       60 |           |      |    2.000358     -     6.350624    | 4d5.5s2             | 4G   | 4d5.(2I).5s.(3I).5p  | 4H*  |    |
            285.0956  |      150 |           |      |    0.458808     -     4.806396    | 4d6.(5D).5s         | 6D   | 4d5.(4P).5s.(5P).5p  | 6D*  |    |
            285.7128  |     500h |           |      |    0.403061     -     4.741246    | 4d6.(5D).5s         | 6D   | 4d5.(6S).5s.(5S).5p  | 6P*  |    |
            285.9110  |    2000c |           |      |    0.403061     -     4.738273    | 4d6.(5D).5s         | 6D   | 4d6.(5D).5p          | 6P*  |    |
                      |          |           |      |                                   |                     |      |                      |      |    |
            286.4486  |      500 |           |      |    0.458808     -     4.785862    | 4d6.(5D).5s         | 6D   | 4d5.(4P).5s.(5P).5p  | 6D*  |    |
            286.8087  |      100 |           |      |    0.458808     -     4.780423    | 4d6.(5D).5s         | 6D   | 4d6.(5D).5p          | 6P*  |    |
            288.7734  |     1000 |           |      |    0.458808     -     4.751025    | 4d6.(5D).5s         | 6D   | 4d5.(4P).5s.(5P).5p  | 6D*  |    |
            288.8458  |      100 |           |      |    2.052359     -     6.343486    | 4d6.(3H).5s         | 4H   | 4d5.(2I).5s.(3I).5p  | 4H*  |    |
            289.3160  |      200 |           |      |    0.496255     -     4.780423    | 4d6.(5D).5s         | 6D   | 4d6.(5D).5p          | 6P*  |    |
                      |          |           |      |                                   |                     |      |                      |      |    |
            289.3448  |      150 |           |      |                                   |                     |      |                      |      |    |
