
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |             Observed  |  Rel. |    Aki    | Acc. |           Ei           Ek           |      Lower level      |              Upper level               |Type|
          |            Wavelength |  Int. |    s^-1   |      |          (eV)         (eV)          |-----------------------|----------------------------------------|    |
          |             Vac (nm)  |       |           |      |                                     | Conf.          | Term | Conf.                     | Term       |    |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                       |       |           |      |                                     |                |      |                           |            |    |
Si III    |             100.537   |     7 | 7.06e+07  | D+   |    17.723025     -     30.055117    | 3s.3d          | 3D   | 3s.6f                     | 3F*        |    |
Si II     |             102.070   |    25 | 8.91e+07  | D    |     0.00000      -     12.146991    | 3s2.3p         | 2P*  | 3s2.5s                    | 2S         |    |
Si II     |             102.369   |    50 | 1.77e+08  | D+   |     0.035613     -     12.146991    | 3s2.3p         | 2P*  | 3s2.5s                    | 2S         |    |
Si III    |             103.116   |     7 | 2.72e+08  | C    |    16.098352     -     28.122129    | 3p2            | 3P   | 3p.4s                     | 3P*        |    |
Si III    |             103.392   |     8 | 8.11e+08  | C+   |    16.130408     -     28.122129    | 3p2            | 3P   | 3p.4s                     | 3P*        |    |
          |                       |       |           |      |                                     |                |      |                           |            |    |
Si III    |             103.705   |     7 | 4.46e+08  | C    |    16.130408     -     28.085819    | 3p2            | 3P   | 3p.4s                     | 3P*        |    |
Si II     |             105.705   |    30 |           |      |                                     |                |      |                           |            |    |
Si II     |             105.750   |    15 |           |      |                                     |                |      |                           |            |    |
Si IV     |             106.663   |     8 | 2.54e+08  | A    |    19.883892     -     31.507741    | 2p6.3d         | 2D   | 2p6.4f                    | 2F*        |    |
Si III    |             108.322   |     6 | 3.65e+08  | C    |    15.152669     -     26.598598    | 3p2            | 1D   | 3s.5p                     | 1P*        |    |
          |                       |       |           |      |                                     |                |      |                           |            |    |
Si III    |             110.837   |    14 | 1.54e+09  | B+   |     6.537028     -     17.723323    | 3s.3p          | 3P*  | 3s.3d                     | 3D         |    |
Si III    |             110.997   |    16 | 2.07e+09  | B+   |     6.552971     -     17.723025    | 3s.3p          | 3P*  | 3s.3d                     | 3D         |    |
Si III    |             111.323   |    18 | 2.74e+09  | A    |     6.585422     -     17.722764    | 3s.3p          | 3P*  | 3s.3d                     | 3D         |    |
Si IV     |             112.249   |     8 | 2.14e+09  | A    |     8.838528     -     19.884039    | 2p6.3p         | 2P*  | 2p6.3d                    | 2D         |    |
Si II     |             112.744   |   20w |           |      |                                     |                |      |                           |            |    |
          |                       |       |           |      |                                     |                |      |                           |            |    |
Si II     |             112.791   |   40w |           |      |                                     |                |      |                           |            |    |
Si IV     |             112.834   |    10 | 2.53e+09  | A    |     8.895697     -     19.883892    | 2p6.3p         | 2P*  | 2p6.3d                    | 2D         |    |
Si III    |             114.055   |     6 | 1.96e+09  | B    |    16.081798     -     26.952399    | 3p2            | 3P   | 3p.3d                     | 3D*        |    |
Si III    |             114.158   |     7 | 2.67e+09  | B+   |    16.098352     -     26.959113    | 3p2            | 3P   | 3p.3d                     | 3D*        |    |
