
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |              Observed  |     Rel. |    Aki    | Acc. |           Ei           Ek            |         Lower level         |            Upper level             |Type|
          |             Wavelength |     Int. |    s^-1   |      |          (eV)         (eV)           |-----------------------------|------------------------------------|    |
          |              Vac (nm)  |          |           |      |                                      | Conf.                | Term | Conf.                   | Term     |    |
Cu I      |             116.618    |        a |           |      |     0.00         -     10.63166      | 3d10.4s              | 2S   | 3d9.4s.(3D<1>).14f<5/2> | (1,5/2)* |    |
          |                        |          |           |      |                                      |                      |      |                         |          |    |
Cu I      |             116.629    |        a |           |      |     0.00         -     10.63065      | 3d10.4s              | 2S   | 3d9.4s.(3D<1>).16p      | *        |    |
Cu V      |             116.735    |       64 |           |      |                                      |                      |      |                         |          |    |
Cu I      |             116.739    |        a |           |      |     0.00         -     10.62063      | 3d10.4s              | 2S   | 3d9.4s.(3D<1>).13f<5/2> | (1,5/2)* |    |
Cu I      |             116.753    |        a |           |      |     0.00         -     10.61936      | 3d10.4s              | 2S   | 3d9.4s.(3D<1>).15p      | *        |    |
Cu I      |             116.895    |        a |           |      |     0.00         -     10.60646      | 3d10.4s              | 2S   | 3d9.4s.(3D<1>).12f<5/2> | (1,5/2)* |    |
          |                        |          |           |      |                                      |                      |      |                         |          |    |
Cu I      |             116.911    |        a |           |      |     0.00         -     10.60501      | 3d10.4s              | 2S   | 3d9.4s.(3D<1>).14p      | *        |    |
Cu I      |             116.964    |        a |           |      |     0.00         -     10.60020      | 3d10.4s              | 2S   | 3d9.4s.(1D).8p?         | 2P*      |    |
Cu I      |             117.095    |        a |           |      |     0.00         -     10.58834      | 3d10.4s              | 2S   | 3d9.4s.(3D<1>).11f<5/2> | (1,5/2)* |    |
Cu I      |             117.114    |        a |           |      |     0.00         -     10.58663      | 3d10.4s              | 2S   | 3d9.4s.(3D<1>).13p      | *        |    |
Cu I      |             117.207    |        a |           |      |     0.00         -     10.57822      | 3d10.4s              | 2S   | 3d9.4s.(1D).8p?         | 2P*      |    |
          |                        |          |           |      |                                      |                      |      |                         |          |    |
Cu I      |             117.358    |        a |           |      |     0.00         -     10.56462      | 3d10.4s              | 2S   | 3d9.4s.(3D<1>).10f<5/2> | (1,5/2)* |    |
Cu I      |             117.399    |        a |           |      |     0.00         -     10.56092      | 3d10.4s              | 2S   | 3d9.4s.(3D<1>).12p      | *        |    |
Cu V      |             117.653    |       77 |           |      |                                      |                      |      |                         |          |    |
Cu I      |             117.716    |        a |           |      |     0.00         -     10.53248      | 3d10.4s              | 2S   | 3d9.4s.(3D<1>).9f<5/2>  | (1,5/2)* |    |
Cu I      |             117.770    |        a |           |      |     0.00         -     10.52766      | 3d10.4s              | 2S   | 3d9.4s.(3D<1>).11p      | *        |    |
          |                        |          |           |      |                                      |                      |      |                         |          |    |
Cu I      |             117.849    |        a |           |      |     0.00         -     10.52060      | 3d10.4s              | 2S   | 3d9.4s.(3D<2>).21p<3/2> | (2,3/2)* |    |
Cu I      |             117.900    |        a |           |      |     0.00         -     10.51604      | 3d10.4s              | 2S   | 3d9.4s.(3D<2>).20p<3/2> | (2,3/2)* |    |
Cu I      |             117.960    |        a |           |      |     0.00         -     10.51070      | 3d10.4s              | 2S   | 3d9.4s.(3D<2>).19p<3/2> | (2,3/2)* |    |
Cu I      |             118.025    |        a |           |      |     0.00         -     10.50491      | 3d10.4s              | 2S   | 3d9.4s.(3D<2>).18p<3/2> | (2,3/2)* |    |
Cu I      |             118.110    |        a |           |      |     0.00         -     10.49734      | 3d10.4s              | 2S   | 3d9.4s.(3D<2>).17p<3/2> | (2,3/2)* |    |
          |                        |          |           |      |                                      |                      |      |                         |          |    |
Cu I      |             118.197    |        a |           |      |     0.00         -     10.48962      | 3d10.4s              | 2S   | 3d9.4s.(3D<2>).16p<3/2> | (2,3/2)* |    |
Cu I      |             118.221    |        a |           |      |     0.00         -     10.48749      | 3d10.4s              | 2S   | 3d9.4s.(3D<1>).8f<5/2>  | (1,5/2)* |    |
Cu I      |             118.297    |        a |           |      |     0.00         -     10.48076      | 3d10.4s              | 2S   | 3d9.4s.(3D<1>).10p      | *        |    |
Cu I      |             118.330    |        a |           |      |     0.00         -     10.47783      | 3d10.4s              | 2S   | 3d9.4s.(3D<2>).13f      | *        |    |
Cu I      |             118.349    |        a |           |      |     0.00         -     10.47616      | 3d10.4s              | 2S   | 3d9.4s.(3D<2>).15p<3/2> | (2,3/2)* |    |
          |                        |          |           |      |                                      |                      |      |                         |          |    |
Cu V      |             118.363    |       84 |           |      |                                      |                      |      |                         |          |    |
Cu I      |             118.491    |        a |           |      |     0.00         -     10.46360      | 3d10.4s              | 2S   | 3d9.4s.(3D<2>).12f      | *        |    |
Cu I      |             118.516    |        a |           |      |     0.00         -     10.46139      | 3d10.4s              | 2S   | 3d9.4s.(3D<2>).14p<3/2> | (2,3/2)* |    |
Cu III    |             118.680    |       50 |           |      |                                      |                      |      |                         |          |    |
Cu I      |             118.695    |        a |           |      |     0.00         -     10.44562      | 3d10.4s              | 2S   | 3d9.4s.(3D<2>).11f      | *        |    |
          |                        |          |           |      |                                      |                      |      |                         |          |    |
Cu I      |             118.725    |        a |           |      |     0.00         -     10.44298      | 3d10.4s              | 2S   | 3d9.4s.(3D<2>).13p<3/2> | (2,3/2)* |    |
Cu I      |             118.862    |        a |           |      |     0.00         -     10.43094      | 3d10.4s              | 2S   | 3d9.4s.(1D).7p?         | 2P*      |    |
Cu I      |             118.970    |        a |           |      |     0.00         -     10.42147      | 3d10.4s              | 2S   | 3d9.4s.(3D<2>).10f      | *        |    |
Cu I      |             118.993    |        a |           |      |     0.00         -     10.41946      | 3d10.4s              | 2S   | 3d9.4s.(3D<1>).7f<5/2>  | (1,5/2)* |    |
Cu I      |             119.012    |        a |           |      |     0.00         -     10.41778      | 3d10.4s              | 2S   | 3d9.4s.(3D<2>).12p<3/2> | (2,3/2)* |    |
          |                        |          |           |      |                                      |                      |      |                         |          |    |
Cu XIV    |             119.04     |          | 4.01e+03  | C    |     2.9629       -     13.3781       | 3s2.3p4              | 3P   | 3s2.3p4                 | 1S       | M1 |
Cu I      |             119.082    |        a |           |      |     0.00         -     10.41167      | 3d10.4s              | 2S   | 3d9.4s.(3D).9p          | 2P*      |    |
Cu I      |             119.136    |        a |           |      |     0.00         -     10.40695      | 3d10.4s              | 2S   | 3d9.4s.(3D<3>).21p<3/2> | (3,3/2)* |    |
Cu I      |             119.187    |        a |           |      |     0.00         -     10.40250      | 3d10.4s              | 2S   | 3d9.4s.(3D<3>).20p<3/2> | (3,3/2)* |    |
Cu I      |             119.245    |        a |           |      |     0.00         -     10.39744      | 3d10.4s              | 2S   | 3d9.4s.(3D<3>).19p<3/2> | (3,3/2)* |    |
          |                        |          |           |      |                                      |                      |      |                         |          |    |
Cu V      |             119.254    |       76 |           |      |                                      |                      |      |                         |          |    |
Cu I      |             119.307    |       a* |           |      |     0.00         -     10.39203      | 3d10.4s              | 2S   | 3d9.4s.(1D).7p?         | 2P*      |    |
Cu I      |             119.307    |       a* |           |      |     0.00         -     10.39203      | 3d10.4s              | 2S   | 3d9.4s.(3D<2>).9f       | *        |    |
Cu I      |             119.331    |        a |           |      |     0.00         -     10.38994      | 3d10.4s              | 2S   | 3d9.4s.(3D<3>).18p<3/2> | (3,3/2)* |    |
Cu I      |             119.394    |        a |           |      |     0.00         -     10.38446      | 3d10.4s              | 2S   | 3d9.4s.(3D<2>).11p<3/2> | (2,3/2)* |    |
          |                        |          |           |      |                                      |                      |      |                         |          |    |
Cu I      |             119.446    |        a |           |      |     0.00         -     10.37993      | 3d10.4s              | 2S   | 3d9.4s.(3D<3>).17p<3/2> | (3,3/2)* |    |
Cu I      |             119.502    |        a |           |      |     0.00         -     10.37507      | 3d10.4s              | 2S   | 3d9.4s.(3D<3>).14f      | *        |    |
Cu I      |             119.511    |        a |           |      |     0.00         -     10.37429      | 3d10.4s              | 2S   | 3d9.4s.(3D<3>).16p<3/2> | (3,3/2)* |    |
Cu I      |             119.631    |        a |           |      |     0.00         -     10.36389      | 3d10.4s              | 2S   | 3d9.4s.(3D<3>).13f      | *        |    |
Cu I      |             119.639    |        a |           |      |     0.00         -     10.36319      | 3d10.4s              | 2S   | 3d9.4s.(3D<3>).15p<3/2> | (3,3/2)* |    |
          |                        |          |           |      |                                      |                      |      |                         |          |    |
Cu I      |             119.792    |        a |           |      |     0.00         -     10.34995      | 3d10.4s              | 2S   | 3d9.4s.(3D<3>).12f      | *        |    |
Cu I      |             119.803    |        a |           |      |     0.00         -     10.34901      | 3d10.4s              | 2S   | 3d9.4s.(3D<3>).14p<3/2> | (3,3/2)* |    |
Cu I      |             119.854    |        a |           |      |     0.00         -     10.34461      | 3d10.4s              | 2S   | 3d9.4s.(3D<2>).8f       | *        |    |
Cu I      |             119.930    |        a |           |      |     0.00         -     10.33805      | 3d10.4s              | 2S   | 3d9.4s.(3D<2>).10p<3/2> | (2,3/2)* |    |
Cu I      |             120.000    |        a |           |      |     0.00         -     10.33201      | 3d10.4s              | 2S   | 3d9.4s.(3D<3>).11f      | *        |    |
          |                        |          |           |      |                                      |                      |      |                         |          |    |
Cu I      |             120.024    |        a |           |      |     0.00         -     10.32995      | 3d10.4s              | 2S   | 3d9.4s.(3D<3>).13p<3/2> | (3,3/2)* |    |
Cu III    |             120.096    |       50 |           |      |                                      |                      |      |                         |          |    |
Cu V      |             120.122    |       83 |           |      |                                      |                      |      |                         |          |    |
Cu I      |             120.140    |        a |           |      |     0.00         -     10.31997      | 3d10.4s              | 2S   | 3d9.4s.(3D<1>).6f<5/2>  | (1,5/2)* |    |
Cu I      |             120.2753   |        a |           |      |     0.00         -     10.30837      | 3d10.4s              | 2S   | 3d9.4s.(3D<3>).10f      | *        |    |
          |                        |          |           |      |                                      |                      |      |                         |          |    |
Cu I      |             120.322    |        a |           |      |     0.00         -     10.30436      | 3d10.4s              | 2S   | 3d9.4s.(3D<3>).12p<3/2> | (3,3/2)* |    |
Cu V      |             120.490    |       77 |           |      |                                      |                      |      |                         |          |    |
Cu I      |             120.623    |        a |           |      |     0.00         -     10.27865      | 3d10.4s              | 2S   | 3d9.4s.(3D<2>).7f       | *        |    |
Cu I      |             120.658    |        a |           |      |     0.00         -     10.27567      | 3d10.4s              | 2S   | 3d9.4s.(3D<3>).9f       | *        |    |
Cu I      |             120.677    |        a |           |      |     0.00         -     10.27405      | 3d10.4s              | 2S   | 3d9.4s.(3D<3>).11p<3/2> | (3,3/2)* |    |
          |                        |          |           |      |                                      |                      |      |                         |          |    |
Cu I      |             120.753    |        a |           |      |     0.00         -     10.26759      | 3d10.4s              | 2S   | 3d9.4s.(3D).9p          | 4P*      |    |
Cu I      |             121.189    |        a |           |      |     0.00         -     10.23064      | 3d10.4s              | 2S   | 3d9.4s.(3D<3>).8f       | *        |    |
Cu I      |             121.238    |        a |           |      |     0.00         -     10.22651      | 3d10.4s              | 2S   | 3d9.4s.(3D<3>).10p<3/2> | (3,3/2)* |    |
Cu V      |             121.436    |       71 |           |      |                                      |                      |      |                         |          |    |
Cu I      |             121.766    |        a |           |      |     0.00         -     10.18216      | 3d10.4s              | 2S   | 3d9.4s.(3D<2>).6f       | *        |    |
          |                        |          |           |      |                                      |                      |      |                         |          |    |
Cu I      |             121.826    |        a |           |      |     0.00         -     10.17716      | 3d10.4s              | 2S   | 3d9.4s.(3D<3>).7f       | *        |    |
Cu III    |             121.930    |      300 |           |      |                                      |                      |      |                         |          |    |
Cu I      |             121.972    |        a |           |      |     0.00         -     10.16497      | 3d10.4s              | 2S   | 3d9.4s.(3D).8p          | 4P*      |    |
Cu I      |             121.995    |        a |           |      |     0.00         -     10.16306      | 3d10.4s              | 2S   | 3d9.4s.(3D).9p          | 4P*      |    |
Cu I      |             122.129    |        a |           |      |     0.00         -     10.15190      | 3d10.4s              | 2S   | 3d9.4s.(3D<1>).5f<5/2>  | (1,5/2)* |    |
          |                        |          |           |      |                                      |                      |      |                         |          |    |
