
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |             Observed  |  Rel. |    Aki    | Acc. |           Ei           Ek           |         Lower level         |         Upper level         |Type|
          |            Wavelength |  Int. |    s^-1   |      |          (eV)         (eV)          |-----------------------------|-----------------------------|    |
          |             Vac (nm)  |       |           |      |                                     | Conf.                | Term | Conf.                | Term |    |
N I       |             119.9550  |   410 | 4.07e+08  | A    |     0.000000     -     10.3358951   | 2s2.2p3              | 4S*  | 2s2.2p2.(3P).3s      | 4P   |    |
N I       |             120.0223  |   385 | 4.03e+08  | A    |     0.000000     -     10.3300939   | 2s2.2p3              | 4S*  | 2s2.2p2.(3P).3s      | 4P   |    |
N I       |             120.0710  |   360 | 4.00e+08  | A    |     0.000000     -     10.3259082   | 2s2.2p3              | 4S*  | 2s2.2p2.(3P).3s      | 4P   |    |
N I       |             122.5026  |   175 | 4.41e+07  | C    |     3.5756181    -     13.6965641   | 2s2.2p3              | 2P*  | 2s2.2p2.(3P).4d      | 2D   |    |
          |                       |       |           |      |                                     |                      |      |                      |      |    |
N I       |             122.537   |   160 | 3.67e+07  | C    |     3.5755702    -     13.6936861   | 2s2.2p3              | 2P*  | 2s2.2p2.(3P).4d      | 2D   |    |
N I       |             122.841   |   130 | 2.70e+07  | D+   |     3.5755702    -     13.6686600   | 2s2.2p3              | 2P*  | 2s2.2p2.(3P).4d      | 2P   |    |
N I       |             122.879   |   160 | 3.38e+07  | D+   |     3.5756181    -     13.6655510   | 2s2.2p3              | 2P*  | 2s2.2p2.(3P).4d      | 2P   |    |
N V       |             123.8821  |  1000 | 3.40e+08  | A    |     0.0000       -     10.00824     | 1s2.2s               | 2S   | 1s2.2p               | 2P*  |    |
N V       |             124.2804  |   900 | 3.37e+08  | A    |     0.0000       -      9.97616     | 1s2.2s               | 2S   | 1s2.2p               | 2P*  |    |
          |                       |       |           |      |                                     |                      |      |                      |      |    |
N I       |             124.3179  |   360 | 3.22e+08  | A    |     2.3835297    -     12.3566896   | 2s2.2p3              | 2D*  | 2s2.2p2.(1D).3s      | 2D   |    |
N I       |             124.3306  |   315 | 3.10e+08  | A    |     2.3846099    -     12.3567497   | 2s2.2p3              | 2D*  | 2s2.2p2.(1D).3s      | 2D   |    |
N I       |             131.0540  |   290 | 7.68e+07  | B    |     3.5756181    -     13.0361580   | 2s2.2p3              | 2P*  | 2s2.2p2.(3P).3d      | 2D   |    |
N I       |             131.095   |   250 | 1.75e+07  | B    |     3.5756181    -     13.0332035   | 2s2.2p3              | 2P*  | 2s2.2p2.(3P).3d      | 2D   |    |
N I       |             131.900   |   230 | 4.59e+07  | B+   |     3.5755702    -     12.9754455   | 2s2.2p3              | 2P*  | 2s2.2p2.(3P).3d      | 2P   |    |
          |                       |       |           |      |                                     |                      |      |                      |      |    |
