
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Air (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
           367.199  |    80 |           |      |                     |    |
           367.404  |    80 |           |      |                     |    |
           369.991  |    35 |           |      |                     |    |
                    |       |           |      |                     |    |
           370.653  |    18 |           |      |                     |    |
           381.869  |    80 |           |      |                     |    |
           390.073  |    40 |           |      |                     |    |
           392.296  |   110 |           |      |                     |    |
           394.840  |    35 |           |      |                     |    |
                    |       |           |      |                     |    |
           396.636  |   100 |           |      |                     |    |
           399.657  |    20 |           |      |                     |    |
           411.869  |   110 |           |      |                     |    |
           416.456  |    80 |           |      |                     |    |
           419.243  |    40 |           |      |                     |    |
                    |       |           |      |                     |    |
           432.706  |    18 |           |      |                     |    |
           439.183  |    18 |           |      |                     |    |
           444.255  |    80 |           |      |                     |    |
           444.555  |    14 |           |      |                     |    |
           449.876  |    25 |           |      |                     |    |
                    |       |           |      |                     |    |
           452.090  |    12 |           |      |                     |    |
           455.242  |    35 |           |      |                     |    |
           487.953  |    12 |           |      |                     |    |
           504.404  |    14 |           |      |                     |    |
           505.948  |    30 |           |      |                     |    |
                    |       |           |      |                     |    |
           522.766  |    35 |           |      |                     |    |
           530.102  |    40 |           |      |                     |    |
           536.899  |    12 |           |      |                     |    |
           539.079  |    12 |           |      |                     |    |
           547.577  |    14 |           |      |                     |    |
                    |       |           |      |                     |    |
           547.850  |    14 |           |      |                     |    |
           576.357  |     6 |           |      |                     |    |
           584.012  |    20 |           |      |                     |    |
           584.484  |     8 |           |      |                     |    |
           602.604  |     6 |           |      |                     |    |
                    |       |           |      |                     |    |
           631.837  |     7 |           |      |                     |    |
           632.658  |     8 |           |      |                     |    |
           652.345  |     9 |           |      |                     |    |
           671.042  |    10 |           |      |                     |    |
           676.002  |    20 |           |      |                     |    |
                    |       |           |      |                     |    |
           684.260  |    60 |           |      |                     |    |
           711.373  |    20 |           |      |                     |    |
           822.474  |    10 |           |      |                     |    |
