
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Air (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
           336.782  |   150 |           |      |                     |    |
           337.342  |   180 |           |      |                     |    |
                    |       |           |      |                     |    |
           337.473  |   380 |           |      |                     |    |
           337.627  |   110 |           |      |                     |    |
           337.746  |   150 |           |      |                     |    |
           338.787  |   570 |           |      |                     |    |
           338.830  |   760 |           |      |                     |    |
                    |       |           |      |                     |    |
           339.198  |  5700 |           |      |                     |    |
           339.312  |   570 |           |      |                     |    |
           339.633  |   160 |           |      |                     |    |
           339.935  |   380 |           |      |                     |    |
           340.483  |   570 |           |      |                     |    |
                    |       |           |      |                     |    |
           341.025  |   760 |           |      |                     |    |
           343.053  |  1000 |           |      |                     |    |
           343.714  |   380 |           |      |                     |    |
           343.823  |  4700 |           |      |                     |    |
           345.756  |   410 |           |      |                     |    |
                    |       |           |      |                     |    |
           345.893  |   200 |           |      |                     |    |
           346.302  |   820 |           |      |                     |    |
           347.939  |  1200 |           |      |                     |    |
           348.115  |  1300 |           |      |                     |    |
           348.354  |   760 |           |      |                     |    |
                    |       |           |      |                     |    |
           349.621  |  4100 |           |      |                     |    |
           350.548  |   350 |           |      |                     |    |
           350.567  |   820 |           |      |                     |    |
           351.046  |   200 |           |      |                     |    |
           352.581  |   440 |           |      |                     |    |
                    |       |           |      |                     |    |
           354.262  |   630 |           |      |                     |    |
           355.195  |  1800 |           |      |                     |    |
           355.660  |  2100 |           |      |                     |    |
           357.247  |  2100 |           |      |                     |    |
           357.308  |   210 |           |      |                     |    |
                    |       |           |      |                     |    |
           357.685  |  1300 |           |      |                     |    |
           358.798  |   440 |           |      |                     |    |
           361.189  |   690 |           |      |                     |    |
           361.310  |  1100 |           |      |                     |    |
           361.477  |  1100 |           |      |                     |    |
                    |       |           |      |                     |    |
           367.127  |   390 |           |      |                     |    |
           367.472  |   800 |           |      |                     |    |
           369.746  |   390 |           |      |                     |    |
           369.817  |   960 |           |      |                     |    |
           370.926  |   720 |           |      |                     |    |
                    |       |           |      |                     |    |
           373.126  |   270 |           |      |                     |    |
           374.598  |   560 |           |      |                     |    |
           375.160  |   880 |           |      |                     |    |
           376.682  |   340 |           |      |                     |    |
           381.758  |   210 |           |      |                     |    |
                    |       |           |      |                     |    |
           383.676  |  1300 |           |      |                     |    |
           384.302  |   550 |           |      |                     |    |
           391.594  |   310 |           |      |                     |    |
           393.412  |   200 |           |      |                     |    |
           393.479  |   200 |           |      |                     |    |
                    |       |           |      |                     |    |
           395.822  |   940 |           |      |                     |    |
           399.113  |   770 |           |      |                     |    |
           399.897  |   770 |           |      |                     |    |
           402.968  |   400 |           |      |                     |    |
           404.561  |   400 |           |      |                     |    |
                    |       |           |      |                     |    |
           404.867  |   610 |           |      |                     |    |
           405.033  |   200 |           |      |                     |    |
           414.920  |  1200 |           |      |                     |    |
           415.624  |   290 |           |      |                     |    |
           416.121  |   400 |           |      |                     |    |
                    |       |           |      |                     |    |
           420.898  |   610 |           |      |                     |    |
           421.188  |   200 |           |      |                     |    |
           435.974  |   290 |           |      |                     |    |
           437.978  |   240 |           |      |                     |    |
           444.300  |   140 |           |      |                     |    |
                    |       |           |      |                     |    |
           449.697  |   200 |           |      |                     |    |
           511.227  |    50 |           |      |                     |    |
           519.160  |   100 |           |      |                     |    |
           535.009  |    30 |           |      |                     |    |
           535.035  |    30 |           |      |                     |    |
                    |       |           |      |                     |    |
           667.801  |    11 |           |      |                     |    |
           678.715  |    15 |           |      |                     |    |
