
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |               Observed  |  Rel. |    Aki    | Acc. |           Ei           Ek            |         Lower level          |         Upper level          |Type|
          |              Wavelength |  Int. |    s^-1   |      |          (eV)         (eV)           |------------------------------|------------------------------|    |
          |               Vac (nm)  |       |           |      |                                      | Conf.             | Term     | Conf.             | Term     |    |
Ba III    |              111.6876   |     4 |           |      |    17.416415     -     28.517303     | 5p5.(2P*<3/2>).5d | 2[7/2]*  | 5p5.(2P*<3/2>).7p | 2[5/2]   |    |
Ba III    |              111.8266   |     7 |           |      |    17.416415     -     28.503580     | 5p5.(2P*<3/2>).5d | 2[7/2]*  | 5p5.(2P*<3/2>).5f | 2[7/2]   |    |
Ba III    |              112.0061   |     8 |           |      |    17.416415     -     28.485808     | 5p5.(2P*<3/2>).5d | 2[7/2]*  | 5p5.(2P*<3/2>).5f | 2[7/2]   |    |
Ba III    |              112.6725   |     2 |           |      |    21.390111     -     32.394027     | 5p5.(2P*<3/2>).4f | 2[9/2]   | 5p5.(2P*<3/2>).6g | 2[11/2]* |    |
          |                         |       |           |      |                                      |                   |          |                   |          |    |
Ba III    |              112.8226   |     4 |           |      |    17.416415     -     28.405639     | 5p5.(2P*<3/2>).5d | 2[7/2]*  | 5p5.(2P*<3/2>).5f | 2[5/2]   |    |
Ba III    |              112.8849   |     3 |           |      |    17.416415     -     28.399642     | 5p5.(2P*<3/2>).5d | 2[7/2]*  | 5p5.(2P*<3/2>).7p | 2[5/2]   |    |
Ba III    |              113.3052   |    14 |           |      |    17.416415     -     28.358846     | 5p5.(2P*<3/2>).5d | 2[7/2]*  | 5p5.(2P*<3/2>).5f | 2[9/2]   |    |
Ba III    |              113.8458   |     1 |           |      |    17.416415     -     28.306914     | 5p5.(2P*<3/2>).5d | 2[7/2]*  | 5p5.(2P*<3/2>).5f | 2[3/2]   |    |
Ba V      |              113.9797   |    25 |           |      |     6.34560      -     17.22339      | 5s2.5p4           | 1S       | 5s.5p5            | 3P*      |    |
          |                         |       |           |      |                                      |                   |          |                   |          |    |
Ba III    |              114.6172   |     4 |           |      |    17.721059     -     28.538272     | 5p5.(2P*<3/2>).5d | 2[5/2]*  | 5p5.(2P*<3/2>).7p | 2[3/2]   |    |
Ba III    |              114.8398   |     4 |           |      |    17.721059     -     28.517303     | 5p5.(2P*<3/2>).5d | 2[5/2]*  | 5p5.(2P*<3/2>).7p | 2[5/2]   |    |
Ba III    |              114.9454   |     1 |           |      |    19.776619     -     30.562945     | 5p5.(2P*<1/2>).5d | 2[3/2]*  | 5p5.(2P*<1/2>).5f | 2[5/2]   |    |
Ba III    |              114.9971   |    10 |           |      |    19.776619     -     30.558091     | 5p5.(2P*<1/2>).5d | 2[3/2]*  | 5p5.(2P*<1/2>).5f | 2[5/2]   |    |
Ba III    |              115.1757   |    12 |           |      |    17.721059     -     28.485808     | 5p5.(2P*<3/2>).5d | 2[5/2]*  | 5p5.(2P*<3/2>).5f | 2[7/2]   |    |
          |                         |       |           |      |                                      |                   |          |                   |          |    |
Ba III    |              115.5722   |     8 |           |      |    17.721059     -     28.448929     | 5p5.(2P*<3/2>).5d | 2[5/2]*  | 5p5.(2P*<3/2>).5f | 2[5/2]   |    |
Ba III    |              116.0402   |     2 |           |      |    17.721059     -     28.405639     | 5p5.(2P*<3/2>).5d | 2[5/2]*  | 5p5.(2P*<3/2>).5f | 2[5/2]   |    |
Ba III    |              117.0621   |    12 |           |      |    19.975004     -     30.566276     | 5p5.(2P*<1/2>).5d | 2[5/2]*  | 5p5.(2P*<1/2>).5f | 2[7/2]   |    |
Ba III    |              117.1524   |     5 |           |      |    19.975004     -     30.558091     | 5p5.(2P*<1/2>).5d | 2[5/2]*  | 5p5.(2P*<1/2>).5f | 2[5/2]   |    |
Ba III    |              117.3194   |     3 |           |      |    17.721059     -     28.289124     | 5p5.(2P*<3/2>).5d | 2[5/2]*  | 5p5.(2P*<3/2>).5f | 2[3/2]   |    |
          |                         |       |           |      |                                      |                   |          |                   |          |    |
Ba III    |              117.3268   |     6 |           |      |    19.975004     -     30.542422     | 5p5.(2P*<1/2>).5d | 2[5/2]*  | 5p5.(2P*<1/2>).5f | 2[7/2]   |    |
Ba III    |              119.6098   |   8bl |           |      |    18.233966     -     28.599674     | 5p5.(2P*<3/2>).5d | 2[5/2]*  | 5p5.(2P*<3/2>).7p | 2[3/2]   |    |
Ba III    |              120.5681   |    10 |           |      |    18.233966     -     28.517303     | 5p5.(2P*<3/2>).5d | 2[5/2]*  | 5p5.(2P*<3/2>).7p | 2[5/2]   |    |
Ba III    |              120.7286   |    13 |           |      |    18.233966     -     28.503580     | 5p5.(2P*<3/2>).5d | 2[5/2]*  | 5p5.(2P*<3/2>).5f | 2[7/2]   |    |
Ba III    |              121.4159   |     5 |           |      |    20.648826     -     30.860349     | 5p5.(2P*<3/2>).4f | 2[3/2]   | 5p5.(2P*<3/2>).5g | 2[5/2]*  |    |
          |                         |       |           |      |                                      |                   |          |                   |          |    |
Ba III    |              121.8917   |    11 |           |      |    18.233966     -     28.405639     | 5p5.(2P*<3/2>).5d | 2[5/2]*  | 5p5.(2P*<3/2>).5f | 2[5/2]   |    |
Ba III    |              121.9633   |     4 |           |      |    18.233966     -     28.399642     | 5p5.(2P*<3/2>).5d | 2[5/2]*  | 5p5.(2P*<3/2>).7p | 2[5/2]   |    |
Ba III    |              122.4545   |    12 |           |      |    18.233966     -     28.358846     | 5p5.(2P*<3/2>).5d | 2[5/2]*  | 5p5.(2P*<3/2>).5f | 2[9/2]   |    |
Ba III    |              123.0852   |     3 |           |      |    18.233966     -     28.306914     | 5p5.(2P*<3/2>).5d | 2[5/2]*  | 5p5.(2P*<3/2>).5f | 2[3/2]   |    |
Ba III    |              123.9603   |     2 |           |      |    20.901723     -     30.903604     | 5p5.(2P*<3/2>).4f | 2[3/2]   | 5p5.(2P*<3/2>).5g | 2[7/2]*  |    |
          |                         |       |           |      |                                      |                   |          |                   |          |    |
Ba III    |              124.4762   |     6 |           |      |    20.901723     -     30.862137     | 5p5.(2P*<3/2>).4f | 2[3/2]   | 5p5.(2P*<3/2>).5g | 2[5/2]*  |    |
Ba III    |              128.2556   |     2 |           |      |    21.250690     -     30.917622     | 5p5.(2P*<3/2>).4f | 2[9/2]   | 5p5.(2P*<3/2>).5g | 2[9/2]*  |    |
Ba III    |              128.8526   |    12 |           |      |    21.250690     -     30.872812     | 5p5.(2P*<3/2>).4f | 2[9/2]   | 5p5.(2P*<3/2>).5g | 2[11/2]* |    |
Ba III    |              128.9722   |     2 |           |      |    19.154840     -     28.768031     | 5p5.(2P*<3/2>).6s | 2[3/2]*  | 5p5.(2P*<3/2>).7p | 2[1/2]   |    |
Ba III    |              129.0031   |    10 |           |      |    21.291639     -     30.902590     | 5p5.(2P*<3/2>).4f | 2[5/2]   | 5p5.(2P*<3/2>).5g | 2[7/2]*  |    |
          |                         |       |           |      |                                      |                   |          |                   |          |    |
Ba III    |              129.0701   |     6 |           |      |    23.457227     -     33.063172     | 5p5.(2P*<1/2>).4f | 2[7/2]   | 5p5.(2P*<1/2>).5g | 2[9/2]*  |    |
Ba III    |              129.3308   |     3 |           |      |    18.862338     -     28.448929     | 5p5.(2P*<3/2>).6s | 2[3/2]*  | 5p5.(2P*<3/2>).5f | 2[5/2]   |    |
Ba III    |              129.5486   |     2 |           |      |    21.291639     -     30.862137     | 5p5.(2P*<3/2>).4f | 2[5/2]   | 5p5.(2P*<3/2>).5g | 2[5/2]*  |    |
Ba III    |              129.9177   |    11 |           |      |    18.862338     -     28.405639     | 5p5.(2P*<3/2>).6s | 2[3/2]*  | 5p5.(2P*<3/2>).5f | 2[5/2]   |    |
Ba III    |              130.1349   |   2bl |           |      |    21.390111     -     30.917368     | 5p5.(2P*<3/2>).4f | 2[9/2]   | 5p5.(2P*<3/2>).5g | 2[9/2]*  |    |
          |                         |       |           |      |                                      |                   |          |                   |          |    |
Ba III    |              130.7401   |    11 |           |      |    21.390111     -     30.873358     | 5p5.(2P*<3/2>).4f | 2[9/2]   | 5p5.(2P*<3/2>).5g | 2[11/2]* |    |
Ba III    |              130.8873   |    12 |           |      |    18.976354     -     28.448929     | 5p5.(2P*<3/2>).5d | 2[3/2]*  | 5p5.(2P*<3/2>).5f | 2[5/2]   |    |
Ba III    |              131.1744   |     8 |           |      |    18.862338     -     28.314221     | 5p5.(2P*<3/2>).6s | 2[3/2]*  | 5p5.(2P*<3/2>).7p | 2[1/2]   |    |
Ba III    |              131.2754   |     8 |           |      |    18.862338     -     28.306914     | 5p5.(2P*<3/2>).6s | 2[3/2]*  | 5p5.(2P*<3/2>).5f | 2[3/2]   |    |
Ba III    |              131.5242   |     3 |           |      |    18.862338     -     28.289124     | 5p5.(2P*<3/2>).6s | 2[3/2]*  | 5p5.(2P*<3/2>).5f | 2[3/2]   |    |
          |                         |       |           |      |                                      |                   |          |                   |          |    |
Ba III    |              131.5722   |    12 |           |      |    18.976354     -     28.399642     | 5p5.(2P*<3/2>).5d | 2[3/2]*  | 5p5.(2P*<3/2>).7p | 2[5/2]   |    |
Ba III    |              132.1313   |     4 |           |      |    19.154840     -     28.538272     | 5p5.(2P*<3/2>).6s | 2[3/2]*  | 5p5.(2P*<3/2>).7p | 2[3/2]   |    |
Ba III    |              132.3266   |     6 |           |      |    23.694886     -     33.064434     | 5p5.(2P*<1/2>).4f | 2[5/2]   | 5p5.(2P*<1/2>).5g | 2[7/2]*  |    |
Ba III    |              132.7752   |     4 |           |      |    18.976354     -     28.314221     | 5p5.(2P*<3/2>).5d | 2[3/2]*  | 5p5.(2P*<3/2>).7p | 2[1/2]   |    |
Ba III    |              132.8817   |   8bl |           |      |    18.976354     -     28.306914     | 5p5.(2P*<3/2>).5d | 2[3/2]*  | 5p5.(2P*<3/2>).5f | 2[3/2]   |    |
