
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                Observed  |         Rel. |    Aki    | Acc. |            Ei           Ek            |           Lower level            |           Upper level           |Type|
          |               Wavelength |         Int. |    s^-1   |      |           (eV)         (eV)           |----------------------------------|---------------------------------|    |
          |                Vac (nm)  |              |           |      |                                       | Conf.                  | Term    | Conf.                  | Term   |    |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                          |              |           |      |                                       |                        |         |                        |        |    |
Cr III    |              100.086     |           40 |           |      |                                       |                        |         |                        |        |    |
Cr III    |              100.104     |           40 |           |      |                                       |                        |         |                        |        |    |
Cr V      |              100.2024    |            0 |           |      |    28.46078       -     40.83423      | 3p6.3d.4p              | 3F*     | 3p6.3d.4d              | 1D     |    |
Cr III    |              100.296     |           30 |           |      |                                       |                        |         |                        |        |    |
Cr III    |              101.714     |           50 |           |      |                                       |                        |         |                        |        |    |
          |                          |              |           |      |                                       |                        |         |                        |        |    |
Cr III    |              101.731     |           50 |           |      |                                       |                        |         |                        |        |    |
Cr III    |              101.757     |           50 |           |      |                                       |                        |         |                        |        |    |
Cr III    |              102.833     |           30 |           |      |                                       |                        |         |                        |        |    |
Cr V      |              102.9842    |            4 |           |      |    28.26862       -     40.30777      | 3p6.3d.4p              | 3D*     | 3p6.3d.4d              | 3F     |    |
Cr III    |              103.047     |           60 |           |      |                                       |                        |         |                        |        |    |
          |                          |              |           |      |                                       |                        |         |                        |        |    |
Cr III    |              103.089     |           30 |           |      |                                       |                        |         |                        |        |    |
Cr V      |              103.1105    |            5 |           |      |    28.32904       -     40.35345      | 3p6.3d.4p              | 3D*     | 3p6.3d.4d              | 3F     |    |
Cr III    |              103.323     |           50 |           |      |                                       |                        |         |                        |        |    |
Cr III    |              103.345     |           50 |           |      |                                       |                        |         |                        |        |    |
Cr V      |              103.3452    |            5 |           |      |    28.40736       -     40.40449      | 3p6.3d.4p              | 3D*     | 3p6.3d.4d              | 3F     |    |
          |                          |              |           |      |                                       |                        |         |                        |        |    |
Cr III    |              103.369     |          100 |           |      |                                       |                        |         |                        |        |    |
Cr V      |              103.5037    |            1 |           |      |    28.32904       -     40.30777      | 3p6.3d.4p              | 3D*     | 3p6.3d.4d              | 3F     |    |
Cr III    |              103.593     |           50 |           |      |                                       |                        |         |                        |        |    |
Cr III    |              103.603     |          100 |           |      |                                       |                        |         |                        |        |    |
Cr III    |              104.017     |           30 |           |      |                                       |                        |         |                        |        |    |
          |                          |              |           |      |                                       |                        |         |                        |        |    |
Cr III    |              104.053     |           40 |           |      |                                       |                        |         |                        |        |    |
Cr V      |              104.2544    |            3 |           |      |    28.46078       -     40.35345      | 3p6.3d.4p              | 3F*     | 3p6.3d.4d              | 3F     |    |
Cr V      |              104.2544    |            3 |           |      |    29.08897       -     40.98134      | 3p6.3d.4p              | 3P*     | 3p6.3d.4d              | 3P     |    |
Cr V      |              104.5044    |            7 |           |      |    29.11724       -     40.98134      | 3p6.3d.4p              | 3P*     | 3p6.3d.4d              | 3P     |    |
Cr III    |              104.506     |           40 |           |      |                                       |                        |         |                        |        |    |
          |                          |              |           |      |                                       |                        |         |                        |        |    |
