
---------------------------------------------------------------------------------------------------------------------------
            Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek          |  Lower level  |  Upper level  |Type|
           Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |---------------|---------------|    |
            Air (nm)  |       |           |      |                                   | Conf.  | Term | Conf.  | Term |    |
---------------------------------------------------------------------------------------------------------------------------
                      |       |           |      |                                   |        |      |        |      |    |
            308.6287  |       | 8.00e+03  |      |    0.000000     -     4.016095    | 7s     | 2S   | 20p    | 2P*  |    |
            308.6843  |       | 8.01e+03  |      |    0.000000     -     4.015371    | 7s     | 2S   | 20p    | 2P*  |    |
            309.2514  |       | 1.00e+04  |      |    0.000000     -     4.008008    | 7s     | 2S   | 19p    | 2P*  |    |
            309.3197  |       | 9.82e+03  |      |    0.000000     -     4.007123    | 7s     | 2S   | 19p    | 2P*  |    |
            310.0211  |       | 1.23e+04  |      |    0.000000     -     3.998058    | 7s     | 2S   | 18p    | 2P*  |    |
                      |       |           |      |                                   |        |      |        |      |    |
            310.1063  |       | 1.23e+04  |      |    0.000000     -     3.996959    | 7s     | 2S   | 18p    | 2P*  |    |
            310.9885  |       | 1.57e+04  |      |    0.000000     -     3.985621    | 7s     | 2S   | 17p    | 2P*  |    |
            311.0966  |       | 1.57e+04  |      |    0.000000     -     3.984236    | 7s     | 2S   | 17p    | 2P*  |    |
            312.2284  |       | 2.10e+04  |      |    0.000000     -     3.969794    | 7s     | 2S   | 16p    | 2P*  |    |
            312.3684  |       | 2.11e+04  |      |    0.000000     -     3.968015    | 7s     | 2S   | 16p    | 2P*  |    |
                      |       |           |      |                                   |        |      |        |      |    |
            313.8547  |       | 2.81e+04  |      |    0.000000     -     3.949225    | 7s     | 2S   | 15p    | 2P*  |    |
            314.0409  |       | 2.81e+04  |      |    0.000000     -     3.946883    | 7s     | 2S   | 15p    | 2P*  |    |
            316.0492  |       | 4.00e+04  |      |    0.000000     -     3.921805    | 7s     | 2S   | 14p    | 2P*  |    |
            316.3046  |       | 3.91e+04  |      |    0.000000     -     3.918638    | 7s     | 2S   | 14p    | 2P*  |    |
            319.1165  |       | 5.81e+04  |      |    0.000000     -     3.884110    | 7s     | 2S   | 13p    | 2P*  |    |
                      |       |           |      |                                   |        |      |        |      |    |
            319.4810  |       | 5.81e+04  |      |    0.000000     -     3.879679    | 7s     | 2S   | 13p    | 2P*  |    |
            323.6029  |       | 9.16e+04  |      |    0.000000     -     3.830264    | 7s     | 2S   | 12p    | 2P*  |    |
            324.1504  |       | 9.15e+04  |      |    0.000000     -     3.823794    | 7s     | 2S   | 12p    | 2P*  |    |
            330.5752  |       | 1.56e+05  |      |    0.000000     -     3.749480    | 7s     | 2S   | 11p    | 2P*  |    |
            331.4578  |       | 1.56e+05  |      |    0.000000     -     3.739496    | 7s     | 2S   | 11p    | 2P*  |    |
                      |       |           |      |                                   |        |      |        |      |    |
            342.3900  |       | 3.04e+05  |      |    0.000000     -     3.620102    | 7s     | 2S   | 10p    | 2P*  |    |
            343.9675  |       | 3.02e+05  |      |    0.000000     -     3.603499    | 7s     | 2S   | 10p    | 2P*  |    |
