
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |            Observed  |      Rel. |    Aki    | Acc. |          Ei           Ek          |           Lower level           |           Upper level           |Type|
          |           Wavelength |      Int. |    s^-1   |      |         (eV)         (eV)         |---------------------------------|---------------------------------|    |
          |            Vac (nm)  |           |           |      |                                   | Conf.                 | Term    | Conf.                 | Term    |    |
Mo VI     |           126.8495   |      3000 | 3.14e+08  |      |    45.26705165  -     55.04124012 | 4p6.5f                | 2F*     | 4p6.6g                | 2G      |    |
Mo VI     |           127.0520   |     4000* | 5.10e+07  |      |    39.23809090  -     48.99660777 | 4p5.(2P*).4d2.(3F)    | 2F*     | 4p6.5g                | 2G      |    |
          |                      |           |           |      |                                   |                       |         |                       |         |    |
Mo VI     |           127.0520   |     4000* | 1.82e+06  |      |    39.23809090  -     48.99623953 | 4p5.(2P*).4d2.(3F)    | 2F*     | 4p6.5g                | 2G      |    |
Mo III    |           127.437    |       100 |           |      |                                   |                       |         |                       |         |    |
Mo III    |           127.494    |        50 |           |      |                                   |                       |         |                       |         |    |
Mo III    |           127.640    |       100 |           |      |                                   |                       |         |                       |         |    |
Mo III    |           127.740    |       200 |           |      |                                   |                       |         |                       |         |    |
          |                      |           |           |      |                                   |                       |         |                       |         |    |
Mo III    |           127.758    |       200 |           |      |                                   |                       |         |                       |         |    |
Mo III    |           127.806    |       100 |           |      |                                   |                       |         |                       |         |    |
Mo III    |           127.840    |       200 |           |      |                                   |                       |         |                       |         |    |
Mo III    |           128.190    |       150 |           |      |                                   |                       |         |                       |         |    |
Mo III    |           128.360    |       150 |           |      |                                   |                       |         |                       |         |    |
          |                      |           |           |      |                                   |                       |         |                       |         |    |
Mo III    |           128.642    |       100 |           |      |                                   |                       |         |                       |         |    |
Mo III    |           128.807    |        50 |           |      |                                   |                       |         |                       |         |    |
Mo III    |           128.825    |        50 |           |      |                                   |                       |         |                       |         |    |
Mo III    |           129.049    |       100 |           |      |                                   |                       |         |                       |         |    |
Mo VII    |           129.6225   |       400 |           |      |    62.068812    -     71.633839   | 4s2.4p5.(2P*<1/2>).5s | 2[1/2]* | 4s2.4p5.(2P*<1/2>).5p | 2[1/2]  |    |
          |                      |           |           |      |                                   |                       |         |                       |         |    |
Mo III    |           129.982    |       100 |           |      |                                   |                       |         |                       |         |    |
