
---------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |           Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek          |       Lower level       |       Upper level       |Type|
          |          Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |-------------------------|-------------------------|    |
          |           Vac (nm)  |       |           |      |                                   | Conf.            | Term | Conf.            | Term |    |
F II      |           255.611   |   100 |           |      |                                   |                  |      |                  |      |    |
F III     |           258.004   |   120 |           |      |                                   |                  |      |                  |      |    |
F III     |           258.381   |   130 |           |      |                                   |                  |      |                  |      |    |
          |                     |       |           |      |                                   |                  |      |                  |      |    |
F III     |           259.323   |   120 |           |      |                                   |                  |      |                  |      |    |
F III     |           259.553   |   130 |           |      |                                   |                  |      |                  |      |    |
F III     |           259.928   |   140 |           |      |                                   |                  |      |                  |      |    |
F III     |           262.501   |   130 |           |      |                                   |                  |      |                  |      |    |
F III     |           262.970   |   140 |           |      |                                   |                  |      |                  |      |    |
          |                     |       |           |      |                                   |                  |      |                  |      |    |
F III     |           265.644   |   120 |           |      |                                   |                  |      |                  |      |    |
F V       |           269.398   |    10 |           |      |                                   |                  |      |                  |      |    |
F V       |           270.230   |    10 |           |      |                                   |                  |      |                  |      |    |
F V       |           270.396   |    10 |           |      |                                   |                  |      |                  |      |    |
F V       |           270.717   |    20 |           |      |                                   |                  |      |                  |      |    |
          |                     |       |           |      |                                   |                  |      |                  |      |    |
F III     |           275.555   |   130 |           |      |                                   |                  |      |                  |      |    |
F III     |           275.963   |   160 |           |      |                                   |                  |      |                  |      |    |
F III     |           278.815   |   120 |           |      |                                   |                  |      |                  |      |    |
F III     |           281.145   |   160 |           |      |                                   |                  |      |                  |      |    |
F IV      |           282.074   |    40 |           |      |                                   |                  |      |                  |      |    |
          |                     |       |           |      |                                   |                  |      |                  |      |    |
F IV      |           282.613   |    50 |           |      |                                   |                  |      |                  |      |    |
F III     |           283.399   |   140 |           |      |                                   |                  |      |                  |      |    |
F III     |           283.563   |   150 |           |      |                                   |                  |      |                  |      |    |
F III     |           286.033   |   150 |           |      |                                   |                  |      |                  |      |    |
F III     |           286.286   |   120 |           |      |                                   |                  |      |                  |      |    |
          |                     |       |           |      |                                   |                  |      |                  |      |    |
F II      |           287.140   |   100 |           |      |                                   |                  |      |                  |      |    |
F III     |           288.758   |   140 |           |      |                                   |                  |      |                  |      |    |
F III     |           288.945   |   150 |           |      |                                   |                  |      |                  |      |    |
F III     |           290.530   |   120 |           |      |                                   |                  |      |                  |      |    |
F III     |           291.329   |   140 |           |      |                                   |                  |      |                  |      |    |
          |                     |       |           |      |                                   |                  |      |                  |      |    |
F III     |           291.634   |   160 |           |      |                                   |                  |      |                  |      |    |
F III     |           293.249   |   140 |           |      |                                   |                  |      |                  |      |    |
F III     |           299.428   |   140 |           |      |                                   |                  |      |                  |      |    |
F III     |           299.721   |  120w |           |      |                                   |                  |      |                  |      |    |
F III     |           299.753   |   130 |           |      |                                   |                  |      |                  |      |    |
          |                     |       |           |      |                                   |                  |      |                  |      |    |
F III     |           299.947   |   120 |           |      |                                   |                  |      |                  |      |    |
F III     |           303.925   |   130 | 2.75e+08  | C    |    47.145054    -     51.223308   | 2s2.2p2.(1D).3p  | 2D*  | 2s2.2p2.(1D).3d  | 2F   |    |
F III     |           303.975   |   120 | 2.56e+08  | C    |    47.152073    -     51.229649   | 2s2.2p2.(1D).3p  | 2D*  | 2s2.2p2.(1D).3d  | 2F   |    |
F III     |           304.280   |   160 |           |      |                                   |                  |      |                  |      |    |
