
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |               Observed  |          Rel. |    Aki    | Acc. |            Ei           Ek             |           Lower level           |            Upper level            |   Type|
          |              Wavelength |          Int. |    s^-1   |      |           (eV)         (eV)            |---------------------------------|-----------------------------------|       |
          |               Vac (nm)  |               |           |      |                                        | Conf.                | Term     | Conf.                | Term       |       |
Sr III    |             103.3265    |            36 |           |      |    22.950202      -     34.949457      | 4p5.(2P*<3/2>).4d    | 2[7/2]*  | 4p5.(2P*<3/2>).4f    | 2[7/2]     |       |
Sr V      |             103.3509    |             1 |           |      |    26.900750      -     38.897181      | 4s2.4p3.(2D*).4d     | 3D*      | 4s2.4p3.(4S*).5p     | 5P         |       |
Sr III    |             103.7840    |             9 |           |      |    22.950202      -     34.896543      | 4p5.(2P*<3/2>).4d    | 2[7/2]*  | 4p5.(2P*<3/2>).6p    | 2[5/2]     |       |
Sr IV     |             103.7925    |            12 |           |      |    31.593771      -     43.539125      | 4s2.4p4.(3P).4d      | 2D       | 4s2.4p4.(1D).4f      | 2D*        |       |
          |                         |               |           |      |                                        |                      |          |                      |            |       |
Sr V      |             103.8991    |            18 |           |      |    33.009480      -     44.942630      | 4s2.4p3.(2P*).4d     | 1F*      | 4s2.4p3.(2P*).5p     | 1D         |       |
Sr V      |             104.1466    |             2 |           |      |    41.063347      -     52.968162      | 4s2.4p3.(2D*).5p     | 3D       | 4s2.4p3.(2D*).6s     | 1D*        |       |
Sr V      |             104.1936    |            20 |           |      |    29.939637      -     41.838999      | 4s2.4p3.(2P*).4d     | 1D*      | 4s2.4p3.(2D*).5p     | 1P         |       |
Sr III    |             104.2459    |             9 |           |      |    22.950202      -     34.843613      | 4p5.(2P*<3/2>).4d    | 2[7/2]*  | 4p5.(2P*<3/2>).6p    | 2[5/2]     |       |
Sr IV     |             104.2818    |             8 |           |      |    31.593771      -     43.483121      | 4s2.4p4.(3P).4d      | 2D       | 4s.4d.(3D).4p5.(2P*) | 4F*        |       |
          |                         |               |           |      |                                        |                      |          |                      |            |       |
Sr III    |             104.3678    |             8 |           |      |    22.950202      -     34.829728      | 4p5.(2P*<3/2>).4d    | 2[7/2]*  | 4p5.(2P*<3/2>).4f    | 2[5/2]     |       |
Sr III    |             104.4920    |            35 |           |      |    22.950202      -     34.815608      | 4p5.(2P*<3/2>).4d    | 2[7/2]*  | 4p5.(2P*<3/2>).4f    | 2[9/2]     |       |
Sr V      |             105.0430    |             1 |           |      |    30.795604      -     42.598893      | 4s2.4p3.(2P*).4d     | 3D*      | 4s2.4p3.(2D*).5p     | 3P         |       |
Sr IV     |             105.1034    |             4 |           |      |    23.209933      -     35.006381      | 4s2.4p4.(3P).4d      | 4D       | 4s2.4p4.(3P<1>).5p   | 2[1]*      |       |
Sr III    |             105.1656    |            12 |           |      |    24.336872      -     36.126236      | 4p5.(2P*<1/2>).4d    | 2[5/2]*  | 4p5.(2P*<1/2>).6p    | 2[3/2]     |       |
