
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |             Observed  |   Rel. |    Aki    | Acc. |          Ei           Ek           |         Lower level         |         Upper level         |Type|
          |            Wavelength |   Int. |    s^-1   |      |         (eV)         (eV)          |-----------------------------|-----------------------------|    |
          |             Vac (nm)  |        |           |      |                                    | Conf.          | Term       | Conf.          | Term       |    |
          |                       |        |           |      |                                    |                |            |                |            |    |
Bi I      |            196.0049   |   7000 | 1.54e+07  |      |    0.000000     -      6.3255607   | 6p3            | 4S*        | 6p2.(3P<0>).7d | 2[2]       |    |
Bi III    |            198.826    |     10 |           |      |                                    |                |            |                |            |    |
Bi II     |            198.935    |     25 |           |      |                                    |                |            |                |            |    |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |             Observed  |   Rel. |    Aki    | Acc. |          Ei           Ek           |         Lower level         |         Upper level         |Type|
          |            Wavelength |   Int. |    s^-1   |      |         (eV)         (eV)          |-----------------------------|-----------------------------|    |
          |             Air (nm)  |        |           |      |                                    | Conf.          | Term       | Conf.          | Term       |    |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                       |        |           |      |                                    |                |            |                |            |    |
Bi III    |            202.075    |     20 |           |      |                                    |                |            |                |            |    |
Bi I      |            202.1149   |   7000 | 6.0e+06   |      |    0.000000     -      6.1323710   | 6p3            | 4S*        | 6p2.(3P<2>).7s | 2[2]       |    |
Bi III    |            202.115    |     20 |           |      |                                    |                |            |                |            |    |
Bi I      |            206.1634   |   9000 | 9.6e+07   |      |    0.000000     -      6.0119773   | 6p3            | 4S*        | 6p2.(3P<2>).7s | 2[2]       |    |
Bi II     |            206.8937   |    45w |           |      |                                    |                |            |                |            |    |
          |                       |        |           |      |                                    |                |            |                |            |    |
Bi III    |            207.322    |     10 |           |      |                                    |                |            |                |            |    |
Bi III    |            207.337    |     14 |           |      |                                    |                |            |                |            |    |
Bi IV     |            209.3      |     30 |           |      |                                    |                |            |                |            |    |
Bi III    |            210.342    |     15 |           |      |                                    |                |            |                |            |    |
Bi I      |            211.0217   |   4600 | 5.3e+07   |      |    0.000000     -      5.8735623   | 6p3            | 4S*        | 6p2.(3P<0>).8s | 2[0]       |    |
          |                       |        |           |      |                                    |                |            |                |            |    |
Bi I      |            213.3600   |   2500 |           |      |                                    |                |            |                |            |    |
Bi II     |            214.340    |     15 |           |      |                                    |                |            |                |            |    |
Bi II     |            214.346    |     15 |           |      |                                    |                |            |                |            |    |
Bi I      |            217.7895   |        | 2.6e+06   |      |                                    |                |            |                |            |    |
Bi II     |            218.6930   |     60 |           |      |    5.4768490    -     11.1444029   | 6p2            | 1S         | 6p.7s          | (3/2,1/2)* |    |
          |                       |        |           |      |                                    |                |            |                |            |    |
