
------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |              Observed  |  Rel. |    Aki    | Acc. |           Ei           Ek           |        Lower level        |        Upper level        |Type|
          |             Wavelength |  Int. |    s^-1   |      |          (eV)         (eV)          |---------------------------|---------------------------|    |
          |              Vac (nm)  |       |           |      |                                     | Conf.          | Term     | Conf.          | Term     |    |
Sb II     |            158.1353    |     7 |           |      |     0.37872      -      8.21911     | 5s2.5p2        | 3P       | 5s.5p3         | 3D*      |    |
Sb I      |            159.996     |   80r |           |      |     0.000000     -      7.7492263   | 5p3            | 4S*      | 5p2.(3P).6d    | 4F       |    |
Sb II     |            160.6952    |    10 |           |      |     0.70153      -      8.41698     | 5s2.5p2        | 3P       | 5s.5p3         | 3D*      |    |
          |                        |       |           |      |                                     |                |          |                |          |    |
Sb I      |            161.28      |  200w |           |      |                                     |                |          |                |          |    |
Sb I      |            162.33      |  100w |           |      |                                     |                |          |                |          |    |
Sb I      |            165.120     |   50w |           |      |                                     |                |          |                |          |    |
Sb II     |            165.7036    |    20 |           |      |     6.41282      -     13.89367     | 5s.5p3         | 5S*      | 5s2.5p.4f      | 1D       |    |
Sb I      |            166.26      |  100w |           |      |     1.05536895   -      8.51163     | 5p3            | 2D*      | 5p2.(3P).8s    | 4P       |    |
          |                        |       |           |      |                                     |                |          |                |          |    |
Sb III    |            167.389     |    15 |           |      |                                     |                |          |                |          |    |
Sb I      |            169.885     |    50 |           |      |     0.000000     -      7.2980678   | 5p3            | 4S*      | 5p2.(3P).5d    | 4D       |    |
Sb III    |            171.023     |     3 |           |      |                                     |                |          |                |          |    |
Sb III    |            171.184     |    15 |           |      |                                     |                |          |                |          |    |
Sb I      |            171.693     |   80r |           |      |                                     |                |          |                |          |    |
          |                        |       |           |      |                                     |                |          |                |          |    |
Sb I      |            171.745     |  150r |           |      |     1.22174247   -      8.4408062   | 5p3            | 2D*      | 5p2.(3P).6d    | 2F       |    |
Sb I      |            172.343     |  150r |           |      |     1.05536895   -      8.249312    | 5p3            | 2D*      |                | 66535    |    |
Sb III    |            172.533     |    15 |           |      |                                     |                |          |                |          |    |
Sb I      |            173.619     |  100r |           |      |     0.000000     -      7.1411427   | 5p3            | 4S*      | 5p2.(3P).5d    | 4D       |    |
Sb II     |            173.6469    |     8 |           |      |                                     |                |          |                |          |    |
          |                        |       |           |      |                                     |                |          |                |          |    |
Sb I      |            175.779     |    50 |           |      |     1.22174247   -      8.2750925   | 5p3            | 2D*      | 5p2.(3P).6d    | 4D       |    |
Sb III    |            176.230     |    12 |           |      |                                     |                |          |                |          |    |
Sb I      |            176.576     |  100w |           |      |     1.05536895   -      8.076777    | 5p3            | 2D*      | 5p2.(3P).6d    | 4D       |    |
Sb I      |            178.087     |  100r |           |      |     0.000000     -      6.9619359   | 5p3            | 4S*      | 5p2.(3P).5d    | 4P       |    |
Sb I      |            178.824     |  100r |           |      |     1.05536895   -      7.9885985   | 5p3            | 2D*      | 5p2.(3P).7d    |          |    |
          |                        |       |           |      |                                     |                |          |                |          |    |
Sb I      |            180.018     |   150 |           |      |     1.22174247   -      8.1090371   | 5p3            | 2D*      | 5p2.(1D).5d    | 2F       |    |
Sb I      |            181.050     |   50r |           |      |     0.000000     -      6.8480143   | 5p3            | 4S*      | 5p2.(1D).6s    | 2D       |    |
Sb I      |            181.420     |   80r |           |      |     0.000000     -      6.8341256   | 5p3            | 4S*      | 5p2.(3P).5d    | 4F       |    |
Sb I      |            182.950     |   100 |           |      |     1.22174247   -      7.9986797   | 5p3            | 2D*      | 5p2.(3P).6d    | 2F       |    |
Sb III    |            183.932     |    12 |           |      |                                     |                |          |                |          |    |
          |                        |       |           |      |                                     |                |          |                |          |    |
