
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |            Observed  |    Rel. |    Aki    | Acc. |          Ei           Ek          |           Lower level            |           Upper level            |Type|
          |           Wavelength |    Int. |    s^-1   |      |         (eV)         (eV)         |----------------------------------|----------------------------------|    |
          |            Vac (nm)  |         |           |      |                                   | Conf.                 | Term     | Conf.                 | Term     |    |
Sc IV     |            123.3376  |       6 |           |      |    46.91792     -     56.97035    | 3s2.3p5.4p            | 3D       | 3s2.3p5.(2P*<3/2>).5s | 2[3/2]*  |    |
          |                      |         |           |      |                                   |                       |          |                       |          |    |
Sc IV     |            123.5627  |       5 |           |      |    47.55130     -     57.58535    | 3s2.3p5.4p            | 1P       | 3s2.3p5.(2P*<1/2>).5s | 2[1/2]*  |    |
Sc V      |            123.6340  |       6 |           |      |    57.12394     -     67.15224    | 3s2.3p4.(1D).4p       | 2F*      | 3s2.3p4.(1D).4d       | 2F       |    |
Sc II     |            123.7170  |       0 |           |      |     0.618407    -     10.640001   | 3p6.3d2               | 3F       | 3p6.3d.5f             | 1H*      |    |
Sc II     |            123.7317  |       1 |           |      |     0.595480    -     10.61585    | 3p6.3d2               | 3F       | 3p6.3d.5f             | 1F*      |    |
Sc II     |            123.8571  |       1 |           |      |     0.605485    -     10.61585    | 3p6.3d2               | 3F       | 3p6.3d.5f             | 1F*      |    |
          |                      |         |           |      |                                   |                       |          |                       |          |    |
Sc II     |            123.8813  |       3 |           |      |     0.605485    -     10.613790   | 3p6.3d2               | 3F       | 3p6.3d.5f             | 3G*      |    |
Sc II     |            123.8963  |       0 |           |      |     0.618407    -     10.62553    | 3p6.3d2               | 3F       | 3p6.3d.5f             | 3D*      |    |
Sc V      |            123.9466  |       2 |           |      |    54.49025     -     64.49324    | 3s.3p5.(3P*).3d       | 4D*      | 3s2.3p4.(3P).4d       | 4F       |    |
Sc V      |            123.9613  |       0 |           |      |    57.06252     -     67.06434    | 3s2.3p4.(1D).4p       | 2F*      | 3s2.3p4.(1D).4d       | 2D       |    |
Sc II     |            123.9952  |       4 |           |      |     0.618407    -     10.617517   | 3p6.3d2               | 3F       | 3p6.3d.5f             | 3G*      |    |
          |                      |         |           |      |                                   |                       |          |                       |          |    |
Sc II     |            124.0415  |       1 |           |      |     0.618407    -     10.613790   | 3p6.3d2               | 3F       | 3p6.3d.5f             | 3G*      |    |
Sc II     |            124.0656  |       2 |           |      |     0.595480    -     10.588918   | 3p6.3d2               | 3F       | 3p6.3d.5f             | 3G*      |    |
Sc II     |            124.0810  |       1 |           |      |     0.618407    -     10.61060    | 3p6.3d2               | 3F       | 3p6.3d.5f             | 3F*      |    |
Sc II     |            124.1166  |       2 |           |      |     0.605485    -     10.594820   | 3p6.3d2               | 3F       | 3p6.3d.5f             | *        |    |
Sc II     |            124.1283  |       1 |           |      |     0.605485    -     10.593873   | 3p6.3d2               | 3F       | 3p6.3d.5f             | 3H*      |    |
          |                      |         |           |      |                                   |                       |          |                       |          |    |
Sc II     |            124.1979  |       0 |           |      |     0.618407    -     10.601197   | 3p6.3d2               | 3F       | 3p6.3d.5f             | 3H*      |    |
Sc V      |            124.2214  |      5* |           |      |    54.41852     -     64.39949    | 3s.3p5.(3P*).3d       | 4D*      | 3s2.3p4.(3P).4d       | 4F       |    |
Sc V      |            124.2214  |      5* |           |      |    54.51245     -     64.49324    | 3s.3p5.(3P*).3d       | 4D*      | 3s2.3p4.(3P).4d       | 4F       |    |
Sc II     |            124.2693  |       0 |           |      |     0.605485    -     10.582542   | 3p6.3d2               | 3F       | 3p6.3d.5f             | 1G*      |    |
Sc IV     |            124.5661  |       6 |           |      |    47.13238     -     57.08566    | 3s2.3p5.4p            | 3D       | 3s2.3p5.(2P*<3/2>).5s | 2[3/2]*  |    |
          |                      |         |           |      |                                   |                       |          |                       |          |    |
Sc IV     |            124.6224  |       3 |           |      |    47.55130     -     57.50001    | 3s2.3p5.4p            | 1P       | 3s2.3p5.(2P*<1/2>).5s | 2[1/2]*  |    |
Sc V      |            124.6605  |       1 |           |      |    55.15361     -     65.09931    | 3s2.3p4.(3P).4p       | 4D*      | 3s2.3p4.(3P).4d       | 2P       |    |
Sc V      |            124.7023  |       3 |           |      |    54.29221     -     64.23457    | 3s.3p5.(3P*).3d       | 4D*      | 3s2.3p4.(3P).4d       | 4F       |    |
Sc II     |            124.7834  |       0 |           |      |     1.356952    -     11.29290    | 3p6.3d2               | 1D       | 3p6.3d.6f             | 1F*      |    |
Sc V      |            125.1193  |       6 |           |      |    54.49025     -     64.39949    | 3s.3p5.(3P*).3d       | 4D*      | 3s2.3p4.(3P).4d       | 4F       |    |
          |                      |         |           |      |                                   |                       |          |                       |          |    |
Sc IV     |            125.3195  |       7 |           |      |    47.69192     -     57.58535    | 3s2.3p5.4p            | 1D       | 3s2.3p5.(2P*<1/2>).5s | 2[1/2]*  |    |
Sc IV     |            125.5663  |       1 |           |      |    47.71132     -     57.58535    | 3s2.3p5.4p            | 3P       | 3s2.3p5.(2P*<1/2>).5s | 2[1/2]*  |    |
Sc IV     |            126.0248  |       0 |           |      |    47.13238     -     56.97035    | 3s2.3p5.4p            | 3D       | 3s2.3p5.(2P*<3/2>).5s | 2[3/2]*  |    |
Sc V      |            126.1384  |       7 |           |      |    54.29221     -     64.12140    | 3s.3p5.(3P*).3d       | 4D*      | 3s2.3p4.(3P).4d       | 4F       |    |
Sc V      |            126.3082  |       7 |           |      |    54.41852     -     64.23457    | 3s.3p5.(3P*).3d       | 4D*      | 3s2.3p4.(3P).4d       | 4F       |    |
          |                      |         |           |      |                                   |                       |          |                       |          |    |
Sc II     |            126.5653  |       0 |           |      |     1.506956    -     11.30302    | 3p6.3d2               | 3P       | 3p6.3d.6f             | 3P*      |    |
