
---------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |              Observed  |    Rel. |    Aki    | Acc. |          Ei           Ek           |   Lower level    |    Upper level     |Type|
          |             Wavelength |    Int. |    s^-1   |      |         (eV)         (eV)          |------------------|--------------------|    |
          |              Vac (nm)  |         |           |      |                                    | Conf.     | Term | Conf.      | Term  |    |
---------------------------------------------------------------------------------------------------------------------------------------------------
          |                        |         |           |      |                                    |           |      |            |       |    |
Sn III    |            101.092     |      50 |           |      |                                    |           |      |            |       |    |
Sn II     |            101.626     |       2 |           |      |                                    |           |      |            |       |    |
Sn IV     |            101.972     |     500 |           |      |                                    |           |      |            |       |    |
Sn II     |            104.078     |       4 |           |      |                                    |           |      |            |       |    |
Sn II     |            104.132     |       1 |           |      |                                    |           |      |            |       |    |
          |                        |         |           |      |                                    |           |      |            |       |    |
Sn IV     |            104.449     |    1000 |           |      |                                    |           |      |            |       |    |
Sn III    |            104.884     |      50 |           |      |                                    |           |      |            |       |    |
Sn IV     |            105.837     |     100 |           |      |                                    |           |      |            |       |    |
Sn IV     |            105.859     |      50 |           |      |                                    |           |      |            |       |    |
Sn II     |            106.210     |       3 |           |      |                                    |           |      |            |       |    |
          |                        |         |           |      |                                    |           |      |            |       |    |
Sn IV     |            107.341     |    1000 |           |      |                                    |           |      |            |       |    |
Sn IV     |            108.750     |     200 |           |      |                                    |           |      |            |       |    |
Sn V      |            108.935     |     200 |           |      |                                    |           |      |            |       |    |
Sn IV     |            109.692     |     300 |           |      |                                    |           |      |            |       |    |
Sn IV     |            110.324     |      50 |           |      |                                    |           |      |            |       |    |
          |                        |         |           |      |                                    |           |      |            |       |    |
Sn II     |            110.819     |       8 |           |      |                                    |           |      |            |       |    |
Sn IV     |            111.934     |    1000 |           |      |                                    |           |      |            |       |    |
Sn IV     |            112.068     |     200 |           |      |                                    |           |      |            |       |    |
Sn V      |            113.279     |     100 |           |      |                                    |           |      |            |       |    |
Sn III    |            113.929     |    1000 |           |      |                                    |           |      |            |       |    |
          |                        |         |           |      |                                    |           |      |            |       |    |
Sn III    |            115.833     |    1000 |           |      |                                    |           |      |            |       |    |
Sn II     |            115.905     |       4 |           |      |                                    |           |      |            |       |    |
Sn V      |            116.074     |     200 |           |      |                                    |           |      |            |       |    |
Sn III    |            116.109     |     200 |           |      |                                    |           |      |            |       |    |
Sn II     |            116.143     |      10 |           |      |                                    |           |      |            |       |    |
          |                        |         |           |      |                                    |           |      |            |       |    |
Sn III    |            116.158     |     100 |           |      |                                    |           |      |            |       |    |
Sn II     |            116.294     |       3 |           |      |                                    |           |      |            |       |    |
Sn V      |            117.626     |     100 |           |      |                                    |           |      |            |       |    |
Sn II     |            118.051     |       4 |           |      |                                    |           |      |            |       |    |
Sn III    |            118.062     |     100 |           |      |                                    |           |      |            |       |    |
          |                        |         |           |      |                                    |           |      |            |       |    |
Sn III    |            118.425     |    1000 |           |      |                                    |           |      |            |       |    |
Sn V      |            118.992     |     100 |           |      |                                    |           |      |            |       |    |
Sn III    |            118.999     |     200 |           |      |                                    |           |      |            |       |    |
Sn III    |            120.406     |     200 |           |      |                                    |           |      |            |       |    |
