
--------------------------------------------------------------------------------------
Spectrum  |          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
          |         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          |          Vac (nm)  |       |           |      |                     |    |
--------------------------------------------------------------------------------------
Zn I      |           158.957  |       |           |      |                     |    |
Zn III    |           159.852  |   100 |           |      |                     |    |
Zn III    |           160.087  |   100 |           |      |                     |    |
Zn II     |           161.768  |    60 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Zn III    |           161.961  |   100 |           |      |                     |    |
Zn III    |           162.251  |   150 |           |      |                     |    |
Zn III    |           162.919  |   200 |           |      |                     |    |
Zn III    |           163.933  |   200 |           |      |                     |    |
Zn III    |           164.482  |   150 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Zn III    |           165.174  |   100 |           |      |                     |    |
Zn II     |           165.825  |    60 |           |      |                     |    |
Zn III    |           167.305  |   200 |           |      |                     |    |
Zn III    |           168.859  |   100 |           |      |                     |    |
Zn III    |           169.540  |    80 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Zn III    |           170.665  |    80 |           |      |                     |    |
Zn II     |           171.325  |    50 |           |      |                     |    |
Zn II     |           171.576  |    60 |           |      |                     |    |
Zn II     |           173.561  |  80bl |           |      |                     |    |
Zn II     |           173.689  |    60 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Zn II     |           173.790  |    50 |           |      |                     |    |
Zn II     |           174.712  |    75 |           |      |                     |    |
Zn III    |           174.963  |    80 |           |      |                     |    |
Zn III    |           175.384  |    50 |           |      |                     |    |
Zn II     |           176.219  |   80c |           |      |                     |    |
          |                    |       |           |      |                     |    |
Zn III    |           176.769  |   100 |           |      |                     |    |
Zn II     |           177.404  |    75 |           |      |                     |    |
Zn II     |           179.076  |    80 |           |      |                     |    |
Zn II     |           179.764  |   100 |           |      |                     |    |
Zn II     |           181.105  | 100bl |           |      |                     |    |
          |                    |       |           |      |                     |    |
Zn II     |           181.648  |    80 |           |      |                     |    |
Zn II     |           183.138  |    80 |           |      |                     |    |
Zn II     |           183.357  | 100bl |           |      |                     |    |
Zn II     |           183.601  |    70 |           |      |                     |    |
Zn II     |           183.665  |    75 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Zn III    |           183.932  |    80 |           |      |                     |    |
Zn II     |           184.756  |    75 |           |      |                     |    |
Zn II     |           186.412  |   100 |           |      |                     |    |
Zn II     |           186.608  |   100 |           |      |                     |    |
Zn II     |           187.213  |   100 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Zn II     |           189.426  |    75 |           |      |                     |    |
Zn II     |           190.152  |    60 |           |      |                     |    |
Zn II     |           191.481  |    60 |           |      |                     |    |
Zn II     |           191.896  | 100bl |           |      |                     |    |
Zn II     |           192.027  |    70 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Zn II     |           192.967  | 100bl |           |      |                     |    |
Zn II     |           194.558  |    60 |           |      |                     |    |
Zn II     |           195.191  |    60 |           |      |                     |    |
Zn II     |           195.300  |    80 |           |      |                     |    |
Zn II     |           195.487  |    75 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Zn II     |           196.454  |    80 |           |      |                     |    |
Zn II     |           196.940  |   100 |           |      |                     |    |
Zn II     |           198.211  |   100 |           |      |                     |    |
Zn II     |           198.561  |    70 |           |      |                     |    |
Zn II     |           198.699  |   100 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Zn II     |           199.337  |    50 |           |      |                     |    |
Zn II     |           199.692  |    50 |           |      |                     |    |
--------------------------------------------------------------------------------------
Spectrum  |          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
          |         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          |          Air (nm)  |       |           |      |                     |    |
--------------------------------------------------------------------------------------
          |                    |       |           |      |                     |    |
Zn II     |           201.194  |   100 |           |      |                     |    |
Zn II     |           202.548  |   500 | 3.3e+08   |      |                     |    |
Zn II     |           203.931  |    60 |           |      |                     |    |
Zn II     |           206.200  |   500 |           |      |                     |    |
Zn II     |           206.423  |   200 | 4.6e+08   |      |                     |    |
          |                    |       |           |      |                     |    |
Zn I      |           207.908  |   120 |           |      |                     |    |
Zn II     |           207.993  |    50 |           |      |                     |    |
Zn I      |           208.733  |    60 |           |      |                     |    |
Zn I      |           209.693  |    80 |           |      |                     |    |
Zn II     |           209.994  |   300 | 5.6e+08   |      |                     |    |
          |                    |       |           |      |                     |    |
Zn II     |           210.218  |   200 | 9.3e+07   |      |                     |    |
