
-----------------------------------------------------------------------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |         Ei           Ek         |      Lower level       |      Upper level       |Type|
         Wavelength |  Int. |    s^-1   |      |        (eV)         (eV)        |------------------------|------------------------|    |
          Air (nm)  |       |           |      |                                 | Conf.           | Term | Conf.           | Term |    |
-----------------------------------------------------------------------------------------------------------------------------------------
                    |       |           |      |                                 |                 |      |                 |      |    |
           255.002  |     6 | 1.58e+08  |      |    25.71704    -     30.57768   | 3s2.3p4.(3P).4s | 4P   | 3s2.3p4.(3P).4p | 4S*  |    |
           263.511  |     5 | 1.29e+08  |      |    25.87399    -     30.57768   | 3s2.3p4.(3P).4s | 4P   | 3s2.3p4.(3P).4p | 4S*  |    |
           268.990  |     5 | 7.48e+07  |      |    25.96989    -     30.57768   | 3s2.3p4.(3P).4s | 4P   | 3s2.3p4.(3P).4p | 4S*  |    |
           273.696  |     1 |           |      |    25.71704    -     30.24562   | 3s2.3p4.(3P).4s | 4P   | 3s2.3p4.(3P).4p | 2P*  |    |
           280.040  |     3 | 4.97e+06  |      |    25.71704    -     30.14311   | 3s2.3p4.(3P).4s | 4P   | 3s2.3p4.(3P).4p | 2D*  |    |
                    |       |           |      |                                 |                 |      |                 |      |    |
           287.735  |     1 | 4.05e+06  |      |    25.71704    -     30.02467   | 3s2.3p4.(3P).4s | 4P   | 3s2.3p4.(3P).4p | 4D*  |    |
           289.890  |     1 |           |      |    25.96989    -     30.24562   | 3s2.3p4.(3P).4s | 4P   | 3s2.3p4.(3P).4p | 2P*  |    |
           290.336  |     4 | 1.33e+07  |      |    25.87399    -     30.14311   | 3s2.3p4.(3P).4s | 4P   | 3s2.3p4.(3P).4p | 2D*  |    |
           293.845  |     5 | 4.24e+07  |      |    25.71704    -     29.93518   | 3s2.3p4.(3P).4s | 4P   | 3s2.3p4.(3P).4p | 4D*  |    |
           294.894  |     1 |           |      |    26.37459    -     30.57768   | 3s2.3p4.(3P).4s | 2P   | 3s2.3p4.(3P).4p | 4S*  |    |
                    |       |           |      |                                 |                 |      |                 |      |    |
           295.433  |     3 | 3.00e+07  |      |    25.87399    -     30.06948   | 3s2.3p4.(3P).4s | 4P   | 3s2.3p4.(3P).4p | 4D*  |    |
           298.620  |     5 | 1.18e+08  |      |    25.87399    -     30.02467   | 3s2.3p4.(3P).4s | 4P   | 3s2.3p4.(3P).4p | 4D*  |    |
           299.242  |     6 | 2.51e+08  |      |    25.71704    -     29.85910   | 3s2.3p4.(3P).4s | 4P   | 3s2.3p4.(3P).4p | 4D*  |    |
           302.343  |     3 | 2.13e+08  |      |    25.96989    -     30.06948   | 3s2.3p4.(3P).4s | 4P   | 3s2.3p4.(3P).4p | 4D*  |    |
           305.207  |     6 | 1.85e+08  |      |    25.87399    -     29.93518   | 3s2.3p4.(3P).4s | 4P   | 3s2.3p4.(3P).4p | 4D*  |    |
                    |       |           |      |                                 |                 |      |                 |      |    |
           305.684  |     5 | 1.18e+08  |      |    25.96989    -     30.02467   | 3s2.3p4.(3P).4s | 4P   | 3s2.3p4.(3P).4p | 4D*  |    |
