
-----------------------------------------------------------------------------------------------------------------------------------------------------------------
                   Observed  |  Rel. |    Aki    | Acc. |             Ei           Ek              |         Lower level          |      Upper level       |Type|
                  Wavelength |  Int. |    s^-1   |      |            (eV)         (eV)             |------------------------------|------------------------|    |
                   Air (nm)  |       |           |      |                                          | Conf.                 | Term | Conf.           | Term |    |
                383.36       |       |           |      |    33.09558        -     36.32865        | 2p5.(2P*).3s.3p.(3P*) | 4D   | 2p5.3s.(3P*).3d | 4D*  |    |
                384.80       |     5 | 2.8e+07   | D    |    33.09558        -     36.31669        | 2p5.(2P*).3s.3p.(3P*) | 4D   | 2p5.3s.(3P*).3d | 4F*  |    |
                385.23       |       |           |      |    33.17519        -     36.3928         | 2p5.(2P*).3s.3p.(3P*) | 4D   | 2p5.3s.(3P*).3d | 4F*  |    |
                             |       |           |      |                                          |                       |      |                 |      |    |
                386.55       |   130 | 5.8e+07   | D    |    33.05254        -     36.25914        | 2p5.(2P*).3s.3p.(3P*) | 4D   | 2p5.3s.(3P*).3d | 4F*  |    |
                387.29       |    19 | 1.2e+07   | D    |    33.05254        -     36.25290        | 2p5.(2P*).3s.3p.(3P*) | 4D   | 2p5.3s.(3P*).3d | 4D*  |    |
                388.18       |   420 | 1.63e+08  | D    |    33.05254        -     36.24561        | 2p5.(2P*).3s.3p.(3P*) | 4D   | 2p5.3s.(3P*).3d | 4F*  |    |
                388.57       |    36 | 6.2e+07   | D    |    33.13878        -     36.32865        | 2p5.(2P*).3s.3p.(3P*) | 4D   | 2p5.3s.(3P*).3d | 4D*  |    |
                390.04       |    15 | 7.7e+07   | D    |    33.13878        -     36.31669        | 2p5.(2P*).3s.3p.(3P*) | 4D   | 2p5.3s.(3P*).3d | 4F*  |    |
                             |       |           |      |                                          |                       |      |                 |      |    |
                391.18       |       |           |      |    33.17519        -     36.34387        | 2p5.(2P*).3s.3p.(3P*) | 4D   | 2p5.3s.(3P*).3d | 4D*  |    |
                391.79       |   160 | 6.6e+07   | D    |    33.09558        -     36.25914        | 2p5.(2P*).3s.3p.(3P*) | 4D   | 2p5.3s.(3P*).3d | 4F*  |    |
                392.56       |    85 | 4.5e+07   | D    |    33.09558        -     36.25290        | 2p5.(2P*).3s.3p.(3P*) | 4D   | 2p5.3s.(3P*).3d | 4D*  |    |
                393.06       |    15 | 2.5e+07   | D    |    33.17519        -     36.32865        | 2p5.(2P*).3s.3p.(3P*) | 4D   | 2p5.3s.(3P*).3d | 4D*  |    |
                394.26       |    32 | 2.1e+07   | D    |    33.09558        -     36.23924        | 2p5.(2P*).3s.3p.(3P*) | 4D   | 2p5.3s.(3P*).3d | 4P*  |    |
                             |       |           |      |                                          |                       |      |                 |      |    |
                398.03       |    14 | 5.e+06    | D    |    33.13878        -     36.25290        | 2p5.(2P*).3s.3p.(3P*) | 4D   | 2p5.3s.(3P*).3d | 4D*  |    |
                399.77       |    14 | 8.e+06    | D    |    33.13878        -     36.23924        | 2p5.(2P*).3s.3p.(3P*) | 4D   | 2p5.3s.(3P*).3d | 4P*  |    |
                400.88       |    27 | 1.5e+07   | D    |    33.13878        -     36.23061        | 2p5.(2P*).3s.3p.(3P*) | 4D   | 2p5.3s.(3P*).3d | 4P*  |    |
