
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                          Observed  |       Rel. |    Aki    | Acc. |                   Ei           Ek                  |          Lower level          |          Upper level          |Type|
          |                         Wavelength |       Int. |    s^-1   |      |                  (eV)         (eV)                 |-------------------------------|-------------------------------|    |
          |                          Vac (nm)  |            |           |      |                                                    | Conf.              | Term     | Conf.              | Term     |    |
Cs I      |                     119.58         |            |           |      |     2.80065674           -     13.1727             | 5p6.6d             | 2D       | 5p5.6s.(3P*).5d    | 4P*      |    |
Cs V      |                     119.6390       |          9 |           |      |     5.24127              -     15.60444            | 5s2.5p3            | 2P*      | 5s.(2S).5p4.(3P)   | 4P       |    |
Cs III    |                     120.1095       |        330 | 9.90e+07  |      |    15.9360018            -     26.2586272          | 5s2.5p4.(3P<2>).5d | 2[4]     | 5s2.5p4.(3P<2>).5f | 2[5]*    |    |
          |                                    |            |           |      |                                                    |                    |          |                    |          |    |
Cs III    |                     121.9625       |       1000 | 2.84e+07  |      |    17.6141531            -     27.7799484          | 5s2.5p4.(3P<1>).5d | 2[2]     | 5s2.5p4.(3P<1>).5f | 2[3]*    |    |
Cs III    |                     123.1790       |         85 | 7.32e+07  |      |    15.9360018            -     26.0013437          | 5s2.5p4.(3P<2>).5d | 2[4]     | 5s2.5p4.(3P<2>).7p | 2[3]*    |    |
Cs III    |                     123.3032       |         97 | 2.11e+07  |      |    16.3389442            -     26.3941697          | 5s2.5p4.(3P<2>).5d | 2[1]     | 5s2.5p4.(3P<2>).5f | 2[1]*    |    |
Cs V      |                     123.5795       |         51 |           |      |     5.24127              -     15.27391            | 5s2.5p3            | 2P*      | 5s.(2S).5p4.(3P)   | 4P       |    |
Cs I      |                     124.72         |            |           |      |     3.22951970           -     13.1727             | 5p6.7d             | 2D       | 5p5.6s.(3P*).5d    | 4P*      |    |
          |                                    |            |           |      |                                                    |                    |          |                    |          |    |
Cs IV     |                     128.2659       |         68 |           |      |     5.36596              -     15.03215            | 5s2.5p4            | 1S       | 5s.5p5             | 3P*      |    |
Cs VI     |                     139.2432       |          5 |           |      |     4.34706              -     13.25126            | 5s2.5p2            | 1D       | 5s.5p3             | 5S*      |    |
Cs II     |                     155.7959       |          2 |           |      |    13.91667299           -     21.87478012         | 5p5.(2P*<3/2>).5d  | 2[7/2]*  | 5p5.(2P*<3/2>).7f  | 2[9/2]   |    |
Cs II     |                     156.9493       |          1 |           |      |    14.34193759           -     22.2415782          | 5p5.(2P*<3/2>).5d  | 2[5/2]*  | 5p5.(2P*<3/2>).8f  | 2[5/2]   |    |
Cs II     |                     157.02731      |          3 |           |      |    13.98595023           -     21.8816614          | 5p5.(2P*<3/2>).5d  | 2[3/2]*  | 5p5.(2P*<3/2>).7f  | 2[5/2]   |    |
          |                                    |            |           |      |                                                    |                    |          |                    |          |    |
Cs II     |                     157.3008       |          1 |           |      |    13.31609577           -     21.19804655         | 5p5.(2P*<3/2>).6s  | 2[3/2]*  | 5p5.(2P*<1/2>).4f  | 2[5/2]   |    |
Cs II     |                     157.62831      |          3 |           |      |    14.34193759           -     22.20754298         | 5p5.(2P*<3/2>).5d  | 2[5/2]*  | 5p5.(2P*<3/2>).8f  | 2[7/2]   |    |
Cs III    |                     157.9866       |       1200 | 1.34e+06  |      |    14.9308090            -     22.7785648          | 5s2.5p4.(3P<2>).5d | 2[2]     | 5s2.5p4.(1D<2>).6p | 2[3]*    |    |
Cs II     |                     158.580        |       10bl |           |      |    13.37964988           -     21.19804655         | 5p5.(2P*<3/2>).5d  | 2[1/2]*  | 5p5.(2P*<1/2>).4f  | 2[5/2]   |    |
Cs II     |                     158.582        |       10bl |           |      |    14.10019709           -     21.91845686         | 5p5.(2P*<3/2>).5d  | 2[7/2]*  | 5p5.(2P*<3/2>).7f  | 2[7/2]   |    |
          |                                    |            |           |      |                                                    |                    |          |                    |          |    |
Cs II     |                     158.6325       |          2 |           |      |    13.31609577           -     21.13190610         | 5p5.(2P*<3/2>).6s  | 2[3/2]*  | 5p5.(2P*<1/2>).4f  | 2[7/2]   |    |
Cs II     |                     158.6991       |          2 |           |      |    13.75658687           -     21.5691067          | 5p5.(2P*<3/2>).6s  | 2[3/2]*  | 5p5.(2P*<3/2>).9p  | 2[3/2]   |    |
Cs II     |                     158.83692      |          4 |           |      |    13.37964988           -     21.18539973         | 5p5.(2P*<3/2>).5d  | 2[1/2]*  | 5p5.(2P*<1/2>).7p  | 2[1/2]   |    |
Cs II     |                     158.89274      |         18 |           |      |    13.31609577           -     21.11910214         | 5p5.(2P*<3/2>).6s  | 2[3/2]*  | 5p5.(2P*<1/2>).4f  | 2[5/2]   |    |
Cs II     |                     159.09262      |          3 |           |      |    13.75658687           -     21.5497913          | 5p5.(2P*<3/2>).6s  | 2[3/2]*  | 5p5.(2P*<3/2>).9p  | 2[5/2]   |    |
          |                                    |            |           |      |                                                    |                    |          |                    |          |    |
Cs II     |                     159.20394      |         11 |           |      |    14.10019709           -     21.88795068         | 5p5.(2P*<3/2>).5d  | 2[7/2]*  | 5p5.(2P*<3/2>).7f  | 2[9/2]   |    |
Cs II     |                     159.33598      |          3 |           |      |    14.66417831           -     22.4454790          | 5p5.(2P*<3/2>).5d  | 2[5/2]*  | 5p5.(2P*<3/2>).9f  | 2[7/2]   |    |
Cs II     |                     159.347        |          2 |           |      |    14.66417831           -     22.4449536          | 5p5.(2P*<3/2>).5d  | 2[5/2]*  | 5p5.(2P*<3/2>).9f  | 2[5/2]   |    |
Cs II     |                     159.60948      |          7 |           |      |    13.75658687           -     21.52455237         | 5p5.(2P*<3/2>).6s  | 2[3/2]*  | 5p5.(2P*<3/2>).6f  | 2[5/2]   |    |
Cs II     |                     159.9422       |          1 |           |      |    14.66417831           -     22.4159881          | 5p5.(2P*<3/2>).5d  | 2[5/2]*  | 5p5.(2P*<1/2>).5f  | 2[5/2]   |    |
          |                                    |            |           |      |                                                    |                    |          |                    |          |    |
Cs II     |                     160.5813       |          3 |           |      |    13.33723517           -     21.05820574         | 5p5.(2P*<3/2>).5d  | 2[1/2]*  | 5p5.(2P*<1/2>).7p  | 2[3/2]   |    |
Cs III    |                     161.0820       |       1200 | 7.38e+06  |      |    14.9308090            -     22.6277674          | 5s2.5p4.(3P<2>).5d | 2[2]     | 5s2.5p4.(3P<1>).4f | 2[2]*    |    |
Cs II     |                     161.30562      |          4 |           |      |    14.66417831           -     22.35046705         | 5p5.(2P*<3/2>).5d  | 2[5/2]*  | 5p5.(2P*<1/2>).5f  | 2[5/2]   |    |
Cs II     |                     161.4679       |          3 |           |      |    13.37964988           -     21.05820574         | 5p5.(2P*<3/2>).5d  | 2[1/2]*  | 5p5.(2P*<1/2>).7p  | 2[3/2]   |    |
Cs II     |                     162.17136      |          3 |           |      |    14.34193759           -     21.9871816          | 5p5.(2P*<3/2>).5d  | 2[5/2]*  | 5p5.(2P*<3/2>).10p | 2[5/2]   |    |
          |                                    |            |           |      |                                                    |                    |          |                    |          |    |
Cs II     |                     162.20735      |         10 |           |      |    13.75658687           -     21.40014954         | 5p5.(2P*<3/2>).6s  | 2[3/2]*  | 5p5.(2P*<3/2>).6f  | 2[3/2]   |    |
Cs II     |                     162.21302      |         10 |           |      |    13.91667299           -     21.5599623          | 5p5.(2P*<3/2>).5d  | 2[7/2]*  | 5p5.(2P*<3/2>).9p  | 2[5/2]   |    |
Cs III    |                     162.76142      |       2400 | 1.60e+07  |      |    15.0102282            -     22.6277674          | 5s2.5p4.(3P<2>).5d | 2[2]     | 5s2.5p4.(3P<1>).4f | 2[2]*    |    |
