
------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |            Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek          |      Lower level      |      Upper level      |Type|
          |           Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |-----------------------|-----------------------|    |
          |            Vac (nm)  |       |           |      |                                   | Conf.          | Term | Conf.          | Term |    |
          |                      |       |           |      |                                   |                |      |                |      |    |
N II      |            228.669   |   160 | 2.29e+07  | C+   |    21.159915    -     26.580243   | 2s2.2p.3p      | 3P   | 2s2.2p.5s      | 3P*  |    |
N II      |            228.844   |   110 | 1.01e+07  | C+   |    21.148307    -     26.564567   | 2s2.2p.3p      | 3P   | 2s2.2p.5s      | 3P*  |    |
N II      |            231.649   |   220 | 1.75e+07  | C+   |    20.653591    -     26.004193   | 2s2.2p.3p      | 3D   | 2s2.2p.4d      | 3F*  |    |
N II      |            231.669   |   160 | 1.65e+07  | C+   |    20.646057    -     25.996218   | 2s2.2p.3p      | 3D   | 2s2.2p.4d      | 3F*  |    |
N II      |            231.705   |   285 | 1.97e+07  | C+   |    20.665517    -     26.014848   | 2s2.2p.3p      | 3D   | 2s2.2p.4d      | 3F*  |    |
          |                      |       |           |      |                                   |                |      |                |      |    |
N II      |            246.127   |   160 | 4.11e+07  | B    |    21.599538    -     26.635423   | 2s2.2p.3p      | 1D   | 2s2.2p.5s      | 1P*  |    |
N II      |            249.683   |   110 | 7.41e+06  | C+   |    21.159915    -     26.124122   | 2s2.2p.3p      | 3P   | 2s2.2p.4d      | 3P*  |    |
N II      |            249.697   |    70 |           |      |                                   |                |      |                |      |    |
N II      |            252.022   |   110 | 1.26e+07  | C+   |    21.148307    -     26.066416   | 2s2.2p.3p      | 3P   | 2s2.2p.4d      | 3D*  |    |
N II      |            252.079   |   160 | 1.70e+07  | C+   |    21.152682    -     26.069665   | 2s2.2p.3p      | 3P   | 2s2.2p.4d      | 3D*  |    |
          |                      |       |           |      |                                   |                |      |                |      |    |
N II      |            252.223   |   220 | 2.26e+07  | C+   |    21.159915    -     26.074084   | 2s2.2p.3p      | 3P   | 2s2.2p.4d      | 3D*  |    |
N II      |            259.094   |   110 | 1.13e+07  | D    |    20.676306    -     25.460176   | 2s.2p3         | 1P*  | 2s2.2p.4p      | 1D   |    |
N III     |            268.218   |  250w |           |      |                                   |                |      |                |      |    |
N III     |            268.920   |   90* | 9.90e+07  | C+   |    39.39963     -     44.00870    | 2s2.4d         | 2D   | 2s2.6f         | 2F*  |    |
N III     |            268.920   |   90* | 6.60e+06  | C+   |    39.39963     -     44.00870    | 2s2.4d         | 2D   | 2s2.6f         | 2F*  |    |
          |                      |       |           |      |                                   |                |      |                |      |    |
N II      |            270.984   |   160 | 2.64e+07  | B    |    21.599538    -     26.173513   | 2s2.2p.3p      | 1D   | 2s2.2p.4d      | 1F*  |    |
N II      |            279.922   |   110 | 1.62e+07  | B    |    21.599538    -     26.027476   | 2s2.2p.3p      | 1D   | 2s2.2p.4d      | 1D*  |    |
N II      |            282.364   |   110 | 2.39e+07  | C+   |    20.676306    -     25.065962   | 2s.2p3         | 1P*  | 2s2.2p.4p      | 1P   |    |
N II      |            288.527   |   160 |           |      |                                   |                |      |                |      |    |
N II      |            300.683   |   220 | 9.19e+07  | B    |    20.409132    -     24.531350   | 2s2.2p.3p      | 1P   | 2s2.2p.4s      | 1P*  |    |
          |                      |       |           |      |                                   |                |      |                |      |    |
N III     |            336.734   |   120 | 1.27e+08  | B    |    35.67111     -     39.35199    | 2s.2p.(3P*).3s | 4P*  | 2s.2p.(3P*).3p | 4P   |    |
N II      |            343.715   |   360 | 1.91e+08  | B+   |    18.496929    -     22.103081   | 2s2.2p.3s      | 1P*  | 2s2.2p.3p      | 1S   |    |
N III     |            375.467   |    90 | 3.78e+07  | B    |    35.65680     -     38.95798    | 2s.2p.(3P*).3s | 4P*  | 2s.2p.(3P*).3p | 4S   |    |
N III     |            377.105   |   120 | 5.59e+07  | B    |    35.67111     -     38.95798    | 2s.2p.(3P*).3s | 4P*  | 2s.2p.(3P*).3p | 4S   |    |
N II      |            383.837   |   285 | 6.98e+07  | B    |    21.159915    -     24.389122   | 2s2.2p.3p      | 3P   | 2s2.2p.4s      | 3P*  |    |
          |                      |       |           |      |                                   |                |      |                |      |    |
N II      |            391.900   |   360 | 7.56e+07  | B+   |    20.409132    -     23.571905   | 2s2.2p.3p      | 1P   | 2s2.2p.3d      | 1P*  |    |
N III     |            393.852   |    90 | 8.96e+07  | B    |    38.33408     -     41.48118    | 2s.2p.(3P*).3p | 2P   | 2s.2p.(3P*).3d | 2D*  |    |
N II      |            395.585   |   450 | 1.21e+07  | B+   |    18.466227    -     21.599538   | 2s2.2p.3s      | 3P*  | 2s2.2p.3p      | 1D   |    |
N II      |            399.500   |  1000 | 1.22e+08  | A    |    18.496929    -     21.599538   | 2s2.2p.3s      | 1P*  | 2s2.2p.3p      | 1D   |    |
N III     |            399.863   |   150 | 1.76e+08  | C+   |    39.39569     -     42.49548    | 2s2.4d         | 2D   | 2s2.5f         | 2F*  |    |
          |                      |       |           |      |                                   |                |      |                |      |    |
N III     |            400.358   |   200 | 1.88e+08  | C+   |    39.39963     -     42.49559    | 2s2.4d         | 2D   | 2s2.5f         | 2F*  |    |
N II      |            403.508   |   360 |           |      |                                   |                |      |                |      |    |
