
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |              Observed  |   Rel. |    Aki    | Acc. |           Ei           Ek           |     Lower level     |            Upper level            |Type|
          |             Wavelength |   Int. |    s^-1   |      |          (eV)         (eV)          |---------------------|-----------------------------------|    |
          |              Vac (nm)  |        |           |      |                                     | Conf.        | Term | Conf.                | Term       |    |
Ga VI     |             101.1047   | 920bl* |           |      |    36.03206      -     48.29502     | 3d7.(4F).4s  | 5F   | 3d7.(4F).4p          | 5F*        |    |
Ga IV     |             101.1247   |    110 |           |      |    29.29894      -     41.55941     | 3d9.4p       | 1P*  | 3d9.4d               | 3P         |    |
Ga VI     |             101.1695   |  90bl* |           |      |    41.09682      -     53.35187     | 3d7.(2H).4s  | 3H   | 3d7.(2H).4p          | 3I*        |    |
          |                        |        |           |      |                                     |              |      |                      |            |    |
Ga VI     |             101.1695   |  90bl* |           |      |    47.89222      -     60.14730     | 3d7.(2D1).4s | 3D   | 3d7.(2D1).4p         | 3P*        |    |
Ga II     |             101.2299   |      2 |           |      |     6.044211     -     18.2919932   | 4s.4p        | 3P*  | 4s.6d                | 3D         |    |
Ga IV     |             101.2925   |      2 |           |      |    28.52132      -     40.76150     | 3d9.4p       | 3F*  | 3d9.4d               | 3S         |    |
Ga VI     |             101.3613   |    180 |           |      |    41.07392      -     53.30574     | 3d7.(2D2).4s | 3D   | 3d7.(2P).4p          | 3D*        |    |
Ga VI     |             101.4216   |    160 |           |      |    44.53071      -     56.75533     | 3d7.(2F).4s  | 1F   | 3d7.(2F).4p          | 3F*        |    |
          |                        |        |           |      |                                     |              |      |                      |            |    |
Ga VI     |             101.4443   |   1000 |           |      |    41.09682      -     53.31882     | 3d7.(2H).4s  | 3H   | 3d7.(2H).4p          | 3G*        |    |
Ga V      |             101.447    |     90 |           |      |    30.5116       -     42.7334      | 3d8.(1G).4s  | 2G   | 3d8.(1G).4p          | 2G*        |    |
Ga IV     |             101.4848   |    150 |           |      |    29.29894      -     41.51627     | 3d9.4p       | 1P*  | 3d9.4d               | 3D         |    |
Ga V      |             101.485    |     15 |           |      |    30.5166       -     42.7334      | 3d8.(1G).4s  | 2G   | 3d8.(1G).4p          | 2G*        |    |
Ga V      |             101.562    |     20 |           |      |    28.7285       -     40.9364      | 3d8.(1D).4s  | 2D   | 3d8.(3P).4p          | 4D*        |    |
          |                        |        |           |      |                                     |              |      |                      |            |    |
Ga VI     |             101.5806   | 370bl* |           |      |    40.56261      -     52.76839     | 3d7.(2G).4s  | 1G   | 3d7.(2G).4p          | 1F*        |    |
Ga VI     |             101.5806   | 370bl* |           |      |    40.59725      -     52.80236     | 3d7.(4P).4s  | 3P   | 3d7.(4P).4p          | 5P*        |    |
Ga VI     |             101.6990   |    250 |           |      |    36.75792      -     48.94905     | 3d7.(4F).4s  | 5F   | 3d7.(4F).4p          | 5F*        |    |
Ga VI     |             101.7103   |    380 |           |      |    41.30183      -     53.49211     | 3d7.(2D2).4s | 3D   | 3d7.(2D2).4p         | 3D*        |    |
Ga IV     |             101.7366   |    100 |           |      |    29.37266      -     41.55941     | 3d9.4p       | 3D*  | 3d9.4d               | 3P         |    |
          |                        |        |           |      |                                     |              |      |                      |            |    |
Ga VI     |             101.8787   |    290 |           |      |    40.95884      -     53.12864     | 3d7.(2H).4s  | 3H   | 3d7.(2H).4p          | 3I*        |    |
Ga VI     |             101.9062   |    700 |           |      |    40.10787      -     52.27412     | 3d7.(2G).4s  | 3G   | 3d7.(2G).4p          | 3H*        |    |
Ga II     |             101.910    |      3 |           |      |     5.872827     -     18.0389816   | 4s.4p        | 3P*  | 4s.7s                | 3S         |    |
Ga VI     |             101.9213   |    920 |           |      |    41.74821      -     53.91299     | 3d7.(2H).4s  | 1H   | 3d7.(2H).4p          | 1I*        |    |
Ga VI     |             101.9689   |   1000 |           |      |    39.91804      -     52.07717     | 3d7.(2G).4s  | 3G   | 3d7.(2G).4p          | 3F*        |    |
          |                        |        |           |      |                                     |              |      |                      |            |    |
Ga V      |             101.971    |     90 |           |      |    30.5166       -     42.675       | 3d8.(1G).4s  | 2G   | 3d8.(1G).4p          | 2G*        |    |
Ga VI     |             102.0737   |    720 |           |      |    39.91804      -     52.06452     | 3d7.(2G).4s  | 3G   | 3d7.(2G).4p          | 3H*        |    |
Ga IV     |             102.0983   |     40 |           |      |    29.37266      -     41.51627     | 3d9.4p       | 3D*  | 3d9.4d               | 3D         |    |
Ga V      |             102.198    |     10 |           |      |    26.6860       -     38.8180      | 3d8.(3F).4s  | 4F   | 3d8.(3F).4p          | 2F*        |    |
Ga VI     |             102.2098   |    420 |           |      |    36.66110      -     48.79146     | 3d7.(4F).4s  | 5F   | 3d7.(4F).4p          | 5F*        |    |
          |                        |        |           |      |                                     |              |      |                      |            |    |
Ga IV     |             102.2289   |    120 |           |      |    29.12878      -     41.25667     | 3d9.4p       | 3D*  | 3d9.4d               | 3P         |    |
Ga IV     |             102.2586   |      7 |           |      |    29.12878      -     41.25332     | 3d9.4p       | 3D*  | 3d9.4d               | 3G         |    |
Ga IV     |             102.3104   |    100 |           |      |    29.44104      -     41.55941     | 3d9.4p       | 3D*  | 3d9.4d               | 3P         |    |
Ga II     |             102.3735   |      0 |           |      |     5.9281943    -     18.0389816   | 4s.4p        | 3P*  | 4s.7s                | 3S         |    |
Ga VI     |             102.4417   |     50 |           |      |    41.07392      -     53.17687     | 3d7.(2D2).4s | 3D   | 3d7.(4P).4p          | 3P*        |    |
          |                        |        |           |      |                                     |              |      |                      |            |    |
Ga VI     |             102.5387   |    110 |           |      |    47.94925      -     60.04070     | 3d7.(2D1).4s | 3D   | 3d7.(2D1).4p         | 3P*        |    |
Ga IV     |             102.5646   |     60 |           |      |    29.37266      -     41.46072     | 3d9.4p       | 3D*  | 3d9.4d               | 3P         |    |
Ga VI     |             102.5878   |    240 |           |      |    40.34546      -     52.43123     | 3d7.(2P).4s  | 3P   | 3d7.(2P).4p          | 3P*        |    |
Ga VI     |             102.6322   |    360 |           |      |    40.56261      -     52.64297     | 3d7.(2G).4s  | 1G   | 3d7.(2G).4p          | 1G*        |    |
Ga IV     |             102.6768   |     80 |           |      |    29.44104      -     41.51627     | 3d9.4p       | 3D*  | 3d9.4d               | 3D         |    |
          |                        |        |           |      |                                     |              |      |                      |            |    |
