
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |              Observed  |   Rel. |    Aki    | Acc. |           Ei           Ek           |     Lower level     |            Upper level            |Type|
          |             Wavelength |   Int. |    s^-1   |      |          (eV)         (eV)          |---------------------|-----------------------------------|    |
          |              Vac (nm)  |        |           |      |                                     | Conf.        | Term | Conf.                | Term       |    |
Ga I      |             105.387    |     a* |           |      |     0.000000     -     11.76466     | 3d10.4s2.4p  | 2P*  | 4s.4p.(3P*<1>).11p   | 2[1]       |    |
Ga I      |             105.387    |     a* |           |      |     0.000000     -     11.76466     | 3d10.4s2.4p  | 2P*  | 4s.4p.(3P*<2>).9p    | 2[2]       |    |
Ga V      |             105.456    |     80 |           |      |    26.2997       -     38.0566      | 3d8.(3F).4s  | 4F   | 3d8.(3F).4p          | 2G*        |    |
Ga I      |             105.714    |     a* |           |      |     0.000000     -     11.72826     | 3d10.4s2.4p  | 2P*  | 4s.4p.(3P*<0>).12p   | 2[1]       |    |
          |                        |        |           |      |                                     |              |      |                      |            |    |
Ga I      |             105.714    |     a* |           |      |     0.000000     -     11.72826     | 3d10.4s2.4p  | 2P*  | 4s.4p.(3P*<0>).12p   | 2[1]       |    |
Ga V      |             105.812    |     90 |           |      |    26.2997       -     38.0170      | 3d8.(3F).4s  | 4F   | 3d8.(3F).4p          | 4F*        |    |
Ga VI     |             105.8661   |    190 |           |      |    40.56261      -     52.27412     | 3d7.(2G).4s  | 1G   | 3d7.(2G).4p          | 3H*        |    |
Ga I      |             105.868    |      a |           |      |     0.000000     -     11.71120     | 3d10.4s2.4p  | 2P*  | 4s.4p.(3P*<1>).10p   | 2[2]       |    |
Ga VI     |             105.8936   |    420 |           |      |    37.37099      -     49.07943     | 3d7.(4F).4s  | 3F   | 3d7.(4F).4p          | 5G*        |    |
          |                        |        |           |      |                                     |              |      |                      |            |    |
Ga I      |             105.954    |     a* |           |      |     0.000000     -     11.70170     | 3d10.4s2.4p  | 2P*  | 4s.4p.(3P*<0>).11p   | 2[1]       |    |
Ga I      |             105.954    |     a* |           |      |     0.000000     -     11.70170     | 3d10.4s2.4p  | 2P*  | 4s.4p.(3P*<1>).10p   | 2[1]       |    |
Ga I      |             105.954    |     a* |           |      |     0.000000     -     11.70170     | 3d10.4s2.4p  | 2P*  | 4s.4p.(3P*<1>).10p   | 2[1]       |    |
Ga I      |             105.954    |     a* |           |      |     0.000000     -     11.70170     | 3d10.4s2.4p  | 2P*  | 4s.4p.(3P*<0>).11p   | 2[1]       |    |
Ga VI     |             105.9848   |    230 |           |      |    44.53071      -     56.22894     | 3d7.(2F).4s  | 1F   | 3d7.(2F).4p          | 1D*        |    |
          |                        |        |           |      |                                     |              |      |                      |            |    |
Ga VI     |             106.0405   |     40 |           |      |    41.97851      -     53.67086     | 3d7.(2D2).4s | 1D   | 3d7.(2P).4p          | 3D*        |    |
Ga VI     |             106.1789   |      3 |           |      |    40.34546      -     52.02237     | 3d7.(2P).4s  | 3P   | 3d7.(4P).4p          | 5D*        |    |
