
------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |          Observed  |   Rel. |    Aki    | Acc. |         Ei           Ek         |  Lower level  |     Upper level      |Type|
          |         Wavelength |   Int. |    s^-1   |      |        (eV)         (eV)        |---------------|----------------------|    |
          |          Vac (nm)  |        |           |      |                                 | Conf.  | Term | Conf.         | Term |    |
Lu V      |           145.036  |    100 |           |      |                                 |        |      |               |      |    |
Lu V      |           145.069  |    100 |           |      |                                 |        |      |               |      |    |
          |                    |        |           |      |                                 |        |      |               |      |    |
Lu IV     |           145.233  |    200 |           |      |                                 |        |      |               |      |    |
Lu V      |           145.264  |    100 |           |      |                                 |        |      |               |      |    |
Lu V      |           145.335  |    200 |           |      |                                 |        |      |               |      |    |
Lu V      |           145.438  |    100 |           |      |                                 |        |      |               |      |    |
Lu V      |           145.521  |    100 |           |      |                                 |        |      |               |      |    |
          |                    |        |           |      |                                 |        |      |               |      |    |
Lu V      |           146.011  |    100 |           |      |                                 |        |      |               |      |    |
Lu IV     |           146.265  |     30 |           |      |                                 |        |      |               |      |    |
Lu V      |           146.781  |    40c |           |      |                                 |        |      |               |      |    |
Lu V      |           146.899  |    200 |           |      |                                 |        |      |               |      |    |
Lu V      |           146.945  |     50 |           |      |                                 |        |      |               |      |    |
          |                    |        |           |      |                                 |        |      |               |      |    |
Lu V      |           147.120  |    100 |           |      |                                 |        |      |               |      |    |
Lu V      |           147.212  |    400 |           |      |                                 |        |      |               |      |    |
Lu V      |           147.371  |    200 |           |      |                                 |        |      |               |      |    |
Lu V      |           147.577  |     40 |           |      |                                 |        |      |               |      |    |
Lu IV     |           148.379  |    100 |           |      |                                 |        |      |               |      |    |
          |                    |        |           |      |                                 |        |      |               |      |    |
Lu V      |           148.558  |    200 |           |      |                                 |        |      |               |      |    |
Lu IV     |           149.324  |    200 |           |      |                                 |        |      |               |      |    |
Lu IV     |           151.126  |    400 |           |      |                                 |        |      |               |      |    |
Lu IV     |           152.106  |    200 |           |      |                                 |        |      |               |      |    |
Lu IV     |           152.221  |    100 |           |      |                                 |        |      |               |      |    |
          |                    |        |           |      |                                 |        |      |               |      |    |
Lu IV     |           153.777  |    100 |           |      |                                 |        |      |               |      |    |
Lu IV     |           154.935  |     30 |           |      |                                 |        |      |               |      |    |
Lu IV     |           155.159  |     20 |           |      |                                 |        |      |               |      |    |
Lu IV     |           156.206  |     20 |           |      |                                 |        |      |               |      |    |
Lu IV     |           159.255  |     30 |           |      |                                 |        |      |               |      |    |
          |                    |        |           |      |                                 |        |      |               |      |    |
Lu IV     |           159.492  |     15 |           |      |                                 |        |      |               |      |    |
Lu IV     |           160.772  |   100c |           |      |                                 |        |      |               |      |    |
Lu IV     |           163.165  |    50c |           |      |                                 |        |      |               |      |    |
Lu IV     |           168.450  |     20 |           |      |                                 |        |      |               |      |    |
Lu IV     |           169.367  |    60c |           |      |                                 |        |      |               |      |    |
          |                    |        |           |      |                                 |        |      |               |      |    |
Lu V      |           170.902  |     50 |           |      |                                 |        |      |               |      |    |
Lu IV     |           172.142  |   400c |           |      |                                 |        |      |               |      |    |
Lu IV     |           172.514  |    100 |           |      |                                 |        |      |               |      |    |
Lu V      |           172.890  |     40 |           |      |                                 |        |      |               |      |    |
Lu IV     |           173.579  |   100c |           |      |                                 |        |      |               |      |    |
          |                    |        |           |      |                                 |        |      |               |      |    |
Lu IV     |           173.678  |    100 |           |      |                                 |        |      |               |      |    |
Lu IV     |           174.174  |    100 |           |      |                                 |        |      |               |      |    |
Lu IV     |           174.384  |    50c |           |      |                                 |        |      |               |      |    |
Lu IV     |           175.260  |    40c |           |      |                                 |        |      |               |      |    |
Lu IV     |           175.961  |    200 |           |      |                                 |        |      |               |      |    |
          |                    |        |           |      |                                 |        |      |               |      |    |
Lu IV     |           177.208  |    300 |           |      |                                 |        |      |               |      |    |
Lu IV     |           177.257  |    600 |           |      |                                 |        |      |               |      |    |
Lu V      |           177.592  |    50c |           |      |                                 |        |      |               |      |    |
Lu V      |           177.768  |    40c |           |      |                                 |        |      |               |      |    |
Lu IV     |           178.245  |    200 |           |      |                                 |        |      |               |      |    |
          |                    |        |           |      |                                 |        |      |               |      |    |
Lu V      |           178.471  |    40c |           |      |                                 |        |      |               |      |    |
Lu V      |           178.625  |   100c |           |      |                                 |        |      |               |      |    |
Lu V      |           178.758  |    60c |           |      |                                 |        |      |               |      |    |
Lu V      |           179.385  |    60c |           |      |                                 |        |      |               |      |    |
Lu IV     |           179.752  |    100 |           |      |                                 |        |      |               |      |    |
          |                    |        |           |      |                                 |        |      |               |      |    |
Lu V      |           180.973  |     60 |           |      |                                 |        |      |               |      |    |
Lu V      |           181.424  |     60 |           |      |                                 |        |      |               |      |    |
