
--------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |             Observed  |   Rel. |    Aki    | Acc. |          Ei           Ek           |  Lower level   |         Upper level         |Type|
          |            Wavelength |   Int. |    s^-1   |      |         (eV)         (eV)          |----------------|-----------------------------|    |
          |             Vac (nm)  |        |           |      |                                    | Conf.   | Term | Conf.                | Term |    |
Pb II     |             151.242   |     10 |           |      |    0.000000     -      8.198396    | 6s2.6p  | 2P*  | 6s.6p2               | 4P   |    |
Pb IV     |             153.571   |     14 |           |      |                                    |         |      |                      |      |    |
Pb III    |             155.31    |     20 |           |      |                                    |         |      |                      |      |    |
Pb III    |             161.01    |      1 |           |      |                                    |         |      |                      |      |    |
Pb V      |             163.575   |      8 |           |      |                                    |         |      |                      |      |    |
          |                       |        |           |      |                                    |         |      |                      |      |    |
Pb II     |             167.153   |     10 |           |      |                                    |         |      |                      |      |    |
Pb II     |             168.215   |     10 |           |      |                                    |         |      |                      |      |    |
Pb III    |             171.123   |      4 |           |      |                                    |         |      |                      |      |    |
Pb II     |             172.675   |     20 |           |      |    0.000000     -      7.179984    | 6s2.6p  | 2P*  | 6s.6p2               | 4P   |    |
Pb I      |             174.000   |      2 |           |      |                                    |         |      |                      |      |    |
          |                       |        |           |      |                                    |         |      |                      |      |    |
Pb I      |             176.664   |      2 |           |      |                                    |         |      |                      |      |    |
Pb I      |             179.467   |      2 |           |      |                                    |         |      |                      |      |    |
Pb II     |             179.6670  |     10 |           |      |                                    |         |      |                      |      |    |
Pb IV     |             179.839   |      8 |           |      |                                    |         |      |                      |      |    |
Pb V      |             180.287   |      2 |           |      |                                    |         |      |                      |      |    |
          |                       |        |           |      |                                    |         |      |                      |      |    |
Pb I      |             181.297   |      5 |           |      |                                    |         |      |                      |      |    |
Pb II     |             182.2050  |     10 | 1.18e+09  |      |    1.7458306    -      8.5504843   | 6s2.6p  | 2P*  | 6s2.6d               | 2D   |    |
Pb V      |             184.300   |      2 |           |      |                                    |         |      |                      |      |    |
Pb I      |             186.876   |      4 |           |      |                                    |         |      |                      |      |    |
Pb V      |             188.867   |      2 |           |      |                                    |         |      |                      |      |    |
          |                       |        |           |      |                                    |         |      |                      |      |    |
Pb IV     |             189.319   |      8 |           |      |                                    |         |      |                      |      |    |
Pb V      |             189.702   |      2 |           |      |                                    |         |      |                      |      |    |
Pb I      |             190.477   |     10 |           |      |                                    |         |      |                      |      |    |
Pb V      |             191.433   |      2 |           |      |                                    |         |      |                      |      |    |
Pb V      |             191.974   |      4 |           |      |                                    |         |      |                      |      |    |
          |                       |        |           |      |                                    |         |      |                      |      |    |
Pb II     |             192.1471  |      7 |           |      |                                    |         |      |                      |      |    |
Pb V      |             195.796   |      5 |           |      |                                    |         |      |                      |      |    |
Pb IV     |             195.934   |     12 |           |      |                                    |         |      |                      |      |    |
Pb I      |             197.244   |      4 |           |      |                                    |         |      |                      |      |    |
Pb IV     |             197.316   |     16 |           |      |                                    |         |      |                      |      |    |
          |                       |        |           |      |                                    |         |      |                      |      |    |
Pb I      |             197.788   |      2 |           |      |                                    |         |      |                      |      |    |
Pb I      |             199.160   |      2 |           |      |                                    |         |      |                      |      |    |
Pb I      |             199.231   |      2 |           |      |                                    |         |      |                      |      |    |
Pb V      |             199.858   |      2 |           |      |                                    |         |      |                      |      |    |
Pb V      |             199.883   |     10 |           |      |                                    |         |      |                      |      |    |
--------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |             Observed  |   Rel. |    Aki    | Acc. |          Ei           Ek           |  Lower level   |         Upper level         |Type|
          |            Wavelength |   Int. |    s^-1   |      |         (eV)         (eV)          |----------------|-----------------------------|    |
          |             Air (nm)  |        |           |      |                                    | Conf.   | Term | Conf.                | Term |    |
--------------------------------------------------------------------------------------------------------------------------------------------------------
          |                       |        |           |      |                                    |         |      |                      |      |    |
Pb I      |             202.202   |     5r | 5.9e+06   |      |    0.000000     -      6.1297309   | 6s2.6p2 | 3P   | 6s2.6p.(2P*<3/2>).7s | 1P*  |    |
Pb IV     |             204.258   |     10 |           |      |                                    |         |      |                      |      |    |
Pb IV     |             204.934   |     12 |           |      |                                    |         |      |                      |      |    |
Pb I      |             205.088   |      5 |           |      |                                    |         |      |                      |      |    |
Pb I      |             205.328   |     8r | 1.02e+07  |      |    0.000000     -      6.0364102   | 6s2.6p2 | 3P   | 6s2.6p.(2P*<1/2>).8s | 3P*  |    |
          |                       |        |           |      |                                    |         |      |                      |      |    |
Pb V      |             207.845   |      8 |           |      |                                    |         |      |                      |      |    |
Pb IV     |             207.922   |     12 |           |      |                                    |         |      |                      |      |    |
Pb I      |             211.1758  |      6 |           |      |                                    |         |      |                      |      |    |
Pb I      |             211.5066  |     10 |           |      |                                    |         |      |                      |      |    |
Pb V      |             214.255   |     10 |           |      |                                    |         |      |                      |      |    |
          |                       |        |           |      |                                    |         |      |                      |      |    |
Pb IV     |             215.196   |      8 |           |      |                                    |         |      |                      |      |    |
Pb IV     |             215.401   |     15 |           |      |                                    |         |      |                      |      |    |
Pb V      |             216.797   |     10 |           |      |                                    |         |      |                      |      |    |
Pb I      |             217.000   |   500r | 1.5e+08   |      |    0.000000     -      5.7117581   | 6s2.6p2 | 3P   | 6s2.6p.(2P*<1/2>).6d | 3D*  |    |
Pb I      |             217.5580  |      7 |           |      |                                    |         |      |                      |      |    |
          |                       |        |           |      |                                    |         |      |                      |      |    |
Pb IV     |             217.746   |     12 |           |      |                                    |         |      |                      |      |    |
Pb I      |             218.7888  |      7 |           |      |                                    |         |      |                      |      |    |
Pb I      |             218.9603  |      8 |           |      |                                    |         |      |                      |      |    |
Pb II     |             220.3534  |     10 | 4.94e+08  |      |    1.7458306    -      7.370682    | 6s2.6p  | 2P*  | 6s2.7s               | 2S   |    |
Pb I      |             223.7425  |     20 |           |      |                                    |         |      |                      |      |    |
          |                       |        |           |      |                                    |         |      |                      |      |    |
Pb I      |             224.686   |     20 |           |      |                                    |         |      |                      |      |    |
Pb I      |             224.689   |     25 |           |      |                                    |         |      |                      |      |    |
Pb V      |             225.901   |     20 |           |      |                                    |         |      |                      |      |    |
Pb V      |             227.666   |     10 |           |      |                                    |         |      |                      |      |    |
Pb V      |             230.149   |      8 |           |      |                                    |         |      |                      |      |    |
