
-----------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |             Observed  |  Rel. |    Aki    | Acc. |           Ei           Ek           |      Lower level       |      Upper level       |Type|
          |            Wavelength |  Int. |    s^-1   |      |          (eV)         (eV)          |------------------------|------------------------|    |
          |             Vac (nm)  |       |           |      |                                     | Conf.           | Term | Conf.           | Term |    |
          |                       |       |           |      |                                     |                 |      |                 |      |    |
P III     |             161.8632  |   150 |           |      |                                     |                 |      |                 |      |    |
P III     |             161.8907  |   200 |           |      |                                     |                 |      |                 |      |    |
P I       |             167.1070  |   140 |           |      |                                     |                 |      |                 |      |    |
P I       |             167.1510  |   100 |           |      |                                     |                 |      |                 |      |    |
P I       |             167.1680  |   180 | 3.9e+07   | D    |     0.00000      -      7.4167804   | 3s2.3p3         | 4S*  | 3s.3p4          | 4P   |    |
          |                       |       |           |      |                                     |                 |      |                 |      |    |
P I       |             167.2035  |   140 |           |      |                                     |                 |      |                 |      |    |
P I       |             167.2474  |   140 |           |      |                                     |                 |      |                 |      |    |
P I       |             167.4591  |   600 | 4.0e+07   | D    |     0.00000      -      7.4038303   | 3s2.3p3         | 4S*  | 3s.3p4          | 4P   |    |
P I       |             167.9695  |   600 | 3.9e+07   | D    |     0.00000      -      7.3813430   | 3s2.3p3         | 4S*  | 3s.3p4          | 4P   |    |
P I       |             168.5976  |   140 |           |      |                                     |                 |      |                 |      |    |
          |                       |       |           |      |                                     |                 |      |                 |      |    |
P I       |             169.4028  |   100 |           |      |                                     |                 |      |                 |      |    |
P I       |             169.4486  |   100 |           |      |                                     |                 |      |                 |      |    |
P I       |             170.6376  |   100 |           |      |                                     |                 |      |                 |      |    |
P I       |             170.7553  |   100 |           |      |                                     |                 |      |                 |      |    |
P I       |             177.4951  |   600 | 2.17e+08  | C    |     0.00000      -      6.9852268   | 3s2.3p3         | 4S*  | 3s2.3p2.(3P).4s | 4P   |    |
          |                       |       |           |      |                                     |                 |      |                 |      |    |
P I       |             178.2838  |   500 | 2.14e+08  | C    |     0.00000      -      6.9543510   | 3s2.3p3         | 4S*  | 3s2.3p2.(3P).4s | 4P   |    |
P I       |             178.7656  |   400 | 2.13e+08  | C    |     0.00000      -      6.9356040   | 3s2.3p3         | 4S*  | 3s2.3p2.(3P).4s | 4P   |    |
P I       |             183.4801  |   140 |           |      |                                     |                 |      |                 |      |    |
P I       |             184.7165  |   140 |           |      |                                     |                 |      |                 |      |    |
P I       |             184.9820  |   100 |           |      |                                     |                 |      |                 |      |    |
          |                       |       |           |      |                                     |                 |      |                 |      |    |
P I       |             185.1194  |   140 |           |      |                                     |                 |      |                 |      |    |
P I       |             185.2069  |   100 |           |      |                                     |                 |      |                 |      |    |
P I       |             185.8886  |   500 | 2.32e+07  | C    |     1.408587     -      8.0784537   | 3s2.3p3         | 2D*  | 3s2.3p2.(1D).4s | 2D   |    |
P I       |             185.9393  |   400 | 2.64e+08  | C    |     1.410522     -      8.0784537   | 3s2.3p3         | 2D*  | 3s2.3p2.(1D).4s | 2D   |    |
P IV      |             186.2762  |   250 |           |      |                                     |                 |      |                 |      |    |
          |                       |       |           |      |                                     |                 |      |                 |      |    |
P IV      |             186.2893  |   120 |           |      |                                     |                 |      |                 |      |    |
P IV      |             186.3580  |   200 |           |      |                                     |                 |      |                 |      |    |
P I       |             186.4348  |   140 |           |      |                                     |                 |      |                 |      |    |
P IV      |             188.8523  |   650 | 1.8e+08   | E    |    13.041949     -     19.607086    | 3s.3p           | 1P*  | 3p2             | 1D   |    |
P I       |             190.5481  |   180 |           |      |                                     |                 |      |                 |      |    |
          |                       |       |           |      |                                     |                 |      |                 |      |    |
P I       |             190.6403  |   140 |           |      |                                     |                 |      |                 |      |    |
P I       |             190.7665  |   280 |           |      |                                     |                 |      |                 |      |    |
P IV      |             191.0183  |   200 |           |      |                                     |                 |      |                 |      |    |
P IV      |             198.5682  |   120 |           |      |                                     |                 |      |                 |      |    |
P IV      |             198.5851  |   150 |           |      |                                     |                 |      |                 |      |    |
          |                       |       |           |      |                                     |                 |      |                 |      |    |
P IV      |             198.6114  |   200 |           |      |                                     |                 |      |                 |      |    |
P IV      |             198.7022  |   150 |           |      |                                     |                 |      |                 |      |    |
-----------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |             Observed  |  Rel. |    Aki    | Acc. |           Ei           Ek           |      Lower level       |      Upper level       |Type|
          |            Wavelength |  Int. |    s^-1   |      |          (eV)         (eV)          |------------------------|------------------------|    |
          |             Air (nm)  |       |           |      |                                     | Conf.           | Term | Conf.           | Term |    |
-----------------------------------------------------------------------------------------------------------------------------------------------------------
          |                       |       |           |      |                                     |                 |      |                 |      |    |
P I       |             202.3489  |   280 |           |      |                                     |                 |      |                 |      |    |
P I       |             202.4516  |   180 |           |      |                                     |                 |      |                 |      |    |
P I       |             203.2432  |   400 |           |      |                                     |                 |      |                 |      |    |
P I       |             203.3477  |   400 |           |      |                                     |                 |      |                 |      |    |
P I       |             213.5465  |   400 | 2.11e+07  | C    |     1.408587     -      7.2127018   | 3s2.3p3         | 2D*  | 3s2.3p2.(3P).4s | 2P   |    |
          |                       |       |           |      |                                     |                 |      |                 |      |    |
P I       |             213.6182  |   400 | 2.83e+08  | C    |     1.410522     -      7.2127018   | 3s2.3p3         | 2D*  | 3s2.3p2.(3P).4s | 2P   |    |
P I       |             214.9145  |   400 | 3.18e+08  | C    |     1.408587     -      7.1757803   | 3s2.3p3         | 2D*  | 3s2.3p2.(3P).4s | 2P   |    |
P I       |             215.2940  |   280 | 4.85e+07  | C    |     2.321320     -      8.0783441   | 3s2.3p3         | 2P*  | 3s2.3p2.(1D).4s | 2D   |    |
P I       |             215.4080  |   500 | 5.8e+07   | C    |     2.324457     -      8.0784537   | 3s2.3p3         | 2P*  | 3s2.3p2.(1D).4s | 2D   |    |
