
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |              Observed  |   Rel. |    Aki    | Acc. |           Ei           Ek           |         Lower level          |          Upper level          |   Type|
          |             Wavelength |   Int. |    s^-1   |      |          (eV)         (eV)          |------------------------------|-------------------------------|       |
          |              Vac (nm)  |        |           |      |                                     | Conf.              | Term    | Conf.              | Term     |       |
Rb IV     |             134.3815   |      4 |           |      |    26.099858     -     35.326126    | 4s2.4p3.(2P).4d    | 3P*     | 4s2.4p3.(2P).5p    | 1P       |       |
Rb IV     |             134.4905   |     20 |           |      |    23.666373     -     32.885189    | 4s2.4p3.(2D).4d    | 3F*     | 4s2.4p3.(2D).5p    | 3F       |       |
          |                        |        |           |      |                                     |                    |         |                    |          |       |
Rb IV     |             134.7630   |      8 |           |      |    26.125989     -     35.326126    | 4s2.4p3.(2P).4d    | 3D*     | 4s2.4p3.(2P).5p    | 1P       |       |
Rb IV     |             135.0099   |     12 |           |      |    25.681874     -     34.865212    | 4s2.4p3.(2P).4d    | 3D*     | 4s2.4p3.(2P).5p    | 3P       |       |
Rb IV     |             135.1307   |     18 |           |      |    23.666373     -     32.841534    | 4s2.4p3.(2D).4d    | 3F*     | 4s2.4p3.(2D).5p    | 3D       |       |
Rb IV     |             135.9200   |    16* |           |      |    23.430763     -     32.552595    | 4s2.4p3.(2D).4d    | 3F*     | 4s2.4p3.(2D).5p    | 3D       |       |
Rb IV     |             135.9200   |    16* |           |      |    30.735962     -     39.857790    | 4s2.4p3.(4S).5p    | 3P      | 4s2.4p3.(2D).5d    | 3D*      |       |
          |                        |        |           |      |                                     |                    |         |                    |          |       |
Rb IV     |             135.9836   |      8 |           |      |    25.681874     -     34.799403    | 4s2.4p3.(2P).4d    | 3D*     | 4s2.4p3.(2P).5p    | 3P       |       |
Rb IV     |             136.0489   |     18 |           |      |    23.430763     -     32.543960    | 4s2.4p3.(2D).4d    | 3F*     | 4s2.4p3.(2D).5p    | 3F       |       |
Rb IV     |             136.3572   |     20 |           |      |    23.247590     -     32.340144    | 4s2.4p3.(2D).4d    | 3F*     | 4s2.4p3.(2D).5p    | 3F       |       |
Rb IV     |             136.5727   |     14 |           |      |    23.666373     -     32.744687    | 4s2.4p3.(2D).4d    | 3F*     | 4s2.4p3.(2D).5p    | 1F       |       |
Rb IV     |             137.2156   |      2 |           |      |    30.735962     -     39.771716    | 4s2.4p3.(4S).5p    | 3P      | 4s2.4p3.(2D).5d    | 3D*      |       |
          |                        |        |           |      |                                     |                    |         |                    |          |       |
Rb IV     |             137.6671   |     16 |           |      |    21.187454     -     30.193574    | 4s2.4p3.(4S).4d    | 5D*     | 4s2.4p3.(4S).5p    | 5P       |       |
