
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |               Observed  |   Rel. |    Aki    | Acc. |             Ei           Ek            |       Lower level       |        Upper level        |Type|
          |              Wavelength |   Int. |    s^-1   |      |            (eV)         (eV)           |-------------------------|---------------------------|    |
          |               Vac (nm)  |        |           |      |                                        | Conf.            | Term | Conf.              | Term |    |
Cl II     |               154.2942  |    500 |           |      |                                        |                  |      |                    |      |    |
Cl IV     |               154.519   |    200 |           |      |    23.1860         -     31.21002      | 3s2.3p(2P*)3d    | 3D*  | 3s2.3p(2P*)4p      | 3P   |    |
Cl IV     |               154.915   |    200 |           |      |    23.2066         -     31.21002      | 3s2.3p(2P*)3d    | 3D*  | 3s2.3p(2P*)4p      | 3P   |    |
Cl II     |               155.8144  |    500 |           |      |                                        |                  |      |                    |      |    |
          |                         |        |           |      |                                        |                  |      |                    |      |    |
Cl II     |               156.5050  |    500 |           |      |                                        |                  |      |                    |      |    |
Cl IV     |               162.286   |    200 |           |      |    23.2279         -     30.86725      | 3s2.3p(2P*)3d    | 3D*  | 3s2.3p(2P*)4p      | 3D   |    |
Cl III    |               182.250   |    600 | 1.7e+08   | E    |    18.286992       -     25.090262     | 3s2.3p2.(3P).3d  | 4F   | 3s2.3p2.(3P).4p    | 4D*  |    |
Cl III    |               182.840   |    500 | 1.5e+08   | E    |    18.234302       -     25.015529     | 3s2.3p2.(3P).3d  | 4F   | 3s2.3p2.(3P).4p    | 4D*  |    |
Cl II     |               185.7488  |    500 |           |      |                                        |                  |      |                    |      |    |
          |                         |        |           |      |                                        |                  |      |                    |      |    |
Cl III    |               190.161   |    500 | 1.3e+08   | E    |    18.839601       -     25.359845     | 3s2.3p2.(3P).3d  | 4D   | 3s2.3p2.(3P).4p    | 4P*  |    |
Cl III    |               198.361   |    500 |           |      |                                        |                  |      |                    |      |    |
Cl II     |               199.7370  |   450w |           |      |                                        |                  |      |                    |      |    |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |               Observed  |   Rel. |    Aki    | Acc. |             Ei           Ek            |       Lower level       |        Upper level        |Type|
          |              Wavelength |   Int. |    s^-1   |      |            (eV)         (eV)           |-------------------------|---------------------------|    |
          |               Air (nm)  |        |           |      |                                        | Conf.            | Term | Conf.              | Term |    |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                         |        |           |      |                                        |                  |      |                    |      |    |
Cl III    |               200.684   |    400 |           |      |                                        |                  |      |                    |      |    |
Cl II     |               203.2116  |    450 |           |      |                                        |                  |      |                    |      |    |
Cl II     |               208.8583  |   350w |           |      |                                        |                  |      |                    |      |    |
Cl II     |               209.1458  |   350w |           |      |                                        |                  |      |                    |      |    |
Cl III    |               225.307   |    700 | 6.1e+07   | D    |    25.015529       -     30.51712?     | 3s2.3p2.(3P).4p  | 4D*  | 3s2.3p2.(3P).5s    | 4P   |    |
          |                         |        |           |      |                                        |                  |      |                    |      |    |
Cl III    |               226.895   |    500 | 1.1e+08   | D    |    24.961852       -     30.42478?     | 3s2.3p2.(3P).4p  | 4D*  | 3s2.3p2.(3P).5s    | 4P   |    |
Cl III    |               227.834   |    500 | 1.8e+08   | D    |    24.929800       -     30.37011?     | 3s2.3p2.(3P).4p  | 4D*  | 3s2.3p2.(3P).5s    | 4P   |    |
Cl III    |               228.393   |    700 | 2.7e+08   | D    |    25.090262       -     30.51712?     | 3s2.3p2.(3P).4p  | 4D*  | 3s2.3p2.(3P).5s    | 4P   |    |
Cl III    |               232.350   |    600 |           |      |                                        |                  |      |                    |      |    |
Cl III    |               233.645   |    500 |           |      |                                        |                  |      |                    |      |    |
          |                         |        |           |      |                                        |                  |      |                    |      |    |
Cl III    |               234.064   |    600 | 4.2e+08   | D    |    25.53416?       -     30.829716     | 3s2.3p2.(3P).4p  | 2D*  | 3s2.3p2.(3P).4d    | 2D   |    |
Cl III    |               235.967   |    600 | 3.0e+08   | D    |    26.84563?       -     32.09837?     | 3s2.3p2.(1D).4p  | 2F*  | 3s2.3p2.(1D).5s    | 2D   |    |
