
----------------------------------------------------------------------------------------------------------------------------------------------------
            Observed  |  Rel. |    Aki    | Acc. |         Ei           Ek          |       Lower level        |         Upper level          |Type|
           Wavelength |  Int. |    s^-1   |      |        (eV)         (eV)         |--------------------------|------------------------------|    |
            Air (nm)  |       |           |      |                                  | Conf.            | Term  | Conf.             | Term     |    |
            256.026   |   130 |           |      |    1.087457    -     5.928656    | 4d7.(a 4P).5s    | a 5P  |                   | 27*      |    |
            256.0845  |   120 |           |      |                                  |                  |       |                   |          |    |
            256.315   |   110 |           |      |    0.997290    -     5.833027    | 4d7.(a 4P).5s    | a 5P  |                   | 16*      |    |
            256.877   |   160 |           |      |    0.927782    -     5.752938    | 4d6.5s2          | a 5D  |                   | 13*      |    |
            257.0973  |   100 |           |      |                                  |                  |       |                   |          |    |
                      |       |           |      |                                  |                  |       |                   |          |    |
            257.857   |   100 |           |      |    1.063217    -     5.870044    | 4d6.5s2          | a 5D  |                   | 20*(5D*) |    |
            257.953   |   100 |           |      |    1.087457    -     5.892484    | 4d7.(a 4P).5s    | a 5P  |                   | 22*      |    |
            258.957   |   100 |           |      |    1.138629    -     5.925046    | 4d7.(a 4F).5s    | a 3F  |                   | 25*      |    |
            259.112   |   170 |           |      |    1.063217    -     5.846757    | 4d6.5s2          | a 5D  |                   | 17*      |    |
            259.202   |   120 |           |      |    1.087457    -     5.869327    | 4d7.(a 4P).5s    | a 5P  | 4d7.(a 4F).6p?    | s 3D*    |    |
                      |       |           |      |                                  |                  |       |                   |          |    |
            259.370   |   100 |           |      |    1.589067    -     6.367854    | 4d7.(a 2G).5s    | a 3G  |                   | 61*      |    |
            259.485   |   110 |           |      |    0.811480    -     5.588141    | 4d7.(a 4F).5s    | a 3F  | 4d6.5s.(a 4D).5p  | w 5D*    |    |
            260.906   |   370 |           |      |    1.002303    -     5.752938    | 4d7.(a 4F).5s    | a 3F  |                   | 13*      |    |
            261.207   |   830 |           |      |    0.927782    -     5.672965    | 4d6.5s2          | a 5D  | 4d7.(a 4F).6p?    | w 3F*    |    |
            261.509   |   100 |           |      |    1.063217    -     5.802907    | 4d6.5s2          | a 5D  | 4d6.5s.(b 4P).5p  | x 5P*    |    |
                      |       |           |      |                                  |                  |       |                   |          |    |
            263.130   |   220 |           |      |    0.927782    -     5.638277    | 4d6.5s2          | a 5D  |                   | 6*       |    |
            263.586   |   220 |           |      |    1.192764    -     5.895117    | 4d7.(a 4P).5s    | a 5P  | 4d7.(a 4F).6p?    | s 3D*    |    |
            263.667   |   170 |           |      |    1.513481    -     6.214387    | 4d7.(a 2G).5s    | a 3G  |                   | v 3G*    |    |
            264.033   |   110 |           |      |    1.138629    -     5.833027    | 4d7.(a 4F).5s    | a 3F  |                   | 16*      |    |
            264.296   |   460 |           |      |    1.063217    -     5.752938    | 4d6.5s2          | a 5D  |                   | 13*      |    |
                      |       |           |      |                                  |                  |       |                   |          |    |
            264.732   |   110 |           |      |    1.138629    -     5.820634    | 4d7.(a 4F).5s    | a 3F  | 4d7.(a 4F).6p?    | w 3F*    |    |
            265.129   |   110 |           |      |    1.002303    -     5.677287    | 4d7.(a 4F).5s    | a 3F  | 4d6.5s.(a 4D).5p  | w 5D*    |    |
            265.184   |   330 |           |      |    0.811480    -     5.485493    | 4d7.(a 4F).5s    | a 3F  | 4d6.5s.(a 4D).5p  | w 5D*    |    |
            265.962   |   400 |           |      |    0.927782    -     5.588141    | 4d6.5s2          | a 5D  | 4d6.5s.(a 4D).5p  | w 5D*    |    |
            266.476   |   200 |           |      |    0.147621    -     4.798977    | 4d7.(a 4F).5s    | a 5F  | 4d7.(a 4P).5p     | y 5P*    |    |
                      |       |           |      |                                  |                  |       |                   |          |    |
            268.629   |   220 |           |      |    1.063217    -     5.677287    | 4d6.5s2          | a 5D  | 4d6.5s.(a 4D).5p  | w 5D*    |    |
            270.134   |   110 |           |      |    1.138629    -     5.727003    | 4d7.(a 4F).5s    | a 3F  | 4d6.5s.(a 4D).5p  | w 5D*    |    |
            270.283   |   110 |           |      |    1.002303    -     5.588141    | 4d7.(a 4F).5s    | a 3F  | 4d6.5s.(a 4D).5p  | w 5D*    |    |
            270.920   |   170 |           |      |    1.063217    -     5.638277    | 4d6.5s2          | a 5D  |                   | 6*       |    |
            271.952   |   690 |           |      |    0.927782    -     5.485493    | 4d6.5s2          | a 5D  | 4d6.5s.(a 4D).5p  | w 5D*    |    |
                      |       |           |      |                                  |                  |       |                   |          |    |
            272.265   |   130 |           |      |    1.124906    -     5.677287    | 4d6.5s2          | a 5D  | 4d6.5s.(a 4D).5p  | w 5D*    |    |
            273.572   |  1800 |           |      |    0.00000     -     4.530707    | 4d7.(a 4F).5s    | a 5F  | 4d7.(a 4P).5p     | x 5D*    |    |
            273.922   |   170 |           |      |    1.063217    -     5.588141    | 4d6.5s2          | a 5D  | 4d6.5s.(a 4D).5p  | w 5D*    |    |
            274.445   |   130 |           |      |    1.087457    -     5.603759    | 4d7.(a 4P).5s    | a 5P  | 4d6.5s.(b 4P).5p  | y 5S*    |    |
            276.342   |   260 |           |      |    0.147621    -     4.632920    | 4d7.(a 4F).5s    | a 5F  | 4d7.(a 4P).5p     | x 5D*    |    |
                      |       |           |      |                                  |                  |       |                   |          |    |
            280.281   |   140 |           |      |    1.063217    -     5.485493    | 4d6.5s2          | a 5D  | 4d6.5s.(a 4D).5p  | w 5D*    |    |
            281.003   |   350 |           |      |    0.259318    -     4.670219    | 4d7.(a 4F).5s    | a 5F  | 4d7.(a 4P).5p     | x 5D*    |    |
            281.055   |  1700 |           |      |    0.147621    -     4.557701    | 4d7.(a 4F).5s    | a 5F  | 4d7.(a 4P).5p     | y 3D*    |    |
            281.836   |   350 |           |      |    0.00000     -     4.397862    | 4d7.(a 4F).5s    | a 5F  | 4d6.5s.(a 6D).5p  | y 5F*    |    |
            282.203   |   110 |           |      |    1.002303    -     5.394449    | 4d7.(a 4F).5s    | a 3F  |                   | u 3D*    |    |
                      |       |           |      |                                  |                  |       |                   |          |    |
            282.787   |   200 |           |      |    0.147621    -     4.530707    | 4d7.(a 4F).5s    | a 5F  | 4d7.(a 4P).5p     | x 5D*    |    |
            282.916   |   400 |           |      |    0.811480    -     5.192563    | 4d7.(a 4F).5s    | a 3F  |                   | v 3D*    |    |
            283.400   |   130 |           |      |    0.259318    -     4.632920    | 4d7.(a 4F).5s    | a 5F  | 4d7.(a 4P).5p     | x 5D*    |    |
            284.054   |   150 |           |      |    0.811480    -     5.175013    | 4d7.(a 4F).5s    | a 3F  | 4d7.(a 2H).5p     | x 3G*    |    |
            285.407   |   640 |           |      |    0.259318    -     4.602157    | 4d7.(a 4F).5s    | a 5F  | 4d7.(a 4P).5p     | z 3P*    |    |
                      |       |           |      |                                  |                  |       |                   |          |    |
            286.002   |   180 |           |      |    0.336399    -     4.670219    | 4d7.(a 4F).5s    | a 5F  | 4d7.(a 4P).5p     | x 5D*    |    |
            286.141   |   420 |           |      |    0.811480    -     5.143194    | 4d7.(a 4F).5s    | a 3F  | 4d7.(a 2D).5p     | w 3D*    |    |
