
--------------------------------------------------------------------------------------------------------------------------------------------
           Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek          |      Lower level       |      Upper level       |Type|
          Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |------------------------|------------------------|    |
           Air (nm)  |       |           |      |                                   | Conf.           | Term | Conf.           | Term |    |
            748.272  |  2200 | 4.7e+06   | D    |    12.730751    -     14.387235   | 2s2.2p4.(3P).3s | 4P   | 2s2.2p4.(3P).3p | 4P*  |    |
            748.916  |  2500 | 1.3e+07   | D    |    13.025318    -     14.680382   | 2s2.2p4.(3P).3s | 2P   | 2s2.2p4.(3P).3p | 2S*  |    |
            751.492  |   900 | 5.8e+06   | D    |    12.750582    -     14.399968   | 2s2.2p4.(3P).3s | 4P   | 2s2.2p4.(3P).3p | 4P*  |    |
            755.224  |  5000 | 1.0e+07   | D    |    12.730751    -     14.371989   | 2s2.2p4.(3P).3s | 4P   | 2s2.2p4.(3P).3p | 4P*  |    |
            757.338  |  5000 | 1.4e+07   | D    |    12.750582    -     14.387235   | 2s2.2p4.(3P).3s | 4P   | 2s2.2p4.(3P).3p | 4P*  |    |
                     |       |           |      |                                   |                 |      |                 |      |    |
            760.717  |  7000 | 6.1e+06   | D    |    12.984995    -     14.614379   | 2s2.2p4.(3P).3s | 2P   | 2s2.2p4.(3P).3p | 2D*  |    |
            775.470  | 18000 | 3.5e+07   | D    |    12.984995    -     14.583383   | 2s2.2p4.(3P).3s | 2P   | 2s2.2p4.(3P).3p | 2D*  |    |
            780.021  | 15000 | 2.9e+07   | D    |    13.025318    -     14.614379   | 2s2.2p4.(3P).3s | 2P   | 2s2.2p4.(3P).3p | 2D*  |    |
            787.918  |   300 |           |      |                                   |                 |      |                 |      |    |
            789.859  |   500 |           |      |                                   |                 |      |                 |      |    |
                     |       |           |      |                                   |                 |      |                 |      |    |
            793.631  |   350 |           |      |                                   |                 |      |                 |      |    |
            795.632  |   300 |           |      |                                   |                 |      |                 |      |    |
            804.093  |  1000 |           |      |                                   |                 |      |                 |      |    |
            807.552  |   900 |           |      |                                   |                 |      |                 |      |    |
            807.752  |   350 |           |      |                                   |                 |      |                 |      |    |
                     |       |           |      |                                   |                 |      |                 |      |    |
            812.656  |   350 |           |      |                                   |                 |      |                 |      |    |
            812.926  |   600 |           |      |                                   |                 |      |                 |      |    |
