
--------------------------------------------------------------------------------------------------------------------------------------------------------
           Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek          |         Lower level         |          Upper level          |Type|
          Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |-----------------------------|-------------------------------|    |
           Air (nm)  |       |           |      |                                   | Conf.                | Term | Conf.                | Term   |    |
--------------------------------------------------------------------------------------------------------------------------------------------------------
                     |       |           |      |                                   |                      |      |                      |        |    |
           228.998   |  1600 | 2.1e+08   | C    |    0.000000     -     5.4125267   | 3d8.(3F).4s2         | 3F   | 3d8.(3F).4s.4p.(1P*) | *      |    |
           230.078   |   630 | 7.5e+07   | C    |    0.0253904    -     5.4125267   | 3d9.(2D).4s          | 3D   | 3d8.(3F).4s.4p.(1P*) | *      |    |
           231.096   |  2000 |           |      |                                   |                      |      |                      |        |    |
           231.234   |  1700 | 5.5e+08   | C    |    0.1651673    -     5.5253601   | 3d8.(3F).4s2         | 3F   | 3d8.(3F).4s.4p.(1P*) | 3G*    |    |
           231.366   |  1400 |           |      |                                   |                      |      |                      |        |    |
                     |       |           |      |                                   |                      |      |                      |        |    |
           231.398   |  1400 | 5.0e+08   | E    |    0.2748172    -     5.6312138   | 3d8.(3F).4s2         | 3F   | 3d8.(3F).4s.4p.(1P*) | 3F*    |    |
           231.716   |  1400 | 3.8e+08   | C    |    0.1651673    -     5.5142093   | 3d8.(3F).4s2         | 3F   | 3d8.(3F).4s.4p.(1P*) | 3D*    |    |
           232.003   |  2600 | 6.9e+08   | C    |    0.000000     -     5.3424266   | 3d8.(3F).4s2         | 3F   | 3d8.(3F).4s.4p.(1P*) | 3G*    |    |
           232.138   |  1900 | 5.6e+08   | E    |    0.2748172    -     5.6141393   | 3d8.(3F).4s2         | 3F   | 3d8.(3F).4s.4p.(1P*) | 3F*    |    |
           232.268   |   240 |           |      |                                   |                      |      |                      |        |    |
                     |       |           |      |                                   |                      |      |                      |        |    |
           232.579   |  1400 | 3.5e+08   | C    |    0.1651673    -     5.4943476   | 3d8.(3F).4s2         | 3F   | 3d8.(3F).4s.4p.(1P*) | 3G*    |    |
           232.996   |   940 | 5.3e+08   | C    |    0.2748172    -     5.5944622   | 3d8.(3F).4s2         | 3F   | 3d8.(3F).4s.4p.(1P*) | 3D*    |    |
           233.749   |   460 |           |      |                                   |                      |      |                      |        |    |
           233.782   |   160 |           |      |                                   |                      |      |                      |        |    |
           234.554   |  1200 | 2.2e+08   | C    |    0.000000     -     5.2843295   | 3d8.(3F).4s2         | 3F   | 3d8.(1D).4s.4p.(3P*) | 3D*    |    |
                     |       |           |      |                                   |                      |      |                      |        |    |
           234.663   |   190 | 5.5e+07   | D    |    0.1651673    -     5.4470481   | 3d8.(3F).4s2         | 3F   | 3d8.(1D).4s.4p.(3P*) | 3P*    |    |
           234.752   |   400 | 2.2e+07   | D    |    0.000000     -     5.2798931   | 3d8.(3F).4s2         | 3F   | 3d8.(1D).4s.4p.(3P*) | 3F*    |    |
           236.063   |   160 |           |      |                                   |                      |      |                      |        |    |
           236.206   |   200 |           |      |                                   |                      |      |                      |        |    |
           238.658   |   240 |           |      |                                   |                      |      |                      |        |    |
