
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                 Observed  |  Rel. |    Aki    | Acc. |              Ei           Ek              |           Lower level           |           Upper level            |Type|
          |                Wavelength |  Int. |    s^-1   |      |             (eV)         (eV)             |---------------------------------|----------------------------------|    |
          |                 Vac (nm)  |       |           |      |                                           | Conf.                 | Term    | Conf.                 | Term     |    |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                           |       |           |      |                                           |                       |         |                       |          |    |
Mg IV     |                100.009    |     1 |           |      |      83.26399       -       95.66138      | 2s2.2p4.(3P).3d       | 4D      | 2s2.2p4.(3P<2>).4f    | 2[1]*    |    |
Mg IV     |                100.1020   |     3 |           |      |      83.19696       -       95.58282      | 2s2.2p4.(3P).3d       | 4D      | 2s2.2p4.(3P<2>).4f    | 2[3]*    |    |
Mg IV     |                100.1177   |     4 |           |      |      83.19696       -       95.58077      | 2s2.2p4.(3P).3d       | 4D      | 2s2.2p4.(3P<2>).4f    | 2[3]*    |    |
Mg IV     |                100.1688   |     5 |           |      |      83.19696       -       95.57449      | 2s2.2p4.(3P).3d       | 4D      | 2s2.2p4.(3P<2>).4f    | 2[4]*    |    |
Mg IV     |                100.1952   |     4 |           |      |      83.23358       -       95.60783      | 2s2.2p4.(3P).3d       | 4D      | 2s2.2p4.(3P<2>).4f    | 2[2]*    |    |
          |                           |       |           |      |                                           |                       |         |                       |          |    |
Mg IV     |                100.4152   |     4 |           |      |      83.23358       -       95.58077      | 2s2.2p4.(3P).3d       | 4D      | 2s2.2p4.(3P<2>).4f    | 2[3]*    |    |
Mg IV     |                100.4422   |     4 |           |      |      83.26399       -       95.60783      | 2s2.2p4.(3P).3d       | 4D      | 2s2.2p4.(3P<2>).4f    | 2[2]*    |    |
Mg IV     |                100.8763   |     4 | 2.75e+08  | C+   |      75.94052       -       88.23121      | 2s2.2p4.(3P).3p       | 2P*     | 2s2.2p4.(1D).3d       | 2P       |    |
Mg IV     |                102.3189   |    6* |           |      |      87.91324       -      100.03087      | 2s2.2p4.(1D).3d       | 2G      | 2s2.2p4.(1D<2>).4f    | 2[5]*    |    |
Mg IV     |                102.3189   |    6* |           |      |      87.91362       -      100.03087      | 2s2.2p4.(1D).3d       | 2G      | 2s2.2p4.(1D<2>).4f    | 2[5]*    |    |
          |                           |       |           |      |                                           |                       |         |                       |          |    |
Mg II     |                102.5962   |   14g | 3.43e+06  | B    |       0.0           -       12.084605     | 2p6.3s                | 2S      | 2p6.5p                | 2P*      |    |
Mg II     |                102.6108   |   12g | 3.63e+06  | B    |       0.0           -       12.082894     | 2p6.3s                | 2S      | 2p6.5p                | 2P*      |    |
Mg IV     |                102.6406   |     5 | 2.10e+08  | C    |      68.64584       -       80.72535      | 2s2.2p4.(3P).3s       | 2P      | 2s2.2p4.(1D).3p       | 2P*      |    |
Mg IV     |                102.930    |   2bl |           |      |      83.82265       -       95.86814      | 2s2.2p4.(3P).3d       | 4F      | 2s2.2p4.(3P<1>).4f    | 2[3]*    |    |
