
------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |           Observed  |   Rel. |    Aki    | Acc. |         Ei           Ek         |   Lower level    |   Upper level    |Type|
          |          Wavelength |   Int. |    s^-1   |      |        (eV)         (eV)        |------------------|------------------|    |
          |           Vac (nm)  |        |           |      |                                 | Conf.     | Term | Conf.     | Term |    |
Br IV     |           134.4705  |    300 |           |      |    17.61463    -     26.83447   | 4s.4p3    | 3P   | 4s2.4p.5p | 3D   |    |
Br IV     |           135.1677  |    200 |           |      |    17.61463    -     26.78647   | 4s.4p3    | 3P   | 4s2.4p.5p | 3D   |    |
Br IV     |           135.7912  |    120 |           |      |    17.65654    -     26.78647   | 4s.4p3    | 3P   | 4s2.4p.5p | 3D   |    |
Br IV     |           137.9231  |     20 |           |      |    17.84552    -     26.83447   | 4s.4p3    | 1D   | 4s2.4p.5p | 3D   |    |
Br I      |           138.460   |  12000 |           |      |                                 |           |      |           |      |    |
          |                     |        |           |      |                                 |           |      |           |      |    |
Br III    |           140.29    |    250 |           |      |                                 |           |      |           |      |    |
Br V      |           142.975   |    150 |           |      |                                 |           |      |           |      |    |
Br V      |           144.260   |    400 |           |      |                                 |           |      |           |      |    |
Br I      |           144.990   |   3000 |           |      |                                 |           |      |           |      |    |
Br V      |           147.035   |    150 |           |      |                                 |           |      |           |      |    |
          |                     |        |           |      |                                 |           |      |           |      |    |
Br IV     |           147.3561  |    150 |           |      |     2.00735    -     10.42133   | 4s2.4p2   | 1D   | 4s.4p3    | 5S   |    |
Br I      |           148.845   |  50000 | 1.2e+08   |      |                                 |           |      |           |      |    |
Br IV     |           150.8025  |    120 |           |      |    19.77705    -     27.99923   | 4s2.4p.4d | 3F   | 4s2.4p.5p | 1D   |    |
Br I      |           153.174   |  30000 |           |      |                                 |           |      |           |      |    |
Br I      |           154.065   |  25000 | 1.4e+08   |      |                                 |           |      |           |      |    |
          |                     |        |           |      |                                 |           |      |           |      |    |
Br I      |           157.484   |  30000 | 2.0e+07   |      |                                 |           |      |           |      |    |
Br I      |           157.639   |  20000 | 2.1e+06   |      |                                 |           |      |           |      |    |
Br I      |           158.231   |  25000 |           |      |                                 |           |      |           |      |    |
Br IV     |           159.3830  |    700 |           |      |    20.21978    -     27.99923   | 4s2.4p.4d | 3F   | 4s2.4p.5p | 1D   |    |
Br IV     |           161.5890  |    700 |           |      |    19.77705    -     27.45008   | 4s2.4p.4d | 3F   | 4s2.4p.5p | 3P   |    |
          |                     |        |           |      |                                 |           |      |           |      |    |
Br I      |           163.340   |  75000 | 8.1e+06   |      |                                 |           |      |           |      |    |
Br IV     |           164.3988  |    900 |           |      |    19.77705    -     27.31893   | 4s2.4p.4d | 3F   | 4s2.4p.5p | 3D   |    |
Br IV     |           170.3506  |   1000 |           |      |    20.04051    -     27.31893   | 4s2.4p.4d | 3F   | 4s2.4p.5p | 3D   |    |
Br IV     |           174.6459  |    600 |           |      |    20.21978    -     27.31893   | 4s2.4p.4d | 3F   | 4s2.4p.5p | 3D   |    |
Br IV     |           177.2420  |     30 |           |      |    21.00336    -     27.99923   | 4s2.4p.4d | 3D   | 4s2.4p.5p | 1D   |    |
          |                     |        |           |      |                                 |           |      |           |      |    |
Br IV     |           180.0257  |    800 |           |      |    20.74957    -     27.63660   | 4s2.4p.4d | 3D   | 4s2.4p.5p | 3S   |    |
Br IV     |           186.6495  |    100 |           |      |    21.35688    -     27.99923   | 4s2.4p.4d | 3D   | 4s2.4p.5p | 1D   |    |
Br IV     |           192.3198  |    700 |           |      |    21.00336    -     27.45008   | 4s2.4p.4d | 3D   | 4s2.4p.5p | 3P   |    |
Br IV     |           194.2712  |    150 |           |      |    20.74957    -     27.13196   | 4s2.4p.4d | 3D   | 4s2.4p.5p | 3P   |    |
------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |           Observed  |   Rel. |    Aki    | Acc. |         Ei           Ek         |   Lower level    |   Upper level    |Type|
          |          Wavelength |   Int. |    s^-1   |      |        (eV)         (eV)        |------------------|------------------|    |
          |           Air (nm)  |        |           |      |                                 | Conf.     | Term | Conf.     | Term |    |
------------------------------------------------------------------------------------------------------------------------------------------
          |                     |        |           |      |                                 |           |      |           |      |    |
Br IV     |           200.8221  |     10 |           |      |    21.82802    -     27.99923   | 4s2.4p.4d | 3P   | 4s2.4p.5p | 1D   |    |
Br IV     |           202.2069  |     10 |           |      |    21.00336    -     27.13196   | 4s2.4p.4d | 3D   | 4s2.4p.5p | 3P   |    |
Br IV     |           202.3885  |    800 |           |      |    26.78647    -     32.91012   | 4s2.4p.5p | 3D   | 4s2.4p.6s | 1P   |    |
Br IV     |           202.8526  |    600 |           |      |    26.79988    -     32.91012   | 4s2.4p.5p | 3P   | 4s2.4p.6s | 1P   |    |
Br IV     |           203.4291  |    800 |           |      |    21.35688    -     27.45008   | 4s2.4p.4d | 3D   | 4s2.4p.5p | 3P   |    |
          |                     |        |           |      |                                 |           |      |           |      |    |
Br IV     |           203.6842  |    200 |           |      |    20.74957    -     26.83447   | 4s2.4p.4d | 3D   | 4s2.4p.5p | 3D   |    |
Br IV     |           203.9836  |     10 |           |      |    26.83447    -     32.91012   | 4s2.4p.5p | 3D   | 4s2.4p.6s | 1P   |    |
Br IV     |           204.8796  |    800 |           |      |    20.74957    -     26.79988   | 4s2.4p.4d | 3D   | 4s2.4p.5p | 3P   |    |
Br IV     |           206.6450  |    600 |           |      |    26.78647    -     32.78365   | 4s2.4p.5p | 3D   | 4s2.4p.6s | 3P   |    |
Br IV     |           207.8998  |    500 |           |      |    21.35688    -     27.31893   | 4s2.4p.4d | 3D   | 4s2.4p.5p | 3D   |    |
          |                     |        |           |      |                                 |           |      |           |      |    |
Br IV     |           208.3232  |    500 |           |      |    26.83447    -     32.78365   | 4s2.4p.5p | 3D   | 4s2.4p.6s | 3P   |    |
Br IV     |           209.1945  |   1000 |           |      |    22.07431    -     27.99923   | 4s2.4p.4d | 1F   | 4s2.4p.5p | 1D   |    |
Br IV     |           212.5793  |    300 |           |      |    21.00336    -     26.83447   | 4s2.4p.4d | 3D   | 4s2.4p.5p | 3D   |    |
Br IV     |           213.3789  |   1000 |           |      |    21.82802    -     27.63660   | 4s2.4p.4d | 3P   | 4s2.4p.5p | 3S   |    |
Br IV     |           214.3007  |    900 |           |      |    21.00336    -     26.78647   | 4s2.4p.4d | 3D   | 4s2.4p.5p | 3D   |    |
          |                     |        |           |      |                                 |           |      |           |      |    |
Br IV     |           214.5014  |   1000 |           |      |    27.13196    -     32.91012   | 4s2.4p.5p | 3P   | 4s2.4p.6s | 1P   |    |
Br IV     |           217.8717  |    800 |           |      |    22.31092    -     27.99923   | 4s2.4p.4d | 3P   | 4s2.4p.5p | 1D   |    |
Br IV     |           219.3170  |    700 |           |      |    27.13196    -     32.78365   | 4s2.4p.5p | 3P   | 4s2.4p.6s | 3P   |    |
Br IV     |           220.4477  |    900 |           |      |    21.82802    -     27.45008   | 4s2.4p.4d | 3P   | 4s2.4p.5p | 3P   |    |
Br IV     |           224.1517  |    700 |           |      |    22.10725    -     27.63660   | 4s2.4p.4d | 3P   | 4s2.4p.5p | 3S   |    |
          |                     |        |           |      |                                 |           |      |           |      |    |
Br IV     |           224.3385  |    400 |           |      |    22.47452    -     27.99923   | 4s2.4p.4d | 1P   | 4s2.4p.5p | 1D   |    |
Br IV     |           225.7212  |   1000 |           |      |    21.82802    -     27.31893   | 4s2.4p.4d | 3P   | 4s2.4p.5p | 3D   |    |
Br IV     |           226.2982  |    800 |           |      |    21.35688    -     26.83447   | 4s2.4p.4d | 3D   | 4s2.4p.5p | 3D   |    |
Br IV     |           226.8107  |    500 |           |      |    27.31893    -     32.78365   | 4s2.4p.5p | 3D   | 4s2.4p.6s | 3P   |    |
Br IV     |           226.9996  |    800 |           |      |    27.45008    -     32.91012   | 4s2.4p.5p | 3P   | 4s2.4p.6s | 1P   |    |
          |                     |        |           |      |                                 |           |      |           |      |    |
Br IV     |           227.2725  |   1000 |           |      |    22.54529    -     27.99923   | 4s2.4p.5s | 3P   | 4s2.4p.5p | 1D   |    |
Br II     |           228.517   |    350 |           |      |                                 |           |      |           |      |    |
Br II     |           228.760   |    350 |           |      |                                 |           |      |           |      |    |
Br III    |           229.344   |   400w |           |      |                                 |           |      |           |      |    |
Br IV     |           230.7398  |   1000 |           |      |    22.62752    -     27.99923   | 4s2.4p.4d | 1D   | 4s2.4p.5p | 1D   |    |
          |                     |        |           |      |                                 |           |      |           |      |    |
Br III    |           231.329   |    300 |           |      |                                 |           |      |           |      |    |
Br II     |           231.730   |   500w |           |      |                                 |           |      |           |      |    |
Br IV     |           232.3944  |    350 |           |      |    27.45008    -     32.78365   | 4s2.4p.5p | 3P   | 4s2.4p.6s | 3P   |    |
Br IV     |           232.7203  |    700 |           |      |    22.31092    -     27.63660   | 4s2.4p.4d | 3P   | 4s2.4p.5p | 3S   |    |
Br IV     |           232.9764  |    800 |           |      |    22.31636    -     27.63660   | 4s2.4p.5s | 3P   | 4s2.4p.5p | 3S   |    |
          |                     |        |           |      |                                 |           |      |           |      |    |
Br IV     |           233.6921  |    900 |           |      |    21.82802    -     27.13196   | 4s2.4p.4d | 3P   | 4s2.4p.5p | 3P   |    |
Br II     |           233.693   |    400 |           |      |                                 |           |      |           |      |    |
Br IV     |           235.0226  |    750 |           |      |    27.63660    -     32.91012   | 4s2.4p.5p | 3S   | 4s2.4p.6s | 1P   |    |
Br IV     |           236.3192  |     25 |           |      |    22.07431    -     27.31893   | 4s2.4p.4d | 1F   | 4s2.4p.5p | 3D   |    |
Br II     |           238.645   |    350 |           |      |                                 |           |      |           |      |    |
          |                     |        |           |      |                                 |           |      |           |      |    |
Br II     |           238.670   |    500 |           |      |                                 |           |      |           |      |    |
Br II     |           238.869   |    300 |           |      |                                 |           |      |           |      |    |
Br II     |           238.896   |    450 |           |      |                                 |           |      |           |      |    |
Br II     |           238.969   |    500 |           |      |                                 |           |      |           |      |    |
Br II     |           239.221   |    350 |           |      |                                 |           |      |           |      |    |
          |                     |        |           |      |                                 |           |      |           |      |    |
Br II     |           239.242   |    400 |           |      |                                 |           |      |           |      |    |
Br IV     |           240.8161  |   1000 |           |      |    27.63660    -     32.78365   | 4s2.4p.5p | 3S   | 4s2.4p.6s | 3P   |    |
Br IV     |           241.1579  |   1000 |           |      |    22.31092    -     27.45008   | 4s2.4p.4d | 3P   | 4s2.4p.5p | 3P   |    |
Br III    |           246.239   |    300 |           |      |                                 |           |      |           |      |    |
Br III    |           248.260   |    300 |           |      |                                 |           |      |           |      |    |
          |                     |        |           |      |                                 |           |      |           |      |    |
Br II     |           248.850   |    300 |           |      |                                 |           |      |           |      |    |
Br II     |           249.522   |   300w |           |      |                                 |           |      |           |      |    |
Br III    |           249.925   |    350 |           |      |                                 |           |      |           |      |    |
Br II     |           252.170   |    450 |           |      |                                 |           |      |           |      |    |
Br III    |           252.949   |    350 |           |      |                                 |           |      |           |      |    |
          |                     |        |           |      |                                 |           |      |           |      |    |
