
----------------------------------------------------------------------------------------
Spectrum  |          Observed  |    Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
          |         Wavelength |    Int. |    s^-1   |      |  (eV)         (eV)  |    |
          |          Air (nm)  |         |           |      |                     |    |
----------------------------------------------------------------------------------------
Re I      |           250.172  |     370 |           |      |                     |    |
Re II     |           250.235  |     570 |           |      |                     |    |
Re II     |           250.460  |     230 |           |      |                     |    |
Re I      |           250.594  |     270 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           250.899  |   1800c |           |      |                     |    |
Re I      |           252.001  |     570 |           |      |                     |    |
Re I      |           252.150  |     540 |           |      |                     |    |
Re II     |           253.410  |     150 |           |      |                     |    |
Re I      |           253.480  |     370 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           254.051  |     570 |           |      |                     |    |
Re I      |           254.474  |   740bl |           |      |                     |    |
Re I      |           254.548  |     370 |           |      |                     |    |
Re II     |           255.009  |     160 |           |      |                     |    |
Re I      |           255.202  |     300 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re II     |           255.359  |    150c |           |      |                     |    |
Re II     |           255.463  |     370 |           |      |                     |    |
Re I      |           255.651  |    1000 |           |      |                     |    |
Re I      |           255.908  |     250 |           |      |                     |    |
Re I      |           256.419  |     340 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re II     |           256.864  |     540 |           |      |                     |    |
Re II     |           257.181  |     370 |           |      |                     |    |
Re I      |           258.679  |     380 |           |      |                     |    |
Re I      |           259.986  |     290 |           |      |                     |    |
Re I      |           260.389  |     290 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re II     |           260.850  |     660 |           |      |                     |    |
Re I      |           261.154  |   610bl |           |      |                     |    |
Re II     |           261.672  |    160c |           |      |                     |    |
Re I      |           262.276  |     200 |           |      |                     |    |
Re II     |           263.583  |     310 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           263.664  |     550 |           |      |                     |    |
Re II     |           263.701  |     190 |           |      |                     |    |
Re II     |           264.102  |      90 |           |      |                     |    |
Re I      |           264.275  |     270 |           |      |                     |    |
Re II     |           264.846  |      65 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           264.905  |     270 |           |      |                     |    |
Re I      |           265.190  |     660 |           |      |                     |    |
Re I      |           265.412  |     400 |           |      |                     |    |
Re I      |           266.363  |     220 |           |      |                     |    |
Re I      |           267.434  |     940 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           268.853  |     220 |           |      |                     |    |
Re I      |           271.547  |    1300 |           |      |                     |    |
Re II     |           273.156  |     200 |           |      |                     |    |
Re I      |           273.221  |     220 |           |      |                     |    |
Re II     |           273.304  |     610 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re II     |           275.364  |    110w |           |      |                     |    |
Re I      |           275.800  |     220 |           |      |                     |    |
Re I      |           276.379  |     210 |           |      |                     |    |
Re I      |           276.639  |     200 |           |      |                     |    |
Re I      |           276.774  |     310 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           276.885  |     220 |           |      |                     |    |
Re I      |           276.932  |     220 |           |      |                     |    |
Re I      |           277.042  |     350 |           |      |                     |    |
Re I      |           278.357  |     550 |           |      |                     |    |
Re I      |           279.129  |     220 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re II     |           280.328  |     120 |           |      |                     |    |
Re I      |           281.468  |     220 |           |      |                     |    |
Re II     |           281.978  |      75 |           |      |                     |    |
Re I      |           281.995  |     880 |           |      |                     |    |
Re I      |           283.408  |     310 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           283.755  |     200 |           |      |                     |    |
Re I      |           284.035  |     200 |           |      |                     |    |
Re I      |           284.300  |     220 |           |      |                     |    |
Re I      |           285.098  |     270 |           |      |                     |    |
Re I      |           286.719  |     240 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           287.528  |     200 |           |      |                     |    |
Re I      |           288.344  |     200 |           |      |                     |    |
Re I      |           288.768  |    2900 |           |      |                     |    |
Re II     |           288.806  |    130c |           |      |                     |    |
Re I      |           289.601  |     490 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           290.248  |    830c |           |      |                     |    |
Re I      |           290.558  |     210 |           |      |                     |    |
Re I      |           290.982  |     550 |           |      |                     |    |
Re II     |           291.673  |     65w |           |      |                     |    |
Re I      |           292.742  |    830c |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           293.061  |     270 |           |      |                     |    |
Re I      |           294.314  |     440 |           |      |                     |    |
Re II     |           295.791  |    130w |           |      |                     |    |
Re I      |           296.227  |     270 |           |      |                     |    |
Re I      |           296.511  |     720 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           296.576  |    1500 |           |      |                     |    |
Re II     |           296.898  |      90 |           |      |                     |    |
Re I      |           297.629  |     310 |           |      |                     |    |
Re I      |           297.815  |     210 |           |      |                     |    |
Re I      |           298.082  |     220 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           298.219  |     220 |           |      |                     |    |
Re I      |           298.847  |     220 |           |      |                     |    |
Re I      |           299.236  |    1800 |           |      |                     |    |
Re I      |           299.960  |    5500 |           |      |                     |    |
Re I      |           300.114  |     350 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           300.414  |     220 |           |      |                     |    |
Re I      |           300.642  |     200 |           |      |                     |    |
Re I      |           301.602  |     500 |           |      |                     |    |
Re I      |           301.649  |     300 |           |      |                     |    |
Re I      |           303.045  |     380 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           304.725  |     240 |           |      |                     |    |
