
----------------------------------------------------------------------------------------
Spectrum  |            Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
          |           Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          |            Vac (nm)  |       |           |      |                     |    |
----------------------------------------------------------------------------------------
          |                      |       |           |      |                     |    |
Y II      |           303.659    |    30 |           |      |                     |    |
Y I       |           304.483    |    24 |           |      |                     |    |
Y I       |           304.53628  |   100 | 1.07e+07  |      |                     |    |
Y I       |           304.711    |    12 |           |      |                     |    |
          |                      |       |           |      |                     |    |
Y I       |           305.395    |       | 1.9e+05   |      |                     |    |
Y II      |           305.522    |    60 |           |      |                     |    |
Y II      |           308.685    |    60 |           |      |                     |    |
Y I       |           309.17211  |    50 |           |      |                     |    |
Y II      |           309.376    |    22 |           |      |                     |    |
          |                      |       |           |      |                     |    |
Y II      |           309.588    |    95 |           |      |                     |    |
Y I       |           311.1797   |    11 |           |      |                     |    |
Y II      |           311.204    |    55 | 1.3e+06   |      |                     |    |
Y I       |           311.4283   |     5 |           |      |                     |    |
Y II      |           312.877    |    60 |           |      |                     |    |
          |                      |       |           |      |                     |    |
Y II      |           312.993    |    80 |           |      |                     |    |
Y II      |           313.517    |    95 |           |      |                     |    |
Y I       |           315.56472  |    30 | 2.7e+05   |      |                     |    |
Y I       |           317.28352  |     7 | 9.9e+05   |      |                     |    |
Y II      |           317.306    |   110 |           |      |                     |    |
          |                      |       |           |      |                     |    |
Y II      |           317.941    |   220 | 3.8e+06   |      |                     |    |
Y I       |           318.5944   |     2 | 1.2e+05   |      |                     |    |
Y I       |           319.13000  |    50 |           |      |                     |    |
Y II      |           319.562    |  2300 | 8.23e+07  |      |                     |    |
Y II      |           320.027    |  2200 | 4.8e+07   |      |                     |    |
          |                      |       |           |      |                     |    |
Y II      |           320.332    |  2200 | 2.77e+08  |      |                     |    |
Y I       |           320.9377   |     3 | 3.0e+05   |      |                     |    |
Y II      |           321.669    |  3900 | 2.0e+08   |      |                     |    |
Y I       |           322.708    |     2 | 1.10e+05  |      |                     |    |
Y II      |           324.228    |  6200 | 2.0e+08   |      |                     |    |
          |                      |       |           |      |                     |    |
Y III     |           326.710    |     3 |           |      |                     |    |
Y III     |           327.680    |   25l |           |      |                     |    |
Y II      |           328.091    |   310 |           |      |                     |    |
Y II      |           330.847    |    19 |           |      |                     |    |
Y II      |           332.789    |  4700 |           |      |                     |    |
          |                      |       |           |      |                     |    |
Y I       |           334.0378   |     7 |           |      |                     |    |
Y II      |           336.200    |   160 |           |      |                     |    |
Y I       |           338.85823  |    30 |           |      |                     |    |
Y I       |           339.7032   |     2 |           |      |                     |    |
Y I       |           341.24636  |    30 |           |      |                     |    |
          |                      |       |           |      |                     |    |
Y II      |           344.882    |   200 | 4.1e+06   |      |                     |    |
Y I       |           345.09404  |    80 |           |      |                     |    |
Y II      |           346.788    |   110 | 2.7e+06   |      |                     |    |
Y I       |           348.40475  |  1300 | 1.2e+06   |      |                     |    |
Y I       |           348.57223  |  1000 |           |      |                     |    |
          |                      |       |           |      |                     |    |
Y II      |           349.609    |  1700 | 3.49e+07  |      |                     |    |
Y I       |           352.15330  |   100 |           |      |                     |    |
Y II      |           354.601    |    45 |           |      |                     |    |
Y II      |           354.901    |  3900 | 3.97e+07  |      |                     |    |
Y I       |           354.96586  |     6 | 1.0e+05   |      |                     |    |
          |                      |       |           |      |                     |    |
Y I       |           355.1789   |    50 |           |      |                     |    |
Y I       |           355.26905  |   500 | 2.3e+07   |      |                     |    |
Y I       |           355.87414  |  1200 |           |      |                     |    |
Y I       |           357.14306  |   150 |           |      |                     |    |
Y I       |           357.60526  |   250 |           |      |                     |    |
          |                      |       |           |      |                     |    |
Y II      |           358.452    |  3300 | 4.02e+07  |      |                     |    |
Y I       |           358.7743   |    45 |           |      |                     |    |
Y I       |           358.96830  |   125 |           |      |                     |    |
Y I       |           359.2915   |  6000 |           |      |                     |    |
Y II      |           360.073    | 10000 | 1.4e+08   |      |                     |    |
          |                      |       |           |      |                     |    |
Y II      |           360.192    |  6200 | 1.13e+08  |      |                     |    |
Y II      |           361.105    |  7800 | 1.04e+08  |      |                     |    |
Y I       |           362.0940   |  7700 |           |      |                     |    |
Y II      |           362.871    |  1900 | 3.3e+07   |      |                     |    |
Y II      |           363.312    |  7800 |           |      |                     |    |
          |                      |       |           |      |                     |    |
Y II      |           366.461    |  3000 | 3.7e+07   |      |                     |    |
Y II      |           366.849    |    45 |           |      |                     |    |
Y I       |           369.2523   |   450 |           |      |                     |    |
Y II      |           371.030    | 13000 | 1.5e+08   |      |                     |    |
Y I       |           371.80915  |   300 |           |      |                     |    |
          |                      |       |           |      |                     |    |
Y I       |           373.86107  |   400 |           |      |                     |    |
Y II      |           374.755    |  1200 | 1.9e+07   |      |                     |    |
Y I       |           374.9891   |   200 |           |      |                     |    |
Y II      |           377.433    | 10000 | 1.1e+08   |      |                     |    |
Y II      |           377.656    |  1400 | 2.42e+07  |      |                     |    |
          |                      |       |           |      |                     |    |
Y II      |           378.230    |    50 |           |      |                     |    |
Y II      |           378.870    |  7400 | 8.1e+07   |      |                     |    |
Y II      |           381.835    |  1300 | 9.70e+06  |      |                     |    |
Y II      |           383.288    |  4000 | 3.0e+07   |      |                     |    |
Y II      |           384.787    |    70 |           |      |                     |    |
          |                      |       |           |      |                     |    |
Y III     |           386.696    |   500 |           |      |                     |    |
Y I       |           387.67825  |   100 |           |      |                     |    |
Y II      |           387.828    |   480 | 2.9e+06   |      |                     |    |
Y I       |           388.77648  |    70 |           |      |                     |    |
Y III     |           390.074    |  3000 |           |      |                     |    |
          |                      |       |           |      |                     |    |
Y I       |           390.45961  |   150 |           |      |                     |    |
Y III     |           391.458    |  4000 |           |      |                     |    |
Y I       |           391.8248   |   100 |           |      |                     |    |
Y I       |           393.0098   |   300 |           |      |                     |    |
Y II      |           393.066    |   240 | 2.1e+06   |      |                     |    |
          |                      |       |           |      |                     |    |
Y II      |           395.036    |  4400 | 2.80e+07  |      |                     |    |
Y II      |           395.160    |   150 | 1.5e+06   |      |                     |    |
Y I       |           395.50850  |   175 |           |      |                     |    |
Y II      |           398.260    |  3600 | 2.7e+07   |      |                     |    |
Y I       |           398.74804  |   125 |           |      |                     |    |
          |                      |       |           |      |                     |    |
Y III     |           403.960    |  3800 |           |      |                     |    |
Y I       |           403.9826   |   500 |           |      |                     |    |
Y III     |           404.011    |  3000 |           |      |                     |    |
Y I       |           404.76284  |    20 |           |      |                     |    |
Y I       |           407.7359   | 13800 | 1.1e+08   |      |                     |    |
          |                      |       |           |      |                     |    |
Y I       |           408.11852  |   500 |           |      |                     |    |
Y I       |           408.3705   | 15000 | 2.5e+07   |      |                     |    |
Y I       |           410.2364   |  1800 | 1.3e+08   |      |                     |    |
Y I       |           410.63842  |   950 |           |      |                     |    |
Y I       |           411.0805   |   350 |           |      |                     |    |
          |                      |       |           |      |                     |    |
Y III     |           412.161    |  120w |           |      |                     |    |
Y II      |           412.492    |   320 | 1.8e+06   |      |                     |    |
Y I       |           412.8304   |   890 | 1.6e+08   |      |                     |    |
Y I       |           414.2841   |   750 | 1.6e+08   |      |                     |    |
Y I       |           415.7624   |   200 |           |      |                     |    |
          |                      |       |           |      |                     |    |
Y I       |           416.75131  |   200 | 2.38e+07  |      |                     |    |
Y I       |           417.41332  |   400 |           |      |                     |    |
Y II      |           417.754    |  8000 | 5.27e+07  |      |                     |    |
Y II      |           419.928    |   120 | 5.36e+05  |      |                     |    |
Y II      |           420.470    |   380 | 2.20e+06  |      |                     |    |
          |                      |       |           |      |                     |    |
Y I       |           421.30180  |   500 |           |      |                     |    |
Y I       |           421.3524   |   250 |           |      |                     |    |
Y I       |           421.7799   |  1300 |           |      |                     |    |
Y I       |           422.06290  |  2000 |           |      |                     |    |
Y I       |           422.42529  |   900 |           |      |                     |    |
          |                      |       |           |      |                     |    |
Y II      |           423.573    |   600 | 2.3e+06   |      |                     |    |
Y I       |           423.5929   |  1400 | 3.0e+07   |      |                     |    |
Y I       |           425.1201   |  1000 |           |      |                     |    |
Y I       |           430.22899  |   850 |           |      |                     |    |
Y II      |           430.963    |  2800 | 1.29e+07  |      |                     |    |
          |                      |       |           |      |                     |    |
Y I       |           431.63032  |   200 |           |      |                     |    |
Y I       |           433.07703  |   300 |           |      |                     |    |
Y I       |           433.7275   |   150 |           |      |                     |    |
Y I       |           434.46355  |   200 |           |      |                     |    |
Y I       |           434.8783   |   250 |           |      |                     |    |
          |                      |       |           |      |                     |    |
Y I       |           435.2322   |   100 | 6.7e+05   |      |                     |    |
Y I       |           435.2703   |   100 |           |      |                     |    |
Y I       |           435.7726   |   300 |           |      |                     |    |
Y II      |           435.873    |   800 | 5.55e+06  |      |                     |    |
Y I       |           436.60235  |   450 |           |      |                     |    |
          |                      |       |           |      |                     |    |
Y II      |           437.494    | 12000 | 9.97e+07  |      |                     |    |
Y I       |           437.5614   |     2 |           |      |                     |    |
Y I       |           437.9327   |   400 | 7.83e+07  |      |                     |    |
Y I       |           438.5474   |   100 | 6.9e+06   |      |                     |    |
Y I       |           438.7738   |    50 |           |      |                     |    |
          |                      |       |           |      |                     |    |
Y I       |           439.4007   |   125 | 1.9e+06   |      |                     |    |
Y I       |           439.4669   |   100 |           |      |                     |    |
Y II      |           439.802    |  1800 | 1.16e+07  |      |                     |    |
Y I       |           440.9700   |     3 | 2.7e+05   |      |                     |    |
Y I       |           441.74307  |   125 | 3.2e+06   |      |                     |    |
          |                      |       |           |      |                     |    |
Y II      |           442.259    |   890 | 1.83e+07  |      |                     |    |
Y I       |           443.73402  |   400 | 8.64e+06  |      |                     |    |
Y I       |           444.3652   |   175 | 1.1e+07   |      |                     |    |
Y I       |           444.66226  |   300 |           |      |                     |    |
Y I       |           445.9010   |    70 | 1.8e+06   |      |                     |    |
          |                      |       |           |      |                     |    |
Y I       |           446.5267   |    12 |           |      |                     |    |
