
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |           Observed  |   Rel. |    Aki    | Acc. |         Ei           Ek         |           Lower level            |           Upper level            |Type|
          |          Wavelength |   Int. |    s^-1   |      |        (eV)         (eV)        |----------------------------------|----------------------------------|    |
          |           Vac (nm)  |        |           |      |                                 | Conf.                    | Term  | Conf.                    | Term  |    |
Co I      |           198.980   |   1500 |           |      |                                 |                          |       |                          |       |    |
Co I      |           199.034   |   1800 |           |      |                                 |                          |       |                          |       |    |
Co I      |           199.849   |  1500l |           |      |                                 |                          |       |                          |       |    |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |           Observed  |   Rel. |    Aki    | Acc. |         Ei           Ek         |           Lower level            |           Upper level            |Type|
          |          Wavelength |   Int. |    s^-1   |      |        (eV)         (eV)        |----------------------------------|----------------------------------|    |
          |           Air (nm)  |        |           |      |                                 | Conf.                    | Term  | Conf.                    | Term  |    |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                     |        |           |      |                                 |                          |       |                          |       |    |
Co III    |           200.109   |    100 |           |      |                                 |                          |       |                          |       |    |
Co I      |           200.232   |   1500 |           |      |                                 |                          |       |                          |       |    |
Co I      |           200.804   |    900 |           |      |                                 |                          |       |                          |       |    |
Co III    |           201.162   |    200 |           |      |                                 |                          |       |                          |       |    |
Co III    |           201.388   |    200 |           |      |                                 |                          |       |                          |       |    |
          |                     |        |           |      |                                 |                          |       |                          |       |    |
Co I      |           201.458   |  1200w |           |      |                                 |                          |       |                          |       |    |
Co I      |           201.617   |    900 |           |      |                                 |                          |       |                          |       |    |
Co III    |           203.181   |    100 |           |      |                                 |                          |       |                          |       |    |
Co I      |           203.196   |    900 |           |      |                                 |                          |       |                          |       |    |
Co I      |           203.995   |   1500 |           |      |                                 |                          |       |                          |       |    |
          |                     |        |           |      |                                 |                          |       |                          |       |    |
Co I      |           204.111   |   1200 |           |      |                                 |                          |       |                          |       |    |
Co III    |           205.311   |    200 |           |      |                                 |                          |       |                          |       |    |
Co III    |           205.621   |    100 |           |      |                                 |                          |       |                          |       |    |
Co III    |           206.217   |     10 |           |      |                                 |                          |       |                          |       |    |
Co I      |           207.776   |  1500w |           |      |                                 |                          |       |                          |       |    |
          |                     |        |           |      |                                 |                          |       |                          |       |    |
Co III    |           207.974   |     10 |           |      |                                 |                          |       |                          |       |    |
Co I      |           208.567   |    900 |           |      |                                 |                          |       |                          |       |    |
Co I      |           208.755   |    900 |           |      |                                 |                          |       |                          |       |    |
Co III    |           208.858   |     15 |           |      |                                 |                          |       |                          |       |    |
Co I      |           208.935   |    900 |           |      |                                 |                          |       |                          |       |    |
          |                     |        |           |      |                                 |                          |       |                          |       |    |
Co III    |           209.051   |     10 |           |      |                                 |                          |       |                          |       |    |
Co I      |           209.340   |    900 |           |      |                                 |                          |       |                          |       |    |
Co I      |           209.486   |    900 |           |      |                                 |                          |       |                          |       |    |
Co I      |           209.577   |    900 |           |      |                                 |                          |       |                          |       |    |
Co I      |           209.751   |   1200 |           |      |                                 |                          |       |                          |       |    |
          |                     |        |           |      |                                 |                          |       |                          |       |    |
Co III    |           209.763   |     10 |           |      |                                 |                          |       |                          |       |    |
Co I      |           210.473   |   1500 |           |      |                                 |                          |       |                          |       |    |
Co I      |           210.680   |   1500 |           |      |                                 |                          |       |                          |       |    |
Co I      |           210.898   |    900 |           |      |                                 |                          |       |                          |       |    |
Co I      |           211.768   |   900s |           |      |                                 |                          |       |                          |       |    |
          |                     |        |           |      |                                 |                          |       |                          |       |    |
Co III    |           213.415   |     10 |           |      |                                 |                          |       |                          |       |    |
Co I      |           213.778   |    900 |           |      |                                 |                          |       |                          |       |    |
Co I      |           213.897   |    900 |           |      |                                 |                          |       |                          |       |    |
Co I      |           216.303   |    900 |           |      |                                 |                          |       |                          |       |    |
Co I      |           217.460   |   1100 |           |      |                                 |                          |       |                          |       |    |
          |                     |        |           |      |                                 |                          |       |                          |       |    |
Co I      |           230.902   |   2600 | 5.6e+07   | C+   |    0.00000     -     5.367935   | 3p6.3d7.4s2              | a 4F  | 3p6.3d7.(2G).4s.4p.(3P*) | w 4F* |    |
Co I      |           232.314   |   2400 | 5.0e+07   | C    |    0.101171    -     5.436456   | 3p6.3d7.4s2              | a 4F  | 3p6.3d7.(2G).4s.4p.(3P*) | *     |    |
Co I      |           233.599   |   1400 | 5.1e+07   | C    |    0.174426    -     5.480339   | 3p6.3d7.4s2              | a 4F  | 3p6.3d7.(2G).4s.4p.(3P*) | *     |    |
Co I      |           233.867   |   1600 | 7.7e+07   | D    |    0.224328    -     5.524204   | 3p6.3d7.4s2              | a 4F  | 3p6.3d7.(2G).4s.4p.(3P*) | w 4F* |    |
Co I      |           235.285   |   1600 |           |      |                                 |                          |       |                          |       |    |
          |                     |        |           |      |                                 |                          |       |                          |       |    |
Co I      |           235.342   |   2000 | 1.5e+07   | D    |    0.101171    -     5.367935   | 3p6.3d7.4s2              | a 4F  | 3p6.3d7.(2G).4s.4p.(3P*) | w 4F* |    |
Co I      |           238.048   |   1400 |           |      |                                 |                          |       |                          |       |    |
Co I      |           238.486   |   1400 | 2.4e+07   | C    |    0.00000     -     5.197220   | 3p6.3d7.4s2              | a 4F  | 3p6.3d7.(4F).4s.4p.(1P*) | x 4F* |    |
Co I      |           240.206   | 1100bl | 5.1e+07   | C    |    0.101171    -     5.261174   | 3p6.3d7.4s2              | a 4F  | 3p6.3d7.(4F).4s.4p.(1P*) | x 4F* |    |
Co I      |           240.725   |   5300 | 3.6e+08   | C    |    0.00000     -     5.148881   | 3p6.3d7.4s2              | a 4F  | 3p6.3d7.(4F).4s.4p.(1P*) | x 4G* |    |
          |                     |        |           |      |                                 |                          |       |                          |       |    |
Co I      |           241.162   |   5300 |           |      |                                 |                          |       |                          |       |    |
Co I      |           241.276   |   1600 | 6.5e+07   | C    |    0.224328    -     5.361442   | 3p6.3d7.4s2              | a 4F  | 3p6.3d7.(4P).4s.4p.(3P*) | w 4D* |    |
Co I      |           241.446   |   4800 | 3.4e+08   | C    |    0.174426    -     5.307942   | 3p6.3d7.4s2              | a 4F  | 3p6.3d7.(4F).4s.4p.(1P*) | x 4G* |    |
Co I      |           241.530   |   4800 | 3.6e+08   | C+   |    0.224328    -     5.356074   | 3p6.3d7.4s2              | a 4F  | 3p6.3d7.(4F).4s.4p.(1P*) | x 4G* |    |
Co I      |           242.493   |   4100 | 3.2e+08   | C    |    0.00000     -     5.111343   | 3p6.3d7.4s2              | a 4F  | 3p6.3d7.(4F).4s.4p.(1P*) | x 4F* |    |
          |                     |        |           |      |                                 |                          |       |                          |       |    |
Co I      |           243.221   |   3300 | 2.6e+08   | D    |    0.101171    -     5.197220   | 3p6.3d7.4s2              | a 4F  | 3p6.3d7.(4F).4s.4p.(1P*) | x 4F* |    |
Co I      |           243.666   |   2900 | 2.6e+08   | D    |    0.174426    -     5.261174   | 3p6.3d7.4s2              | a 4F  | 3p6.3d7.(4F).4s.4p.(1P*) | x 4F* |    |
Co I      |           243.905   |   2400 | 2.7e+08   | C    |    0.224328    -     5.306111   | 3p6.3d7.4s2              | a 4F  | 3p6.3d7.(4F).4s.4p.(1P*) | x 4F* |    |
Co III    |           245.216   |     10 |           |      |                                 |                          |       |                          |       |    |
Co I      |           250.452   |    570 | 1.8e+07   | D    |    0.431815    -     5.380743   | 3p6.3d8.(3F).4s          | b 4F  | 3p6.3d7.(4P).4s.4p.(3P*) | w 4D* |    |
          |                     |        |           |      |                                 |                          |       |                          |       |    |
Co I      |           250.688   |    360 |           |      |                                 |                          |       |                          |       |    |
Co I      |           251.787   |    860 |           |      |                                 |                          |       |                          |       |    |
