
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
               Observed  |   Rel. |    Aki    | Acc. |            Ei           Ek            |           Lower level           |           Upper level            |Type|
              Wavelength |   Int. |    s^-1   |      |           (eV)         (eV)           |---------------------------------|----------------------------------|    |
               Air (nm)  |        |           |      |                                       | Conf.                 | Term    | Conf.                  | Term    |    |
              261.902    |    50* |           |      |    16.67082620    -     21.40344      | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<3/2>).10p | 2[3/2]  |    |
                         |        |           |      |                                       |                       |         |                        |         |    |
              261.902    |    50* |           |      |    16.67082620    -     21.40340      | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<3/2>).10p | 2[3/2]  |    |
              261.977    |     30 |           |      |    16.67082620    -     21.40205      | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<3/2>).10p | 2[1/2]  |    |
              262.110    |     80 |           |      |    16.67082620    -     21.39965      | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<1/2>).8p  | 2[1/2]  |    |
              262.290    |    150 |           |      |    16.67082620    -     21.39634      | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<1/2>).8p  | 2[3/2]  |    |
              263.997    |    150 |           |      |    16.67082620    -     21.3658684    | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<3/2>).9p  | 2[1/2]  |    |
                         |        |           |      |                                       |                       |         |                        |         |    |
              264.247    |    80* |           |      |    16.67082620    -     21.36148      | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<3/2>).9p  | 2[3/2]  |    |
              264.247    |    80* |           |      |    16.67082620    -     21.36139      | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<3/2>).9p  | 2[3/2]  |    |
              264.551    |    500 |           |      |    16.61906936    -     21.30427      | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<1/2>).7p  | 2[1/2]  |    |
              264.570    |    300 |           |      |    16.61906936    -     21.3038960    | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<1/2>).7p  | 2[3/2]  |    |
              264.742    |   2000 |           |      |    16.61906936    -     21.30088      | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<3/2>).8p  | 2[3/2]  |    |
                         |        |           |      |                                       |                       |         |                        |         |    |
              264.776    |     80 |           |      |    16.61906936    -     21.3002381    | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<3/2>).8p  | 2[3/2]  |    |
              264.821    |    150 |           |      |    16.61906936    -     21.29944      | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<3/2>).8p  | 2[5/2]  |    |
              264.856    |    250 |           |      |    16.61906936    -     21.29887      | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<3/2>).8p  | 2[5/2]  |    |
              265.101    |    500 |           |      |    16.61906936    -     21.294563     | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<3/2>).8p  | 2[1/2]  |    |
              265.752    |   150* |           |      |    16.61906936    -     21.28309675   | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<1/2>).6f  | 2[5/2]  |    |
                         |        |           |      |                                       |                       |         |                        |         |    |
              265.752    |   150* |           |      |    16.61906936    -     21.28309542   | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<1/2>).6f  | 2[5/2]  |    |
              266.784    |     20 |           |      |    16.71538035    -     21.36139      | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 2s2.2p5.(2P*<3/2>).9p  | 2[3/2]  |    |
              266.913    |     30 |           |      |    16.67082620    -     21.314550     | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<1/2>).7p  | 2[1/2]  |    |
