
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |            Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek           |     Lower level      |              Upper level              |Type|
          |           Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)          |----------------------|---------------------------------------|    |
          |            Vac (nm)  |       |           |      |                                    | Conf.   | Term       | Conf.                    | Term       |    |
Au III    |             141.427  |   100 |           |      |                                    |         |            |                          |            |    |
Au II     |             141.522  |       |           |      |                                    |         |            |                          |            |    |
Au III    |             141.554  |    80 |           |      |                                    |         |            |                          |            |    |
          |                      |       |           |      |                                    |         |            |                          |            |    |
Au III    |             141.709  |   100 |           |      |                                    |         |            |                          |            |    |
Au III    |             141.739  |   125 |           |      |                                    |         |            |                          |            |    |
Au III    |             142.742  |   150 |           |      |                                    |         |            |                          |            |    |
Au III    |             142.893  |   300 |           |      |                                    |         |            |                          |            |    |
Au I      |             142.919  |    80 |           |      |                                    |         |            |                          |            |    |
          |                      |       |           |      |                                    |         |            |                          |            |    |
Au III    |             143.006  |   250 |           |      |                                    |         |            |                          |            |    |
Au III    |             143.337  |   275 |           |      |                                    |         |            |                          |            |    |
Au I      |             143.579  |    50 |           |      |                                    |         |            |                          |            |    |
Au III    |             143.581  |   250 |           |      |                                    |         |            |                          |            |    |
Au III    |             143.612  |    80 |           |      |                                    |         |            |                          |            |    |
          |                      |       |           |      |                                    |         |            |                          |            |    |
Au II     |             143.661  |    20 |           |      |                                    |         |            |                          |            |    |
Au III    |             143.912  |   300 |           |      |                                    |         |            |                          |            |    |
Au III    |             144.121  |   200 |           |      |                                    |         |            |                          |            |    |
Au III    |             144.637  |   150 |           |      |                                    |         |            |                          |            |    |
Au III    |             144.669  |    80 |           |      |                                    |         |            |                          |            |    |
          |                      |       |           |      |                                    |         |            |                          |            |    |
Au III    |             144.842  |   250 |           |      |                                    |         |            |                          |            |    |
Au III    |             145.495  |   250 |           |      |                                    |         |            |                          |            |    |
Au III    |             146.472  |   100 |           |      |                                    |         |            |                          |            |    |
Au II     |             146.885  |    10 |           |      |                                    |         |            |                          |            |    |
Au II     |             146.917  |    10 |           |      |                                    |         |            |                          |            |    |
          |                      |       |           |      |                                    |         |            |                          |            |    |
Au II     |             146.928  |    10 |           |      |                                    |         |            |                          |            |    |
Au III    |             147.128  |   150 |           |      |                                    |         |            |                          |            |    |
Au III    |             147.332  |    80 |           |      |                                    |         |            |                          |            |    |
Au III    |             147.473  |   100 |           |      |                                    |         |            |                          |            |    |
Au III    |             148.110  |   150 |           |      |                                    |         |            |                          |            |    |
          |                      |       |           |      |                                    |         |            |                          |            |    |
Au I      |             148.176  |   100 |           |      |                                    |         |            |                          |            |    |
Au II     |             148.655  |    25 |           |      |                                    |         |            |                          |            |    |
Au III    |             148.715  |   300 |           |      |                                    |         |            |                          |            |    |
Au III    |             148.791  |   250 |           |      |                                    |         |            |                          |            |    |
Au III    |             148.947  |   200 |           |      |                                    |         |            |                          |            |    |
          |                      |       |           |      |                                    |         |            |                          |            |    |
Au III    |             150.037  |   250 |           |      |                                    |         |            |                          |            |    |
Au III    |             150.247  |   200 |           |      |                                    |         |            |                          |            |    |
Au III    |             150.374  |   200 |           |      |                                    |         |            |                          |            |    |
Au I      |             153.282  |    20 |           |      |                                    |         |            |                          |            |    |
Au I      |             153.286  |    20 |           |      |                                    |         |            |                          |            |    |
          |                      |       |           |      |                                    |         |            |                          |            |    |
Au III    |             154.026  |    80 |           |      |                                    |         |            |                          |            |    |
Au III    |             154.200  |   100 |           |      |                                    |         |            |                          |            |    |
Au III    |             154.225  |    80 |           |      |                                    |         |            |                          |            |    |
Au III    |             154.850  |   100 |           |      |                                    |         |            |                          |            |    |
Au III    |             155.461  |    80 |           |      |                                    |         |            |                          |            |    |
          |                      |       |           |      |                                    |         |            |                          |            |    |
Au II     |             156.204  |    10 |           |      |                                    |         |            |                          |            |    |
Au III    |             156.233  |    80 |           |      |                                    |         |            |                          |            |    |
Au III    |             156.241  |    80 |           |      |                                    |         |            |                          |            |    |
Au III    |             156.754  |   200 |           |      |                                    |         |            |                          |            |    |
Au III    |             157.194  |    80 |           |      |                                    |         |            |                          |            |    |
          |                      |       |           |      |                                    |         |            |                          |            |    |
Au III    |             157.485  |   200 |           |      |                                    |         |            |                          |            |    |
Au III    |             157.944  |   200 |           |      |                                    |         |            |                          |            |    |
Au III    |             158.410  |   150 |           |      |                                    |         |            |                          |            |    |
Au I      |             158.716  |   200 |           |      |                                    |         |            |                          |            |    |
Au III    |             158.956  |   200 |           |      |                                    |         |            |                          |            |    |
          |                      |       |           |      |                                    |         |            |                          |            |    |
Au III    |             158.968  |    80 |           |      |                                    |         |            |                          |            |    |
Au III    |             159.341  |   150 |           |      |                                    |         |            |                          |            |    |
Au II     |             159.341  |    12 |           |      |                                    |         |            |                          |            |    |
Au I      |             159.824  |    70 |           |      |                                    |         |            |                          |            |    |
Au III    |             160.051  |   200 |           |      |                                    |         |            |                          |            |    |
          |                      |       |           |      |                                    |         |            |                          |            |    |
Au II     |             161.111  |    12 |           |      |                                    |         |            |                          |            |    |
Au II     |             161.665  |       |           |      |                                    |         |            |                          |            |    |
Au III    |             161.716  |   250 |           |      |                                    |         |            |                          |            |    |
Au III    |             161.778  |   100 |           |      |                                    |         |            |                          |            |    |
Au III    |             162.193  |   500 |           |      |                                    |         |            |                          |            |    |
          |                      |       |           |      |                                    |         |            |                          |            |    |
Au II     |             162.283  |     2 |           |      |                                    |         |            |                          |            |    |
Au I      |             162.434  |   100 |           |      |                                    |         |            |                          |            |    |
Au III    |             162.913  | 300bl |           |      |                                    |         |            |                          |            |    |
Au II     |             163.253  |     2 |           |      |                                    |         |            |                          |            |    |
Au III    |             163.888  |   250 |           |      |                                    |         |            |                          |            |    |
          |                      |       |           |      |                                    |         |            |                          |            |    |
Au I      |             163.990  |    50 |           |      |                                    |         |            |                          |            |    |
Au III    |             164.417  |   100 |           |      |                                    |         |            |                          |            |    |
Au I      |             164.667  |   150 |           |      |    0.000000     -      7.529373    | 5d10.6s | 2S         | 5d10.7p                  | 2P*        |    |
Au III    |             165.274  |   250 |           |      |                                    |         |            |                          |            |    |
Au II     |             165.699  |    10 |           |      |                                    |         |            |                          |            |    |
          |                      |       |           |      |                                    |         |            |                          |            |    |
Au III    |             166.477  |   250 |           |      |                                    |         |            |                          |            |    |
Au I      |             166.576  |   100 |           |      |                                    |         |            |                          |            |    |
Au III    |             166.811  |   100 |           |      |                                    |         |            |                          |            |    |
Au II     |             167.359  |    25 |           |      |                                    |         |            |                          |            |    |
Au III    |             167.393  |   125 |           |      |                                    |         |            |                          |            |    |
          |                      |       |           |      |                                    |         |            |                          |            |    |
Au III    |             169.394  |  1000 |           |      |                                    |         |            |                          |            |    |
Au II     |             169.438  |     7 |           |      |                                    |         |            |                          |            |    |
Au III    |             169.709  |   150 |           |      |                                    |         |            |                          |            |    |
Au II     |             169.865  |     2 |           |      |                                    |         |            |                          |            |    |
Au III    |             169.898  |   200 |           |      |                                    |         |            |                          |            |    |
          |                      |       |           |      |                                    |         |            |                          |            |    |
Au I      |             169.934  |   200 |           |      |    0.000000     -      7.2959012   | 5d10.6s | 2S         | 5d9<3/2>.6s<1/2>.6p<1/2> | 2P*        |    |
Au III    |             170.000  |   200 |           |      |                                    |         |            |                          |            |    |
Au II     |             170.069  |    30 |           |      |                                    |         |            |                          |            |    |
Au III    |             170.225  |   200 |           |      |                                    |         |            |                          |            |    |
Au III    |             170.753  |   100 |           |      |                                    |         |            |                          |            |    |
          |                      |       |           |      |                                    |         |            |                          |            |    |
Au III    |             171.016  |   250 |           |      |                                    |         |            |                          |            |    |
Au III    |             171.569  |   200 |           |      |                                    |         |            |                          |            |    |
Au III    |             171.671  |   100 |           |      |                                    |         |            |                          |            |    |
Au III    |             171.783  |   300 |           |      |                                    |         |            |                          |            |    |
Au II     |             172.004  |    10 |           |      |                                    |         |            |                          |            |    |
          |                      |       |           |      |                                    |         |            |                          |            |    |
Au II     |             172.575  |    25 |           |      |                                    |         |            |                          |            |    |
Au III    |             172.731  |   500 |           |      |                                    |         |            |                          |            |    |
Au III    |             173.317  | 100bl |           |      |                                    |         |            |                          |            |    |
Au III    |             173.848  |   300 |           |      |                                    |         |            |                          |            |    |
Au II     |             174.052  |    45 |           |      |                                    |         |            |                          |            |    |
          |                      |       |           |      |                                    |         |            |                          |            |    |
Au III    |             174.439  |   150 |           |      |                                    |         |            |                          |            |    |
Au III    |             174.610  |   500 |           |      |                                    |         |            |                          |            |    |
Au II     |             174.980  |    10 |           |      |                                    |         |            |                          |            |    |
Au II     |             175.615  |    35 |           |      |                                    |         |            |                          |            |    |
Au III    |             175.692  |   500 |           |      |                                    |         |            |                          |            |    |
          |                      |       |           |      |                                    |         |            |                          |            |    |
Au III    |             176.195  |   500 |           |      |                                    |         |            |                          |            |    |
Au III    |             176.742  |   300 |           |      |                                    |         |            |                          |            |    |
Au III    |             177.442  |   100 |           |      |                                    |         |            |                          |            |    |
Au III    |             177.517  |   800 |           |      |                                    |         |            |                          |            |    |
Au III    |             177.640  |   200 |           |      |                                    |         |            |                          |            |    |
          |                      |       |           |      |                                    |         |            |                          |            |    |
Au III    |             178.057  |   100 |           |      |                                    |         |            |                          |            |    |
Au II     |             178.322  |    60 |           |      |                                    |         |            |                          |            |    |
Au III    |             178.611  |   300 |           |      |                                    |         |            |                          |            |    |
Au III    |             179.265  |   150 |           |      |                                    |         |            |                          |            |    |
Au II     |             179.331  |    35 |           |      |                                    |         |            |                          |            |    |
          |                      |       |           |      |                                    |         |            |                          |            |    |
Au III    |             179.376  |   500 |           |      |                                    |         |            |                          |            |    |
Au II     |             180.058  |    35 |           |      |                                    |         |            |                          |            |    |
Au III    |             180.198  |   200 |           |      |                                    |         |            |                          |            |    |
