
--------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                     Observed  |  Rel. |     Aki    | Acc. |                Ei           Ek                  |  Lower level  |  Upper level  |Type|
          |                    Wavelength |  Int. |     s^-1   |      |               (eV)         (eV)                 |---------------|---------------|    |
          |                     Air (nm)  |       |            |      |                                                 | Conf.  | Term | Conf.  | Term |    |
He I      |                318.7745       |   20* | 5.6361e+06 | AAA  |   [19.81961397545]    -    [23.7078905145]      | 1s.2s  | 3S   | 1s.4p  | 3P*  |    |
He I      |                323.1266       |     0 | 5.1015e+05 | AAA  |   [20.6157742320]     -    [24.45167771340]     | 1s.2s  | 1S   | 1s.10p | 1P*  |    |
He I      |                325.8275       |     1 | 6.9627e+05 | AAA  |   [20.6157742320]     -    [24.41988856973]     | 1s.2s  | 1S   | 1s.9p  | 1P*  |    |
He I      |                355.4415       |    1* | 3.6386e+04 | AAA  |   [20.96408629014]    -    [24.451273222549]    | 1s.2p  | 3P*  | 1s.10d | 3D   |    |
          |                               |       |            |      |                                                 |        |      |        |      |    |
He I      |                355.4415       |    1* | 3.2745e+05 | AAA  |   [20.96408629014]    -    [24.451273076444]    | 1s.2p  | 3P*  | 1s.10d | 3D   |    |
He I      |                355.4415       |    1* | 1.3099e+05 | AAA  |   [20.96408629014]    -    [24.451273066041]    | 1s.2p  | 3P*  | 1s.10d | 3D   |    |
He I      |                355.4415       |    1* | 5.4579e+05 | AAA  |   [20.96409576568]    -    [24.451273222549]    | 1s.2p  | 3P*  | 1s.10d | 3D   |    |
He I      |                355.4415       |    1* | 9.8235e+05 | AAA  |   [20.96409576568]    -    [24.451273076444]    | 1s.2p  | 3P*  | 1s.10d | 3D   |    |
He I      |                356.2979       |    0* | 2.6868e+05 | AAA  |   [20.96408629014]    -    [24.44289265170]     | 1s.2p  | 3P*  | 1s.10s | 3S   |    |
          |                               |       |            |      |                                                 |        |      |        |      |    |
He I      |                356.2979       |    0* | 1.6121e+05 | AAA  |   [20.96409576568]    -    [24.44289265170]     | 1s.2p  | 3P*  | 1s.10s | 3S   |    |
