
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                 Observed  |    Rel. |    Aki    | Acc. |              Ei           Ek              |           Lower level           |           Upper level           |Type|
          |                Wavelength |    Int. |    s^-1   |      |             (eV)         (eV)             |---------------------------------|---------------------------------|    |
          |                 Vac (nm)  |         |           |      |                                           | Conf.                 | Term    | Conf.                 | Term    |    |
Al IV     |                105.9396   |     150 |           |      |     95.08110        -     106.78446       | 2s2.2p5.(2P*).3d      | 3D*     | 2s2.2p5.(2P*<1/2>).4f | 2[5/2]  |    |
Al V      |                105.965    |       5 | 3.11e+08  | B+   |    103.15703        -     114.8575        | 2s2.2p4.(3P).3p       | 2D*     | 2s2.2p4.(3P).3d       | 2D      |    |
Al IV     |                106.1135   |      40 |           |      |     95.10030        -     106.78446       | 2s2.2p5.(2P*).3d      | 1D*     | 2s2.2p5.(2P*<1/2>).4f | 2[5/2]  |    |
Al IV     |                106.1429   |     500 |           |      |     95.10030        -     106.78100       | 2s2.2p5.(2P*).3d      | 1D*     | 2s2.2p5.(2P*<1/2>).4f | 2[7/2]  |    |
          |                           |         |           |      |                                           |                       |         |                       |         |    |
Al V      |                106.327    |       3 | 6.37e+07  | B    |    102.53803        -     114.1987        | 2s2.2p4.(3P).3p       | 4D*     | 2s2.2p4.(3P).3d       | 2F      |    |
Al V      |                106.353    |      10 | 3.72e+08  | B    |    101.43597        -     113.09376       | 2s2.2p4.(3P).3p       | 4P*     | 2s2.2p4.(3P).3d       | 4D      |    |
Al V      |                106.424    |      70 | 6.54e+08  | B+   |    101.34033        -     112.99042       | 2s2.2p4.(3P).3p       | 4P*     | 2s2.2p4.(3P).3d       | 4D      |    |
Al IV     |                106.4891   |     600 |           |      |     95.13871        -     106.78168       | 2s2.2p5.(2P*).3d      | 3D*     | 2s2.2p5.(2P*<1/2>).4f | 2[7/2]  |    |
Al IV     |                106.6567   |     500 |           |      |     94.76076        -     106.38533       | 2s2.2p5.(2P*).3d      | 1F*     | 2s2.2p5.(2P*<3/2>).4f | 2[7/2]  |    |
          |                           |         |           |      |                                           |                       |         |                       |         |    |
Al V      |                106.787    |      80 | 9.37e+08  | B+   |    101.43597        -     113.04631       | 2s2.2p4.(3P).3p       | 4P*     | 2s2.2p4.(3P).3d       | 4D      |    |
Al V      |                106.826    |     250 | 1.42e+09  | A    |    101.34033        -     112.94645       | 2s2.2p4.(3P).3p       | 4P*     | 2s2.2p4.(3P).3d       | 4D      |    |
Al IV     |                106.9437   |     600 |           |      |     95.18894        -     106.78234       | 2s2.2p5.(2P*).3d      | 3D*     | 2s2.2p5.(2P*<1/2>).4f | 2[5/2]  |    |
Al IV     |                107.1241   |     100 |           |      |     94.76076        -     106.33453       | 2s2.2p5.(2P*).3d      | 1F*     | 2s2.2p5.(2P*<3/2>).4f | 2[9/2]  |    |
Al V      |                107.302    |     200 | 8.67e+08  | B+   |    101.43597        -     112.99042       | 2s2.2p4.(3P).3p       | 4P*     | 2s2.2p4.(3P).3d       | 4D      |    |
          |                           |         |           |      |                                           |                       |         |                       |         |    |
Al V      |                107.528    |      10 | 1.87e+08  | B    |    102.3808         -     113.9113        | 2s2.2p4.(3P).3p       | 4D*     | 2s2.2p4.(3P).3d       | 4F      |    |
Al V      |                107.673    |      30 | 4.31e+08  | B+   |    102.53803        -     114.0532        | 2s2.2p4.(3P).3p       | 4D*     | 2s2.2p4.(3P).3d       | 4F      |    |
Al V      |                107.735    |      40 | 4.78e+08  | B+   |    101.53829        -     113.04631       | 2s2.2p4.(3P).3p       | 4P*     | 2s2.2p4.(3P).3d       | 4D      |    |
Al VI     |                107.766    |       2 | 5.89e+08  | A    |    122.3281         -     133.8331        | 2s2.2p3.(4S*).3p      | 3P      | 2s2.2p3.(4S*).3d      | 3D*     |    |
Al VI     |                107.817    |    40bl | 3.52e+08  | A    |    122.3359         -     133.8355        | 2s2.2p3.(4S*).3p      | 3P      | 2s2.2p3.(4S*).3d      | 3D*     |    |
          |                           |         |           |      |                                           |                       |         |                       |         |    |
Al V      |                107.941    |      30 | 5.42e+08  | B+   |    102.66326        -     114.1491        | 2s2.2p4.(3P).3p       | 4D*     | 2s2.2p4.(3P).3d       | 4F      |    |
