
------------------------------------------------------------------------------------------------------------------------------------------------------
             Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek          |        Lower level         |        Upper level         |Type|
            Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |----------------------------|----------------------------|    |
             Air (nm)  |       |           |      |                                   | Conf.            | Term    | Conf.            | Term    |    |
                       |       |           |      |                                   |                  |         |                  |         |    |
            748.6908   |    16 |           |      |    4.3954186    -     6.0509758   | 4d9.(2D<5/2>).5p | 2[7/2]* | 4d9.(2D<5/2>).6s | 2[5/2]  |    |
            776.3970   |   120 |           |      |    4.4544976    -     6.0509758   | 4d9.(2D<5/2>).5p | 2[7/2]* | 4d9.(2D<5/2>).6s | 2[5/2]  |    |
            778.6592   |    27 |           |      |    4.4858320    -     6.0776720   | 4d9.(2D<5/2>).5p | 2[3/2]* | 4d9.(2D<5/2>).6s | 2[5/2]  |    |
            791.5755   |    45 |           |      |    4.9418067    -     6.5076724   | 4d9.(2D<3/2>).5p | 2[5/2]* | 4d9.(2D<3/2>).6s | 2[3/2]  |    |
            796.1024   |    18 |           |      |    3.4980611    -     5.0550228   | 4d8.5s2          | 3F      | 4d9.(2D<3/2>).5p | 2[3/2]* |    |
                       |       |           |      |                                   |                  |         |                  |         |    |
            813.2788   |    55 |           |      |    3.1121564    -     4.6362354   | 4d8.5s2          | 3F      | 4d9.(2D<5/2>).5p | 2[5/2]* |    |
            830.0773   |    45 |           |      |    4.5844362    -     6.0776720   | 4d9.(2D<5/2>).5p | 2[5/2]* | 4d9.(2D<5/2>).6s | 2[5/2]  |    |
            835.3532   |    9w |           |      |    5.0050926    -     6.4888977   | 4d9.(2D<3/2>).5p | 2[3/2]* | 4d9.(2D<3/2>).6s | 2[3/2]  |    |
            853.2694   |   18w |           |      |    5.0550228    -     6.5076724   | 4d9.(2D<3/2>).5p | 2[3/2]* | 4d9.(2D<3/2>).6s | 2[3/2]  |    |
            859.9069   |   16w |           |      |    4.6362354    -     6.0776720   | 4d9.(2D<5/2>).5p | 2[5/2]* | 4d9.(2D<5/2>).6s | 2[5/2]  |    |
                       |       |           |      |                                   |                  |         |                  |         |    |
            876.1335   |    65 |           |      |    4.6362354    -     6.0509758   | 4d9.(2D<5/2>).5p | 2[5/2]* | 4d9.(2D<5/2>).6s | 2[5/2]  |    |
