
--------------------------------------------------------------------------------------------------------------------------------------------------------
              Observed  |  Rel. |    Aki    | Acc. |           Ei           Ek           |       Lower level       |         Upper level          |Type|
             Wavelength |  Int. |    s^-1   |      |          (eV)         (eV)          |-------------------------|------------------------------|    |
              Vac (nm)  |       |           |      |                                     | Conf.            | Term | Conf.                 | Term |    |
                        |       |           |      |                                     |                  |      |                       |      |    |
             595.858    |  190* | 9.06e+05  | C+   |    10.9888611    -     13.0690508   | 2s2.2p3.(4S*).3p | 3P   | 2s2.2p3.(4S*).5d      | 3D*  |    |
             599.528    |    80 |           |      |                                     |                  |      |                       |      |    |
             604.623    |   160 | 1.05e+06  | C+   |    10.9887918    -     13.0388264   | 2s2.2p3.(4S*).3p | 3P   | 2s2.2p3.(4S*).6s      | 3S*  |    |
             604.644    |   190 | 1.75e+06  | C+   |    10.9888611    -     13.0388264   | 2s2.2p3.(4S*).3p | 3P   | 2s2.2p3.(4S*).6s      | 3S*  |    |
             604.649    |   110 | 3.50e+05  | C+   |    10.9888806    -     13.0388264   | 2s2.2p3.(4S*).3p | 3P   | 2s2.2p3.(4S*).6s      | 3S*  |    |
                        |       |           |      |                                     |                  |      |                       |      |    |
             610.627    |   100 |           |      |                                     |                  |      |                       |      |    |
             615.598    |   400 | 5.72e+06  | B+   |    10.7402246    -     12.7537152   | 2s2.2p3.(4S*).3p | 5P   | 2s2.2p3.(4S*).4d      | 5D*  |    |
             615.677    |   450 | 5.08e+06  | B+   |    10.7404751    -     12.7537018   | 2s2.2p3.(4S*).3p | 5P   | 2s2.2p3.(4S*).4d      | 5D*  |    |
             615.818    |   490 | 7.62e+06  | B+   |    10.7409309    -     12.7536968   | 2s2.2p3.(4S*).3p | 5P   | 2s2.2p3.(4S*).4d      | 5D*  |    |
             625.683    |    80 |           |      |                                     |                  |      |                       |      |    |
                        |       |           |      |                                     |                  |      |                       |      |    |
             626.155    |   100 |           |      |                                     |                  |      |                       |      |    |
             636.634    |   100 |           |      |                                     |                  |      |                       |      |    |
             637.432    |   100 |           |      |                                     |                  |      |                       |      |    |
             645.360    |   320 | 1.65e+06  | C+   |    10.7402246    -     12.6608564   | 2s2.2p3.(4S*).3p | 5P   | 2s2.2p3.(4S*).5s      | 5S*  |    |
             645.444    |   360 | 2.75e+06  | C+   |    10.7404751    -     12.6608564   | 2s2.2p3.(4S*).3p | 5P   | 2s2.2p3.(4S*).5s      | 5S*  |    |
                        |       |           |      |                                     |                  |      |                       |      |    |
             645.598    |   400 | 3.85e+06  | C+   |    10.7409309    -     12.6608564   | 2s2.2p3.(4S*).3p | 5P   | 2s2.2p3.(4S*).5s      | 5S*  |    |
             660.491    |    80 |           |      |                                     |                  |      |                       |      |    |
             665.383    |   100 |           |      |                                     |                  |      |                       |      |    |
