
-----------------------------------------------------------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |        Ei           Ek         |  Lower level  |     Upper level      |Type|
         Wavelength |  Int. |    s^-1   |      |       (eV)         (eV)        |---------------|----------------------|    |
          Air (nm)  |       |           |      |                                | Conf.  | Term | Conf.         | Term |    |
           471.670  |    30 |           |      |                                |        |      |               |      |    |
           472.620  |   65w |           |      |                                |        |      |               |      |    |
           481.505  |    85 |           |      |                                |        |      |               |      |    |
           490.488  |   460 |           |      |                                |        |      |               |      |    |
           494.234  |   180 |           |      |                                |        |      |               |      |    |
                    |       |           |      |                                |        |      |               |      |    |
           500.114  |   800 |           |      |                                |        |      |               |      |    |
           505.760  |   55w |           |      |                                |        |      |               |      |    |
           513.405  |   140 |           |      |                                |        |      |               |      |    |
           513.509  |  2700 | 9.1e+06   |      |   0.247215    -     2.660996   | 5d.6s2 | 2D   | 5d.6s.(3D).6p | 2D*  |    |
           519.661  |   170 |           |      |                                |        |      |               |      |    |
                    |       |           |      |                                |        |      |               |      |    |
           520.647  |    90 |           |      |                                |        |      |               |      |    |
           530.440  |    40 |           |      |                                |        |      |               |      |    |
           534.912  |    80 |           |      |                                |        |      |               |      |    |
           540.257  |   500 |           |      |                                |        |      |               |      |    |
           542.190  |  140c |           |      |                                |        |      |               |      |    |
                    |       |           |      |                                |        |      |               |      |    |
           543.788  |   100 |           |      |                                |        |      |               |      |    |
           545.357  |    35 |           |      |                                |        |      |               |      |    |
           573.655  |   550 |           |      |                                |        |      |               |      |    |
           577.540  |    55 |           |      |                                |        |      |               |      |    |
           580.059  |    80 |           |      |                                |        |      |               |      |    |
                    |       |           |      |                                |        |      |               |      |    |
           586.079  |   40w |           |      |                                |        |      |               |      |    |
           586.630  |     9 |           |      |                                |        |      |               |      |    |
           599.713  |   140 |           |      |                                |        |      |               |      |    |
           600.452  |  1400 | 4.9e+07   |      |   0.926954    -     2.991241   | 6s2.6p | 2P*  | 6s2.7s        | 2S   |    |
           604.166  |   35w |           |      |                                |        |      |               |      |    |
                    |       |           |      |                                |        |      |               |      |    |
           605.503  |   440 |           |      |                                |        |      |               |      |    |
           614.071  |    11 |           |      |                                |        |      |               |      |    |
           624.880  |   16w |           |      |                                |        |      |               |      |    |
           634.535  |   70w |           |      |                                |        |      |               |      |    |
           635.485  |   18w |           |      |                                |        |      |               |      |    |
                    |       |           |      |                                |        |      |               |      |    |
           636.579  |     9 |           |      |                                |        |      |               |      |    |
           636.600  |    16 |           |      |                                |        |      |               |      |    |
           644.114  |    22 |           |      |                                |        |      |               |      |    |
           647.767  |    29 |           |      |                                |        |      |               |      |    |
           652.318  |   55c |           |      |                                |        |      |               |      |    |
                    |       |           |      |                                |        |      |               |      |    |
           667.714  |   23c |           |      |                                |        |      |               |      |    |
           673.576  |    9w |           |      |                                |        |      |               |      |    |
           679.377  |   30c |           |      |                                |        |      |               |      |    |
           691.731  |    45 |           |      |                                |        |      |               |      |    |
           703.124  |    23 |           |      |                                |        |      |               |      |    |
                    |       |           |      |                                |        |      |               |      |    |
           709.634  |   14c |           |      |                                |        |      |               |      |    |
           714.279  |     9 |           |      |                                |        |      |               |      |    |
           714.310  |     7 |           |      |                                |        |      |               |      |    |
           723.798  | 14w,c |           |      |                                |        |      |               |      |    |
           744.152  |   11c |           |      |                                |        |      |               |      |    |
                    |       |           |      |                                |        |      |               |      |    |
           764.008  |  7w,c |           |      |                                |        |      |               |      |    |
           775.830  |  7c,w |           |      |                                |        |      |               |      |    |
           781.59   |    7w |           |      |                                |        |      |               |      |    |
           817.816  |    9c |           |      |                                |        |      |               |      |    |
           838.208  |    17 |           |      |                                |        |      |               |      |    |
                    |       |           |      |                                |        |      |               |      |    |
           847.850  |  10bl |           |      |                                |        |      |               |      |    |
           850.808  |   29c |           |      |                                |        |      |               |      |    |
           861.098  |   35c |           |      |                                |        |      |               |      |    |
