
---------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |           Observed  |  Rel. |    Aki    | Acc. |         Ei           Ek         |         Lower level         |         Upper level         |Type|
          |          Wavelength |  Int. |    s^-1   |      |        (eV)         (eV)        |-----------------------------|-----------------------------|    |
          |           Vac (nm)  |       |           |      |                                 | Conf.                | Term | Conf.                | Term |    |
N IV      |           264.618   |  300* | 8.08e+08  | C+   |    64.04537    -     68.72936   | 1s2.2s.4f            | 3F*  | 1s2.2s.5g            | 3G   |    |
          |                     |       |           |      |                                 |                      |      |                      |      |    |
N IV      |           264.696   |  350* | 5.40e+07  | C+   |    64.04676    -     68.72936   | 1s2.2s.4f            | 3F*  | 1s2.2s.5g            | 3G   |    |
N IV      |           264.696   |  350* | 1.06e+06  | C+   |    64.04676    -     68.72936   | 1s2.2s.4f            | 3F*  | 1s2.2s.5g            | 3G   |    |
N IV      |           264.696   |  350* | 8.63e+08  | C+   |    64.04676    -     68.72936   | 1s2.2s.4f            | 3F*  | 1s2.2s.5g            | 3G   |    |
N III     |           268.218   |  250w |           |      |                                 |                      |      |                      |      |    |
N III     |           268.920   |   90* | 6.60e+06  | C+   |    39.39963    -     44.00870   | 2s2.4d               | 2D   | 2s2.6f               | 2F*  |    |
          |                     |       |           |      |                                 |                      |      |                      |      |    |
N III     |           268.920   |   90* | 9.90e+07  | C+   |    39.39963    -     44.00870   | 2s2.4d               | 2D   | 2s2.6f               | 2F*  |    |
N IV      |           307.825   |    90 | 3.91e+08  | B    |    64.70274    -     68.72929   | 1s2.2s.4f            | 1F*  | 1s2.2s.5g            | 1G   |    |
N III     |           336.734   |   120 | 1.27e+08  | B    |    35.67111    -     39.35199   | 2s.2p.(3P*).3s       | 4P*  | 2s.2p.(3P*).3p       | 4P   |    |
N IV      |           346.337   |    90 | 1.02e+08  | B    |    57.71918    -     61.29803   | 1s2.2p.(2P*).3s      | 3P*  | 1s2.2p.(2P*).3p      | 3P   |    |
N IV      |           347.871   |   570 | 1.06e+08  | B    |    46.77735    -     50.34041   | 1s2.2s.3s            | 3S   | 1s2.2s.3p            | 3P*  |    |
          |                     |       |           |      |                                 |                      |      |                      |      |    |
N IV      |           348.299   |   500 | 1.06e+08  | B    |    46.77735    -     50.33603   | 1s2.2s.3s            | 3S   | 1s2.2s.3p            | 3P*  |    |
N IV      |           348.496   |   400 | 1.06e+08  | B    |    46.77735    -     50.33406   | 1s2.2s.3s            | 3S   | 1s2.2s.3p            | 3P*  |    |
N IV      |           374.754   |    90 | 9.92e+07  | B    |    58.64816    -     61.95563   | 1s2.2p.(2P*<3/2>).3s | 1P*  | 1s2.2p.(2P*<3/2>).3p | 1D   |    |
N III     |           375.467   |    90 | 3.78e+07  | B    |    35.65680    -     38.95798   | 2s.2p.(3P*).3s       | 4P*  | 2s.2p.(3P*).3p       | 4S   |    |
N III     |           377.105   |   120 | 5.59e+07  | B    |    35.67111    -     38.95798   | 2s.2p.(3P*).3s       | 4P*  | 2s.2p.(3P*).3p       | 4S   |    |
          |                     |       |           |      |                                 |                      |      |                      |      |    |
N III     |           393.852   |    90 | 8.96e+07  | B    |    38.33408    -     41.48118   | 2s.2p.(3P*).3p       | 2P   | 2s.2p.(3P*).3d       | 2D*  |    |
N III     |           399.863   |   150 | 1.76e+08  | C+   |    39.39569    -     42.49548   | 2s2.4d               | 2D   | 2s2.5f               | 2F*  |    |
N III     |           400.358   |   200 | 1.88e+08  | C+   |    39.39963    -     42.49559   | 2s2.4d               | 2D   | 2s2.5f               | 2F*  |    |
N IV      |           405.776   |   150 | 6.62e+07  | B    |    50.15438    -     53.20901   | 1s2.2s.3p            | 1P*  | 1s2.2s.3d            | 1D   |    |
N III     |           409.733   |   250 | 8.70e+07  | B    |    27.43797    -     30.46308   | 2s2.3s               | 2S   | 2s2.3p               | 2P*  |    |
          |                     |       |           |      |                                 |                      |      |                      |      |    |
N III     |           410.343   |   200 | 8.67e+07  | B    |    27.43797    -     30.45863   | 2s2.3s               | 2S   | 2s2.3p               | 2P*  |    |
N III     |           419.576   |   120 | 9.37e+07  | B    |    36.84205    -     39.79622   | 2s.2p.(3P*).3s       | 2P*  | 2s.2p.(3P*).3p       | 2D   |    |
N III     |           420.010   |   150 | 1.12e+08  | B    |    36.85609    -     39.80721   | 2s.2p.(3P*).3s       | 2P*  | 2s.2p.(3P*).3p       | 2D   |    |
N III     |           433.291   |    90 | 1.23e+07  | B    |    38.40454    -     41.26516   | 2s.2p.(3P*).3p       | 4D   | 2s.2p.(3P*).3d       | 4D*  |    |
N III     |           434.568   |   120 | 1.82e+07  | B    |    38.41648    -     41.26863   | 2s.2p.(3P*).3p       | 4D   | 2s.2p.(3P*).3d       | 4D*  |    |
          |                     |       |           |      |                                 |                      |      |                      |      |    |
N III     |           437.911   |   300 |           |      |                                 |                      |      |                      |      |    |
N III     |           451.091   |    90 | 2.84e+07  | B    |    35.64910    -     38.39689   | 2s.2p.(3P*).3s       | 4P*  | 2s.2p.(3P*).3p       | 4D   |    |
N III     |           451.486   |   120 | 6.80e+07  | B    |    35.67111    -     38.41648   | 2s.2p.(3P*).3s       | 4P*  | 2s.2p.(3P*).3p       | 4D   |    |
N IV      |           460.633   |    90 |           |      |                                 |                      |      |                      |      |    |
N III     |           463.414   |    90 | 6.36e+07  | B    |    30.45863    -     33.13334   | 2s2.3p               | 2P*  | 2s2.3d               | 2D   |    |
          |                     |       |           |      |                                 |                      |      |                      |      |    |
N III     |           464.064   |   120 | 7.60e+07  | B    |    30.46308    -     33.13403   | 2s2.3p               | 2P*  | 2s2.3d               | 2D   |    |
N III     |           485.882   |    90 | 4.35e+07  | B    |    38.39247    -     40.94356   | 2s.2p.(3P*).3p       | 4D   | 2s.2p.(3P*).3d       | 4F*  |    |
N III     |           486.715   |   150 | 6.18e+07  | B    |    38.41648    -     40.96313   | 2s.2p.(3P*).3p       | 4D   | 2s.2p.(3P*).3d       | 4F*  |    |
N III     |           531.435   |    90 | 1.14e+07  | B    |    39.35199    -     41.68434   | 2s.2p.(3P*).3p       | 4P   | 2s.2p.(3P*).3d       | 4P*  |    |
N III     |           532.082   |   200 | 5.68e+07  | B    |    39.80721    -     42.13671   | 2s.2p.(3P*).3p       | 2D   | 2s.2p.(3P*).3d       | 2F*  |    |
          |                     |       |           |      |                                 |                      |      |                      |      |    |
N III     |           532.718   |   150 | 5.29e+07  | B    |    39.79622    -     42.12296   | 2s.2p.(3P*).3p       | 2D   | 2s.2p.(3P*).3d       | 2F*  |    |
N IV      |           638.077   |   150 | 1.42e+07  | B    |    48.21182    -     50.15438   | 1s2.2s.3s            | 1S   | 1s2.2s.3p            | 1P*  |    |
N III     |           645.411   |    90 | 1.49e+07  | B    |    39.34467    -     41.26516   | 2s.2p.(3P*).3p       | 4P   | 2s.2p.(3P*).3d       | 4D*  |    |
N III     |           646.702   |   120 | 2.11e+07  | B    |    39.35199    -     41.26863   | 2s.2p.(3P*).3p       | 4P   | 2s.2p.(3P*).3d       | 4D*  |    |
