
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                     Observed  |   Rel. |     Aki    | Acc. |                 Ei           Ek                 |      Lower level       |      Upper level       |Type|
          |                    Wavelength |   Int. |     s^-1   |      |                (eV)         (eV)                |------------------------|------------------------|    |
          |                     Vac (nm)  |        |            |      |                                                 | Conf.          | Term  | Conf.          | Term  |    |
B III     |                 111.50        |     9* | 9.888e+07  | AA   |     24.309788          -     [35.431485]        | 1s2.3d         | 2D    | 1s2.7f         | 2F*   |    |
B I       |                 112.9701      |      a |            |      |      0.0000000         -      10.97503          | 2s2.2p         | 2P*   | 2s.2p.(3P*).3p | 2S    |    |
B I       |                 112.9881      |      a |            |      |      0.0018953         -      10.97503          | 2s2.2p         | 2P*   | 2s.2p.(3P*).3p | 2S    |    |
B IV      |                 113.48        |    11* |            |      |    245.75369           -     256.68320          | 1s.4d          | 3D    | 1s.9f          | 1,3F* |    |
          |                               |        |            |      |                                                 |                |       |                |       |    |
B IV      |                 113.48        |    11* |            |      |    245.75369           -     256.68320          | 1s.4d          | 3D    | 1s.9f          | 1,3F* |    |
B IV      |                 113.48        |    11* |            |      |    245.75369           -     256.68320          | 1s.4d          | 3D    | 1s.9f          | 1,3F* |    |
B IV      |                 113.48        |    11* |            |      |    245.76527           -     256.68348          | 1s.4f          | 3F*   | 1s.9g          | 1,3G  |    |
B IV      |                 113.48        |    11* |            |      |    245.76527           -     256.68348          | 1s.4f          | 3F*   | 1s.9g          | 1,3G  |    |
B IV      |                 113.48        |    11* |            |      |    245.76527           -     256.68348          | 1s.4f          | 3F*   | 1s.9g          | 1,3G  |    |
          |                               |        |            |      |                                                 |                |       |                |       |    |
B I       |                 114.2269      |      a |            |      |      0.0018953         -      10.85609          | 2s2.2p         | 2P*   | 2s.2p.(3P*).3p | 2D    |    |
B I       |                 114.2304      |      a |            |      |      0.0018953         -      10.85577          | 2s2.2p         | 2P*   | 2s.2p.(3P*).3p | 2D    |    |
