
--------------------------------------------------------------------------------------
Spectrum  |          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
          |         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          |          Air (nm)  |       |           |      |                     |    |
--------------------------------------------------------------------------------------
Os II     |           246.890  |   110 |           |      |                     |    |
Os I      |           247.228  |   290 |           |      |                     |    |
Os I      |           247.478  |   290 |           |      |                     |    |
Os I      |           247.684  |   900 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           248.243  |   360 |           |      |                     |    |
Os II     |           248.624  |   530 |           |      |                     |    |
Os I      |           248.855  |  4500 |           |      |                     |    |
Os I      |           249.102  |   290 |           |      |                     |    |
Os I      |           249.169  |   290 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           249.242  |   360 |           |      |                     |    |
Os I      |           249.841  |  2600 |           |      |                     |    |
Os I      |           249.992  |   330 |           |      |                     |    |
Os I      |           250.229  |   330 |           |      |                     |    |
Os I      |           250.439  |   500 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           250.451  |   260 |           |      |                     |    |
Os II     |           250.718  |    35 |           |      |                     |    |
Os II     |           250.971  |    70 |           |      |                     |    |
Os I      |           251.287  |   660 |           |      |                     |    |
Os I      |           251.325  |  2400 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           251.504  |   660 |           |      |                     |    |
Os I      |           251.792  |   500 |           |      |                     |    |
Os I      |           251.844  |   660 |           |      |                     |    |
Os I      |           251.929  |   200 |           |      |                     |    |
Os I      |           251.979  |   330 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           253.244  |   200 |           |      |                     |    |
Os II     |           253.800  |   780 |           |      |                     |    |
Os I      |           253.810  |   240 |           |      |                     |    |
Os I      |           254.251  |  1000 |           |      |                     |    |
Os II     |           254.883  |    30 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           255.446  |   310 |           |      |                     |    |
Os II     |           256.316  |   190 |           |      |                     |    |
Os I      |           256.649  |   600 |           |      |                     |    |
Os I      |           256.688  |   290 |           |      |                     |    |
Os I      |           256.883  |   480 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           257.178  |   340 |           |      |                     |    |
Os II     |           257.832  |   150 |           |      |                     |    |
Os II     |           258.003  |   130 |           |      |                     |    |
Os I      |           258.105  |   360 |           |      |                     |    |
Os I      |           258.196  |   740 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           259.076  |  1000 |           |      |                     |    |
Os I      |           259.198  |   200 |           |      |                     |    |
Os II     |           259.600  |   170 |           |      |                     |    |
Os I      |           260.920  |   210 |           |      |                     |    |
Os I      |           260.956  |   380 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           261.078  |   400 |           |      |                     |    |
Os I      |           261.263  |   470 |           |      |                     |    |
Os I      |           261.306  |  1800 |           |      |                     |    |
Os I      |           261.994  |   800 |           |      |                     |    |
Os I      |           262.062  |   230 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           262.182  |   530 |           |      |                     |    |
Os I      |           262.848  |   380 |           |      |                     |    |
Os II     |           263.122  |    27 |           |      |                     |    |
Os I      |           263.713  |  3800 |           |      |                     |    |
Os I      |           264.411  |  1900 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           264.689  |   340 |           |      |                     |    |
Os I      |           264.773  |   380 |           |      |                     |    |
Os I      |           264.934  |   380 |           |      |                     |    |
Os I      |           265.668  |   490 |           |      |                     |    |
Os I      |           265.860  |  1900 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           265.983  |   640 |           |      |                     |    |
Os I      |           266.118  |   380 |           |      |                     |    |
Os II     |           266.429  |    40 |           |      |                     |    |
Os I      |           267.457  |   580 |           |      |                     |    |
Os I      |           267.488  |   400 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           268.982  |  2100 |           |      |                     |    |
Os I      |           269.959  |   510 |           |      |                     |    |
Os I      |           270.670  |   580 |           |      |                     |    |
Os I      |           271.464  |  3000 |           |      |                     |    |
Os I      |           271.536  |   580 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           272.004  |  1300 |           |      |                     |    |
Os I      |           272.186  |   850 |           |      |                     |    |
Os I      |           273.061  |   580 |           |      |                     |    |
Os II     |           273.136  |    40 |           |      |                     |    |
Os I      |           273.280  |   580 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           276.142  |   690 |           |      |                     |    |
Os I      |           276.327  |   470 |           |      |                     |    |
Os I      |           276.504  |   340 |           |      |                     |    |
Os I      |           277.071  |   960 |           |      |                     |    |
Os I      |           277.691  |   300 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           278.255  |   740 |           |      |                     |    |
Os II     |           278.388  |    40 |           |      |                     |    |
Os I      |           278.631  |   640 |           |      |                     |    |
Os I      |           279.399  |   230 |           |      |                     |    |
Os I      |           279.419  |   230 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           279.673  |   530 |           |      |                     |    |
Os I      |           280.407  |   320 |           |      |                     |    |
Os I      |           280.691  |  2800 |           |      |                     |    |
Os I      |           280.894  |   470 |           |      |                     |    |
Os I      |           281.384  |   420 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           281.420  |   740 |           |      |                     |    |
Os I      |           281.578  |   300 |           |      |                     |    |
Os I      |           282.927  |   420 |           |      |                     |    |
Os I      |           283.742  |   230 |           |      |                     |    |
Os I      |           283.817  |   470 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           283.863  |  5100 |           |      |                     |    |
Os I      |           284.160  |   740 |           |      |                     |    |
Os I      |           284.440  |  2300 |           |      |                     |    |
Os I      |           284.639  |   420 |           |      |                     |    |
Os I      |           284.825  |   420 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           285.076  |  1500 |           |      |                     |    |
Os I      |           286.096  |  1500 |           |      |                     |    |
Os II     |           286.337  |    35 |           |      |                     |    |
Os I      |           287.496  |   360 |           |      |                     |    |
Os I      |           287.840  |   300 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os II     |           287.939  |    35 |           |      |                     |    |
Os II     |           288.020  |    30 |           |      |                     |    |
Os I      |           289.606  |   260 |           |      |                     |    |
Os I      |           290.906  |  9600 |           |      |                     |    |
Os I      |           291.233  |  2100 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           291.726  |   530 |           |      |                     |    |
Os I      |           291.979  |  2100 |           |      |                     |    |
Os I      |           292.557  |   300 |           |      |                     |    |
Os I      |           292.951  |   360 |           |      |                     |    |
Os I      |           293.128  |   510 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           293.464  |   260 |           |      |                     |    |
Os I      |           294.285  |   200 |           |      |                     |    |
Os I      |           294.823  | 1100w |           |      |                     |    |
Os I      |           294.953  |  1400 |           |      |                     |    |
Os I      |           294.981  | 210bl |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           296.101  |   300 |           |      |                     |    |
Os I      |           296.215  |   530 |           |      |                     |    |
Os I      |           296.406  |   450 |           |      |                     |    |
Os I      |           297.097  |   740 |           |      |                     |    |
Os I      |           297.764  |   450 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           298.290  |   510 |           |      |                     |    |
Os I      |           299.765  |   260 |           |      |                     |    |
Os I      |           301.307  |   330 |           |      |                     |    |
Os I      |           301.725  |   570 |           |      |                     |    |
Os I      |           301.804  |  4400 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           301.938  |   480 |           |      |                     |    |
Os I      |           303.070  |  1100 |           |      |                     |    |
Os I      |           304.090  |  2900 |           |      |                     |    |
Os II     |           304.274  |   120 |           |      |                     |    |
Os I      |           304.350  |   210 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           304.946  |   230 |           |      |                     |    |
Os I      |           305.039  |   210 |           |      |                     |    |
Os I      |           305.866  |  8600 |           |      |                     |    |
Os I      |           306.030  |   290 |           |      |                     |    |
Os I      |           306.219  |   570 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           306.994  |   210 |           |      |                     |    |
Os I      |           307.408  |   360 |           |      |                     |    |
Os I      |           307.496  |   290 |           |      |                     |    |
Os I      |           307.744  |   290 |           |      |                     |    |
Os I      |           307.772  |  1100 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           307.811  |   360 |           |      |                     |    |
Os I      |           307.838  |   230 |           |      |                     |    |
Os I      |           309.008  |   230 |           |      |                     |    |
Os I      |           309.359  |   270 |           |      |                     |    |
Os I      |           310.153  |   310 |           |      |                     |    |
          |                    |       |           |      |                     |    |
