
-------------------------------------------------------------------------------------------------------------------------------------
           Observed  |  Rel. |    Aki    | Acc. |        Ei           Ek         |    Lower level     |      Upper level       |Type|
          Wavelength |  Int. |    s^-1   |      |       (eV)         (eV)        |--------------------|------------------------|    |
           Air (nm)  |       |           |      |                                | Conf.       | Term | Conf.          | Term  |    |
           245.281   |   910 |           |      |                                |             |      |                |       |    |
           245.561   |  1300 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           245.587   |   230 |           |      |                                |             |      |                |       |    |
           245.703   |   210 |           |      |                                |             |      |                |       |    |
           245.723   |   210 |           |      |                                |             |      |                |       |    |
           246.509   |   120 |           |      |                                |             |      |                |       |    |
           246.730   |   870 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           247.512   |  3300 | 2.1e+07   |      |   0.00000     -     5.007700   | 5d7.6s2     | a 4F |                | 4038* |    |
           247.811   |   210 |           |      |                                |             |      |                |       |    |
           248.118   |  2100 |           |      |                                |             |      |                |       |    |
           248.538   |   100 |           |      |                                |             |      |                |       |    |
           249.308   |   620 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           249.627   |   210 |           |      |                                |             |      |                |       |    |
           250.263   |   250 |           |      |                                |             |      |                |       |    |
           250.298   |  4100 | 3.2e+07   |      |   0.00000     -     4.951962   | 5d7.6s2     | a 4F |                | 3994* |    |
           250.437   |   170 |           |      |                                |             |      |                |       |    |
           250.574   |   120 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           250.763   |   120 |           |      |                                |             |      |                |       |    |
           250.971   |   170 |           |      |                                |             |      |                |       |    |
           251.194   |   170 |           |      |                                |             |      |                |       |    |
           251.371   |   210 |           |      |                                |             |      |                |       |    |
           251.536   |   120 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           252.505   |   170 |           |      |                                |             |      |                |       |    |
           253.252   |   120 |           |      |                                |             |      |                |       |    |
           253.313   |   990 |           |      |                                |             |      |                |       |    |
           253.446   |  1100 |           |      |                                |             |      |                |       |    |
           253.722   |   580 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           253.768   |   170 |           |      |                                |             |      |                |       |    |
           254.148   |   100 |           |      |                                |             |      |                |       |    |
           254.202   |   580 |           |      |                                |             |      |                |       |    |
           254.397   |  7900 |           |      |   0.351493    -     5.223680   | 5d8.(3F).6s | b 4F |                | 4213* |    |
           254.554   |   150 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           254.603   |   790 |           |      |                                |             |      |                |       |    |
           254.720   |   120 |           |      |                                |             |      |                |       |    |
           254.769   |   120 |           |      |                                |             |      |                |       |    |
           255.140   |   210 |           |      |                                |             |      |                |       |    |
           255.440   |   190 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
