
-------------------------------------------------------------------------------------------------------------------------------------
           Observed  |  Rel. |    Aki    | Acc. |        Ei           Ek         |    Lower level     |      Upper level       |Type|
          Wavelength |  Int. |    s^-1   |      |       (eV)         (eV)        |--------------------|------------------------|    |
           Air (nm)  |       |           |      |                                | Conf.       | Term | Conf.          | Term  |    |
           289.715   |   650 |           |      |                                |             |      |                |       |    |
           290.195   |   260 |           |      |                                |             |      |                |       |    |
           290.480   |   260 |           |      |                                |             |      |                |       |    |
           290.724   |   200 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           291.636   |   440 |           |      |                                |             |      |                |       |    |
           291.857   |   230 |           |      |                                |             |      |                |       |    |
           292.479   |  4400 | 1.42e+07  |      |   0.00000     -     4.237839   | 5d7.6s2     | a 4F | 5d7.6s.(5F).6p | z 6G* |    |
           293.464   |  1200 | 2.0e+07   |      |                                |             |      |                |       |    |
           293.668   |   880 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           293.847   |   250 |           |      |                                |             |      |                |       |    |
           293.927   |   190 |           |      |                                |             |      |                |       |    |
           294.054   |   140 |           |      |                                |             |      |                |       |    |
           294.315   |  2700 |           |      |                                |             |      |                |       |    |
           294.697   |   230 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           294.976   |   200 |           |      |                                |             |      |                |       |    |
           295.122   |  1200 | 2.8e+06   |      |                                |             |      |                |       |    |
           296.299   |   150 |           |      |                                |             |      |                |       |    |
           297.495   |   200 |           |      |                                |             |      |                |       |    |
           298.065   |   440 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           298.580   |   150 |           |      |                                |             |      |                |       |    |
           299.062   |   190 |           |      |                                |             |      |                |       |    |
           299.608   |   300 |           |      |                                |             |      |                |       |    |
           299.741   |   180 |           |      |                                |             |      |                |       |    |
           300.225   |   220 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           300.363   |   600 | 5.9e+06   |      |                                |             |      |                |       |    |
           301.169   |   160 |           |      |                                |             |      |                |       |    |
           301.643   |   120 |           |      |                                |             |      |                |       |    |
           301.731   |   270 |           |      |                                |             |      |                |       |    |
           301.923   |   140 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           302.582   |   110 |           |      |                                |             |      |                |       |    |
           302.936   |   380 |           |      |                                |             |      |                |       |    |
           303.926   |   330 |           |      |                                |             |      |                |       |    |
           304.716   |   300 |           |      |                                |             |      |                |       |    |
           304.944   |   300 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           305.728   |   300 |           |      |                                |             |      |                |       |    |
           306.889   |  1600 |           |      |                                |             |      |                |       |    |
           306.909   |   190 |           |      |                                |             |      |                |       |    |
           306.971   |   190 |           |      |                                |             |      |                |       |    |
           307.669   |   170 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           308.322   |   320 |           |      |                                |             |      |                |       |    |
           308.644   |   240 |           |      |                                |             |      |                |       |    |
           308.804   |   390 |           |      |                                |             |      |                |       |    |
           310.029   |   510 |           |      |                                |             |      |                |       |    |
           310.045   |   510 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           312.076   |   340 |           |      |                                |             |      |                |       |    |
           312.178   |   200 |           |      |                                |             |      |                |       |    |
           313.332   |  3400 |           |      |                                |             |      |                |       |    |
           315.061   |   190 |           |      |                                |             |      |                |       |    |
           315.474   |   190 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           315.915   |   190 |           |      |                                |             |      |                |       |    |
           316.818   |   140 |           |      |                                |             |      |                |       |    |
           316.888   |   490 | 5.47e+06  |      |                                |             |      |                |       |    |
           317.758   |   370 |           |      |                                |             |      |                |       |    |
           318.035   |   170 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           319.892   |   370 |           |      |                                |             |      |                |       |    |
           321.212   |   610 |           |      |                                |             |      |                |       |    |
           321.951   |   370 |           |      |                                |             |      |                |       |    |
           322.078   |  5100 | 2.4e+07   |      |   0.351493    -     4.199894   | 5d8.(3F).6s | b 4F | 5d7.6s.(5F).6p | z 6F* |    |
           322.128   |   100 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           322.928   |   300 |           |      |                                |             |      |                |       |    |
           323.076   |   100 |           |      |                                |             |      |                |       |    |
           324.152   |   470 |           |      |                                |             |      |                |       |    |
           326.201   |   200 |           |      |                                |             |      |                |       |    |
           326.644   |   390 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           327.728   |   160 |           |      |                                |             |      |                |       |    |
           328.759   |   100 |           |      |                                |             |      |                |       |    |
           331.052   |   160 |           |      |                                |             |      |                |       |    |
           332.260   |   200 |           |      |                                |             |      |                |       |    |
           333.416   |   130 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           336.848   |   560 |           |      |                                |             |      |                |       |    |
           343.702   |   660 |           |      |                                |             |      |                |       |    |
           343.750   |   100 |           |      |                                |             |      |                |       |    |
           344.897   |   410 |           |      |                                |             |      |                |       |    |
           351.364   |  3200 |           |      |   0.00000     -     3.527638   | 5d7.6s2     | a 4F | 5d7.6s.(5F).6p | z 6F* |    |
                     |       |           |      |                                |             |      |                |       |    |
           351.595   |   220 |           |      |                                |             |      |                |       |    |
           352.203   |   410 |           |      |                                |             |      |                |       |    |
           355.717   |   160 |           |      |                                |             |      |                |       |    |
